gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Han_2018_ERR1398184_NODE_40_length_61251_cov_209.194996_65,Han_2018_ERR1398184_NODE_40_length_61251_cov_209.194996,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398186_NODE_84_length_66399_cov_17.453575_56,Han_2018_ERR1398186_NODE_84_length_66399_cov_17.453575,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398189_NODE_102_length_54497_cov_13.451820_35,Han_2018_ERR1398189_NODE_102_length_54497_cov_13.451820,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398189_NODE_1957_length_12078_cov_8.035765_30,Han_2018_ERR1398189_NODE_1957_length_12078_cov_8.035765,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398189_NODE_3259_length_8576_cov_5.183429_2,Han_2018_ERR1398189_NODE_3259_length_8576_cov_5.183429,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398190_NODE_84_length_44264_cov_17.045624_1,Han_2018_ERR1398190_NODE_84_length_44264_cov_17.045624,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398190_NODE_84_length_44264_cov_17.045624_76,Han_2018_ERR1398190_NODE_84_length_44264_cov_17.045624,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398191_NODE_456_length_16042_cov_118.478326_19,Han_2018_ERR1398191_NODE_456_length_16042_cov_118.478326,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398201_NODE_174_length_61404_cov_78.390911_58,Han_2018_ERR1398201_NODE_174_length_61404_cov_78.390911,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398201_NODE_211_length_55906_cov_5.381766_58,Han_2018_ERR1398201_NODE_211_length_55906_cov_5.381766,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398202_NODE_754_length_16772_cov_3.913322_19,Han_2018_ERR1398202_NODE_754_length_16772_cov_3.913322,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398203_NODE_138_length_43745_cov_42.321057_36,Han_2018_ERR1398203_NODE_138_length_43745_cov_42.321057,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398203_NODE_32_length_89375_cov_201.157635_55,Han_2018_ERR1398203_NODE_32_length_89375_cov_201.157635,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398205_NODE_311_length_50546_cov_20.720227_63,Han_2018_ERR1398205_NODE_311_length_50546_cov_20.720227,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Proteobacteria,f__Burkholderiaceae,NA
Han_2018_ERR1398205_NODE_349_length_46653_cov_11.520022_72,Han_2018_ERR1398205_NODE_349_length_46653_cov_11.520022,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398205_NODE_478_length_39769_cov_7.269225_17,Han_2018_ERR1398205_NODE_478_length_39769_cov_7.269225,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398205_NODE_600_length_35108_cov_125.427838_28,Han_2018_ERR1398205_NODE_600_length_35108_cov_125.427838,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398205_NODE_896_length_26691_cov_15.490727_14,Han_2018_ERR1398205_NODE_896_length_26691_cov_15.490727,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398206_NODE_1798_length_11973_cov_38.181574_1,Han_2018_ERR1398206_NODE_1798_length_11973_cov_38.181574,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MF,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398206_NODE_1798_length_11973_cov_38.181574_1,Han_2018_ERR1398206_NODE_1798_length_11973_cov_38.181574,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MF,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398207_NODE_1895_length_5218_cov_61.901027_3,Han_2018_ERR1398207_NODE_1895_length_5218_cov_61.901027,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKFB,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398208_NODE_737_length_17178_cov_6.120656_26,Han_2018_ERR1398208_NODE_737_length_17178_cov_6.120656,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398211_NODE_560_length_17635_cov_18.921160_20,Han_2018_ERR1398211_NODE_560_length_17635_cov_18.921160,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398212_NODE_122_length_80983_cov_158.005968_33,Han_2018_ERR1398212_NODE_122_length_80983_cov_158.005968,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398212_NODE_1312_length_21671_cov_6.016284_29,Han_2018_ERR1398212_NODE_1312_length_21671_cov_6.016284,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398212_NODE_161_length_73065_cov_15.403219_5,Han_2018_ERR1398212_NODE_161_length_73065_cov_15.403219,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398212_NODE_7582_length_5581_cov_3.597720_4,Han_2018_ERR1398212_NODE_7582_length_5581_cov_3.597720,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398213_NODE_523_length_19511_cov_9.569953_12,Han_2018_ERR1398213_NODE_523_length_19511_cov_9.569953,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398214_NODE_24_length_107857_cov_51.205330_37,Han_2018_ERR1398214_NODE_24_length_107857_cov_51.205330,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Bacteroidota,f__Tannerellaceae,NA
Han_2018_ERR1398214_NODE_30_length_103424_cov_40.449874_40,Han_2018_ERR1398214_NODE_30_length_103424_cov_40.449874,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398217_NODE_388_length_25934_cov_5.012017_12,Han_2018_ERR1398217_NODE_388_length_25934_cov_5.012017,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398217_NODE_388_length_25934_cov_5.012017_12,Han_2018_ERR1398217_NODE_388_length_25934_cov_5.012017,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398220_NODE_1600_length_19194_cov_16.388056_17,Han_2018_ERR1398220_NODE_1600_length_19194_cov_16.388056,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398220_NODE_558_length_40680_cov_31.806228_43,Han_2018_ERR1398220_NODE_558_length_40680_cov_31.806228,K04769,spoVT;stage V sporulation protein T,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398220_NODE_631_length_37901_cov_15.638033_23,Han_2018_ERR1398220_NODE_631_length_37901_cov_15.638033,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398220_NODE_737_length_34110_cov_5.698341_17,Han_2018_ERR1398220_NODE_737_length_34110_cov_5.698341,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398221_NODE_2777_length_8988_cov_126.189522_3,Han_2018_ERR1398221_NODE_2777_length_8988_cov_126.189522,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398222_NODE_204_length_70692_cov_7.351657_28,Han_2018_ERR1398222_NODE_204_length_70692_cov_7.351657,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398222_NODE_4782_length_6167_cov_3.064463_4,Han_2018_ERR1398222_NODE_4782_length_6167_cov_3.064463,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398222_NODE_4782_length_6167_cov_3.064463_4,Han_2018_ERR1398222_NODE_4782_length_6167_cov_3.064463,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398222_NODE_510_length_40606_cov_13.145372_2,Han_2018_ERR1398222_NODE_510_length_40606_cov_13.145372,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398222_NODE_510_length_40606_cov_13.145372_49,Han_2018_ERR1398222_NODE_510_length_40606_cov_13.145372,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633_2,Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633_14,Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633_45,Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633_46,Han_2018_ERR1398222_NODE_657_length_34621_cov_12.396633,K06333,cotJB;spore coat protein CotJB,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261_44,Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261_63,Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261,K02049,ABC.SN.A; sulfonate/nitrate/taurine transport system ATP-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MFB,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261_63,Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261,K02049,ytlC;ABC transporter ATP-binding protein,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MFB,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261_65,Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MFB,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261_65,Han_2018_ERR1398223_NODE_206_length_44401_cov_7.007261,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MFB,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398223_NODE_282_length_36303_cov_9.350475_28,Han_2018_ERR1398223_NODE_282_length_36303_cov_9.350475,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398223_NODE_282_length_36303_cov_9.350475_37,Han_2018_ERR1398223_NODE_282_length_36303_cov_9.350475,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398224_NODE_1688_length_13549_cov_12.451608_16,Han_2018_ERR1398224_NODE_1688_length_13549_cov_12.451608,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Verrucomicrobiota,f__Akkermansiaceae,NA
Han_2018_ERR1398224_NODE_4897_length_5280_cov_8.443445_7,Han_2018_ERR1398224_NODE_4897_length_5280_cov_8.443445,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398224_NODE_965_length_20404_cov_21.283454_18,Han_2018_ERR1398224_NODE_965_length_20404_cov_21.283454,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398227_NODE_108_length_39993_cov_8.754294_50,Han_2018_ERR1398227_NODE_108_length_39993_cov_8.754294,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652_3,Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Dicarboxylate-hydroxybutyrate cycle,MKFB,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652_3,Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Hydroxypropionate-hydroxybutylate cycle,MKFB,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652_3,Han_2018_ERR1398227_NODE_2601_length_6084_cov_5.761652,K00626,mmgA;acetyl-CoA acetyltransferase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKFB,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398228_NODE_24_length_122173_cov_9.959703_129,Han_2018_ERR1398228_NODE_24_length_122173_cov_9.959703,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398228_NODE_308_length_41917_cov_7.453227_27,Han_2018_ERR1398228_NODE_308_length_41917_cov_7.453227,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398228_NODE_404_length_36500_cov_7.963287_18,Han_2018_ERR1398228_NODE_404_length_36500_cov_7.963287,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398228_NODE_445_length_34068_cov_7.175433_32,Han_2018_ERR1398228_NODE_445_length_34068_cov_7.175433,K06333,cotJB;spore coat protein CotJB,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398229_NODE_157_length_31986_cov_56.016348_16,Han_2018_ERR1398229_NODE_157_length_31986_cov_56.016348,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398231_NODE_1067_length_12096_cov_6.669795_18,Han_2018_ERR1398231_NODE_1067_length_12096_cov_6.669795,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398231_NODE_1209_length_11078_cov_6.504128_14,Han_2018_ERR1398231_NODE_1209_length_11078_cov_6.504128,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TFM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398231_NODE_531_length_19943_cov_7.614944_23,Han_2018_ERR1398231_NODE_531_length_19943_cov_7.614944,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398231_NODE_628_length_17845_cov_8.351096_2,Han_2018_ERR1398231_NODE_628_length_17845_cov_8.351096,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398233_NODE_219_length_25778_cov_17.332271_43,Han_2018_ERR1398233_NODE_219_length_25778_cov_17.332271,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398234_NODE_244_length_43320_cov_5.384583_53,Han_2018_ERR1398234_NODE_244_length_43320_cov_5.384583,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265_10,Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265_30,Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265_46,Han_2018_ERR1398234_NODE_255_length_42267_cov_9.183265,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398235_NODE_121_length_45778_cov_22.379874_10,Han_2018_ERR1398235_NODE_121_length_45778_cov_22.379874,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__CAG-138,FALSE
Han_2018_ERR1398236_NODE_1128_length_15625_cov_10.730893_5,Han_2018_ERR1398236_NODE_1128_length_15625_cov_10.730893,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398236_NODE_1128_length_15625_cov_10.730893_11,Han_2018_ERR1398236_NODE_1128_length_15625_cov_10.730893,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398239_NODE_124_length_46095_cov_9.788597_7,Han_2018_ERR1398239_NODE_124_length_46095_cov_9.788597,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398239_NODE_2799_length_7087_cov_5.157992_2,Han_2018_ERR1398239_NODE_2799_length_7087_cov_5.157992,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398239_NODE_372_length_27243_cov_9.678902_11,Han_2018_ERR1398239_NODE_372_length_27243_cov_9.678902,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Verrucomicrobiota,f__Akkermansiaceae,NA
Han_2018_ERR1398242_NODE_1513_length_14277_cov_5.501898_15,Han_2018_ERR1398242_NODE_1513_length_14277_cov_5.501898,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398242_NODE_170_length_50649_cov_7.646302_44,Han_2018_ERR1398242_NODE_170_length_50649_cov_7.646302,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398242_NODE_338_length_35001_cov_9.567504_48,Han_2018_ERR1398242_NODE_338_length_35001_cov_9.567504,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398242_NODE_625_length_25075_cov_6.078377_10,Han_2018_ERR1398242_NODE_625_length_25075_cov_6.078377,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398242_NODE_84_length_70444_cov_9.607581_89,Han_2018_ERR1398242_NODE_84_length_70444_cov_9.607581,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398242_NODE_84_length_70444_cov_9.607581_90,Han_2018_ERR1398242_NODE_84_length_70444_cov_9.607581,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,M,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398244_NODE_4233_length_5926_cov_7.899336_2,Han_2018_ERR1398244_NODE_4233_length_5926_cov_7.899336,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398245_NODE_45_length_83694_cov_90.610911_33,Han_2018_ERR1398245_NODE_45_length_83694_cov_90.610911,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398246_NODE_25_length_112815_cov_202.964589_28,Han_2018_ERR1398246_NODE_25_length_112815_cov_202.964589,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398246_NODE_3003_length_5363_cov_5.124341_3,Han_2018_ERR1398246_NODE_3003_length_5363_cov_5.124341,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
