locus,title,description,function,product
BSU_10060,ecsC,unknown,unknown,unknown
BSU_38900,yxjM,two-component sensor kinase,unknown,two-component sensor kinase ([wiki|NarL family])
BSU_20670,yoqD,similar to phage-related DNA-binding protein anti-repressor,unknown,unknown
BSU_24800,yqgW,unknown,unknown,unknown
BSU_35030,nagR,transcriptional regulator ([wiki|GntR family]),regulator of the [[gene|8F4D075C9B9EF995E361F9BA5E8B52F42059C422]]-[[gene|0C8D7EAC2656E989E45B5B7E42FAA6D258956B56]]-[[gene|6D36D6360FE1CBFF5F64B2A6D1406405D6C6F7D5]] operon,transcriptional regulator ([wiki|GntR family])
BSU_23360,ppiB,peptidyl-prolyl isomerase,protein folding,peptidyl-prolyl isomerase
BSU_27180,yrhH,similar to methyltransferase,unknown,unknown
BSU_16760,dapG,aspartokinase I (alpha and beta subunits),biosynthesis of lysine and peptidoglycan,aspartokinase I (alpha and beta subunits)
BSU_19420,yojK,similar to macrolide glycosyltransferase,unknown,unknown
BSU_tRNA_35,trnD-Phe,null,translation,transfer RNA-Phe
BSU_39620,yxeA,unknown,unknown,unknown
BSU_19060,yobR,unknown,unknown,unknown
BSU_15470,pyrR,transcriptional termination factor of the <i>pyr </i>operon,regulation of pyrimidine biosynthesis,transcriptional termination protein with minor uracil phosphoribosyltransferase activity
BSU_15020,ylbI,pantetheine-phosphate adenylyltransferase,lipopolysaccharide biosynthesis,pantetheine-phosphate adenylyltransferase
BSU_17689,BSU_17689,NA,NA,NA
BSU_misc_RNA_54,BSU_misc_RNA_54,null,null,NA
BSU_05590,ydgD,unknown,unknown,unknown
BSU_12640,xkdJ,PBSX prophage,unknown,unknown
BSU_01880,ybcI,component of the membrane potential-generating system [[protein|CCDDC414E266D86B9027EA67EA565D87357023B3|MpsA]]-[[protein|E04C67FB0EA3FFEC8FB68440F4661505C3DFDA29|MpsB]]-[[protein|6E063903E9E3B770CAACA9DF98DFA540FAE6FD3D|MpsC]],unknown,unknown
BSU_30360,yttA,unknown,unknown,unknown
BSU_35550,tuaG,sugar transferase,biosynthesis of teichuronic acid,sugar transferase
BSU_34560,malL,alpha-glucosidase,starch and maltodextrin utilization,alpha-glucosidase
BSU_21730,ypmS,unknown,unknown,unknown
BSU_14450,ampS,aminopeptidase,required for  biofilm formation,aminopeptidase
BSU_28420,ysmA,similar to thioesterase,unknown,unknown
BSU_25890,yqxI,unknown secreted protein,unknown,unknown
BSU_27830,coxA,spore cortex protein,resistance of the spore,spore cortex protein
BSU_10000,yhaH,unknown,unknown,unknown
BSU_35560,tuaF,biosynthesis of teichuronic acid,biosynthesis of teichuronic acid,unknown
BSU_29970,ytkP,similar to cysteine synthase,unknown,unknown
BSU_32060,yuiD,unknown,unknown,unknown
BSU_26440,yrkO,unknown,unknown,unknown
BSU_28910,pftA,pyruvate transporter,uptake of pyruvate,pyruvate transporter
BSU_35420,flgN,flagellar filament assembly protein,flagellar filament assembly,flagellar filament assembly protein
BSU_39610,yxeB,hydroxamate siderophore [wiki|ABC transporter] (only ferrioxamine) (binding  protein),siderophore uptake,hydroxamate siderophore [wiki|ABC transporter]
BSU_36300,glcR,transcriptional repressor ([wiki|DeoR family]) of the [[gene|6F5831A480B72D17B7B3F0BF7AF147603B65CA49]]-[[gene|AF9523D3AA3C032B70175BCFFED34E9A42ED01AF]] operon,unknown,transcriptional repressor ([wiki|DeoR family])
BSU_30540,asnB,asparagine synthase (glutamine-hydrolysing),control of peptidoglycan hydrolysis,asparagine synthase (glutamine-hydrolysing))
BSU_tRNA_62,trnB-Met3,null,translation,transfer RNA-Met
BSU_00120,pdxT,pyridoxal-5-phosphate synthase (glutaminase domain),pyridoxal-5-phosphate biosynthesis,pyridoxal-5-phosphate synthase (glutaminase domain)
BSU_31310,yugP,unknown,unknown,unknown
BSU_25940,yqcD,similar to phage-related protein,unknown,unknown
BSU_20620,yoqI,unknown,unknown,unknown
BSU_18420,yofA,transcriptional activator of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] at the onset of stationary phase,control of [[gene|8AB7D225DBEE6BD695A4A8A2384D2C029B571C57]] expression,transcriptional activator ([wiki|LysR family])
BSU_13870,ykvZ,similar to transcriptional regulator ([wiki|LacI family]),unknown,transcriptional regulator ([wiki|LacI family])
BSU_17680,thyA,thymidylate synthase A,biosynthesis of thymidine nucleotides,thymidylate synthase A
BSU_16470,sigD,[wiki|RNA polymerase] [wiki|sigma factor] SigD,regulation of flagella,motility
BSU_28130,hemB,porphobilinogen synthase,heme biosynthesis,porphobilinogen synthase
BSU_34660,yvdB,putative anion transporter,unknown,putative anion transporter
BSU_24440,yqhV,unknown,unknown,unknown
BSU_21540,yolA,unknown,unknown,unknown
BSU_18110,ynfC,unknown,unknown,unknown
BSU_03380,yckB,similar to amino acid [wiki|ABC transporter] (binding protein),unknown,unknown
BSU_08100,acoR,transcriptional activator of the [[gene|B0A333BDFAE816B48B856A1DD91B73C41584A8E4]]-[[gene|5F953C3C91EB65A031D04A1D91F1CF501F8EFD09]]-[[gene|C4B6C3EE560C8BD353FEABB1A607C89C20DC8D34]]-[[gene|acoL ]]operon,regulation of acetoin utilization,transcriptional activator (for [[protein|1118A21CC581B0470EC6E7C178F2523CDCA70F93]]-dependent promoter)
BSU_39339,yxzL,unknown,unknown,unknown
BSU_05090,yddS,similar to metabolite transport protein,unknown,unknown
BSU_09080,yhcH,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein)
BSU_18019,ynzL,unknown,unknown,unknown
BSU_33221,yvrHb,two-component response regulator ([wiki|OmpR family]),regulation cell surface maintenance,two-component response regulator ([wiki|OmpR family])
BSU_30840,yteA,sporulation protein,unknown,sporulation protein
BSU_33720,opuBB,choline and arsenocholine [wiki|ABC transporter] (membrane protein),compatible solute transport,choline and arsenocholine [wiki|ABC transporter] (membrane protein)
BSU_36130,ywrA,subunit of chromate exporter (with [[protein|E63704C51B53F05BAD9B35D3B6874DB9231B6D24]]),chromate detoxification,chromate exporter
BSU_14320,yknU,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein)
BSU_25450,yqeT,similar to ribosomal protein L11 methyltransferase,unknown,unknown
BSU_20600,yoqK,unknown,unknown,unknown
BSU_tRNA_59,trnB-Pro,null,translation,transfer RNA-Pro
BSU_21020,yonR,lysogenic repressor of [wiki|SP-beta prophage] ([wiki|Xre family]),repression of [wiki|SP-beta prophage] genes during lysogenic growth,lysogenic repressor of [wiki|SP-beta prophage]
BSU_06860,yezE,similar to transcriptional regulator ([wiki|TetR family]),unknown,putative transcriptional regulator ([wiki|TetR family])
BSU_18800,penP,beta-lactamase,resistance to beta-lactam antibiotics,beta-lactamase
BSU_08740,ygzB,unknown,unknown,unknown
BSU_31550,nupO,[wiki|ABC transporter] for guanosine (ATP-binding protein),uptake of guanosine,[wiki|ABC transporter] for guanosine
BSU_37310,fnr,transcriptional regulator of anaerobic genes,regulation of anaerobiosis,fermentation and overflow metabolism
BSU_14180,ykuQ,similar to tetrahydrodipicolinate succinylase,biosynthesis of lysine and peptidoglycan,similar to tetrahydrodipicolinate succinylase
BSU_39060,citH,sporulation-specific secondary transporter of divalent metal ions/citrate complexes,citrate  uptake,secondary transporter of divalent metal ions/citrate complexes
BSU_tRNA_46,trnS-Ser,null,translation,transfer RNA-Ser
BSU_06800,yezA,unknown,unknown,unknown
BSU_18780,yoaW,unknown,unknown,unknown
BSU_32010,besA,Ferri-bacillibactin esterase,iron acquisition,ferri-bacillibactin esterase
BSU_24310,folD,methylenetetrahydrofolate dehydrogenase (NADP),formylation of Met-tRNA(fMet),methylenetetrahydrofolate dehydrogenase (NADP)
BSU_08550,sspK,small acid-soluble spore protein (minor) SASP,protection of spore DNA,small acid-soluble spore protein (minor) SASP
BSU_21210,yomV,unknown,unknown,unknown
BSU_14790,ylaI,unknown,unknown,unknown
BSU_25680,yqeG,putative [wiki|HAD superfamily] phosphatase,unknown,unknown
BSU_35190,yvkC,flavonoid phosphate synthetase,unknown,flavonoid phosphate synthetase
BSU_40060,gntK,gluconokinase,gluconate utilization,gluconokinase
BSU_16890,ymfK/1,part of the <i>ymfK</i> pseudogene,unknwon,unknown
BSU_misc_RNA_21,BSU_misc_RNA_21,null,null,NA
BSU_13480,ykrK,transcription repressor of [[gene|htpX ]]expression,regulation of membrane protein quality control,transcription repressor of [[gene|62B6875301B458F04E3F65717AD3A5925A9C4973]]
BSU_28970,ytxB,unknown,unknown,unknown
BSU_16880,ymfJ,unknown,unknown,unknown
BSU_35750,tagA,UDP-N-acetyl-D-mannosamine transferase,biosynthesis of teichoic acid,UDP-N-acetyl-D-mannosamine transferase
BSU_06320,mneS,secondary manganese (II) efflux pump,Mn(II) export,manganese (II) efflux pump
BSU_14890,ctaC,cytochrome-c oxidase (caa<sub>3</sub>) (subunit II),respiration,cytochrome-c oxidase (subunit II)
BSU_34080,yvfS,similar to [wiki|ABC transporter] (transmembrane subunit),unknown,[wiki|ABC transporter] (transmembrane subunit)
BSU_03190,ycgL,unknown,unknown,unknown
BSU_10110,pbpF,class A penicillin-binding protein 2C,bifunctional glucosyltransferase/ transpeptidase,synthesis of spore peptidoglycan
BSU_07570,yflS,malate transporter,malate uptake,malate transporter
BSU_40790,yyaO,unknown,unknown,unknown
BSU_35540,tuaH,sugar transferase,biosynthesis of teichuronic acid,sugar transferase
BSU_20450,yorA,unknown,unknown,unknown
BSU_10340,yhfR,phosphatase involved in isopentenol (isoprenoid) biosynthesis,isoprenoid biosynthesis,unknown
BSU_00190,dnaX,DNA polymerase  III (gamma and tau subunits) part of the clamp-loader complex and the [wiki|replisome],[[category|SW.3.1.1]],DNA polymerase  III (gamma and tau subunits)
BSU_40260,yycQ,unknown,unknown,unknown
BSU_29900,trmB,tRNA (m7G46) methyltransferase,tRNA modification,tRNA (m7G46) methyltransferase
BSU_17266,ymzEn,NA,NA,NA
BSU_21260,yomQ,unknown,unknown,unknown
BSU_05200,ydeH,unknown,unknown,unknown
BSU_tRNA_60,trnB-Ala,null,translation,transfer RNA-Ala
BSU_33650,yvzC,similar to transcription regulator (Xre family),unknown,unknown
BSU_30810,ytxM,similar to prolyl aminopeptidase,ubiquinone and menaquinone biosynthesis,unknown
BSU_17290,ebrB,multidrug efflux transporter,multidrug resistance,multidrug efflux transporter
BSU_40700,yybB,unknown,unknown,unknown
BSU_tRNA_29,trnD-Asn,null,translation,transfer RNA-Asn
BSU_09050,yhcE,similar to [wiki|ABC transporter] (membrane protein),unknown,[wiki|ABC transporter] (membrane protein)
BSU_25800,yqcK,similar to C-As lyase,unknown,unknown
BSU_30560,pckA,phosphoenolpyruvate carboxykinase,synthesis of phosphoenolpyruvate,phosphoenolpyruvate carboxykinase
BSU_30739,ytzL,unknown,unknown,unknown
BSU_18600,yozQ,unknown,unknown,unknown
BSU_01150,rpsJ,ribosomal protein uS10,translation,ribosomal protein S10 (uS10)
BSU_31322,yugO,potassium channel protein (exporter),potassium exporter,potassium channel protein
BSU_10140,hemY,coproporphyrinogen oxidase,biosynthesis of heme,coproporphyrinogen oxidase
BSU_25500,hemN,anaerobic coproporphyrinogen III oxidase,heme biosynthesis,anaerobic coproporphyrinogen III oxidase
BSU_29600,braB,branched-chain amino acid transporter,uptake of branched-chain amino acids,branched-chain amino acid transporter
BSU_39320,yxiB,unknown,unknown,unknown
BSU_34150,ganP,galactotriose [wiki|ABC transporter] (permease),uptake of galactotriose,galactotriose [wiki|ABC transporter] (permease)
BSU_40360,htrC,similar to quality control membrane serine protease [[protein|76FA52D5A5F9FCA14BA9B45872FE3D99D89B211B]],unknown,putative quality control membrane protease
BSU_33830,opuCA,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter] (ATP-binding protein),compatible solute transport,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter] (ATP-binding protein)
BSU_29750,aroA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase / chorismate mutase-isozyme 3,biosynthesis of aromatic amino acids,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase /
BSU_20970,yonX,unknown,unknown,unknown
BSU_17099,BSU_17099,NA,NA,NA
BSU_10740,yisJ,unknown,unknown,unknown
BSU_04370,ydaS,general stress protein,unknown,unknown
BSU_39760,iolA,methylmalonate-semialdehyde dehydrogenase (acylating),myo-inositol catabolism,methylmalonate-semialdehyde dehydrogenase (acylating)
BSU_10120,hemE,uroporphyrinogen decarboxylase (uroporphyrinogen III),heme biosynthesis,uroporphyrinogen decarboxylase (uroporphyrinogen III)
BSU_12050,yjdH,unknown,unknown,unknown
BSU_36460,ywoF,unknown,unknown,unknown
BSU_35410,flgK,flagellar hook-filament junction proteins,motility and chemotaxis,flagellar hook-filament junction proteins
BSU_33860,yvbH,unknown,unknown,unknown
BSU_32220,nfu,Fe-S carrier protein,assembly of Fe-S clusters,Fe-S carrier
BSU_33800,opuCD,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter],compatible solute transport,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter]
BSU_33960,araE,L-arabinose permease (proton symporter),uptake of arabinose,galactose and xylose
BSU_35000,hprK,HPr kinase/ phosphorylase,carbon catabolite repression,phosphorylation of [[protein|29B793660E4D30C0656248F3EF403FEF76FB9025|HPr]] and [[protein|A269774F2FDC94F93BA5F1360FFFE754B50383AD]] proteins at Ser46
BSU_12180,yjhA,lipoprotein,unknown,lipoprotein
BSU_25660,aroD,shikimate dehydrogenase,biosynthesis of aromatic amino acids,shikimate dehydrogenase
BSU_07170,yetI,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] with [[protein|00A19F2D960FAD4A6DA34D027828E1135A3BE218]],possible stressosome protein,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] with [[protein|00A19F2D960FAD4A6DA34D027828E1135A3BE218]]
BSU_09020,yhcB,similar to oxidoreductase,unknown,unknown
BSU_12130,yjfC,unknown,unknown,unknown
BSU_35910,rbsR,transcriptional repressor of the ribose operon,regulation of ribose utilization,transcriptional repressor ([wiki|LacI family])
BSU_12980,ykfB,L-Ala-D/L-Glu epimerase,cell wall metabolism,L-Ala-D/L-Glu epimerase
BSU_21130,yonD,unknown,unknown,unknown
BSU_04050,pxpA,subunit of ATP-dependent 5-oxoprolinase,detoxification of 5-oxoproline,subunit of 5-oxoprolinase
BSU_05980,tatAY,component of the [[protein|780FDF3DD260287428B397FFE7F44DDF1917381C]]-[[protein|E60FC9C9B273DD6B07B7B95819525DE5F35113CE]] twin-arginine translocase,TAT [wiki|protein secretion],component of the twin-arginine translocation pathway
BSU_30760,mntB,manganese [wiki|ABC transporter] (ATP-binding protein),manganese uptake,manganese [wiki|ABC transporter] (ATP-binding protein)
BSU_19140,ctaM,required for activity of both cytochrome caa3 and cytochrome aa3,control of activity of both cytochrome caa3 and cytochrome aa3,unknown
BSU_12770,xkdX,PBSX prophage,unknown,unknown
BSU_39890,yxbB,similar to S-adenosyl-L-methionine-dependent methyltransferase,unknown,putative S-adenosyl-L-methionine-dependent methyltransferase
BSU_29660,rpsD,ribosomal protein uS4,translation,ribosomal protein S4 (uS4)
BSU_30520,ytoA,similar to ferripyochelin binding protein,unknown,unknown
BSU_03090,ycgF,unknown,unknown,unknown
BSU_18580,yoaF,unknown,unknown,unknown
BSU_31430,yugE,unknown,unknown,unknown
BSU_19479,yoyC,unknown,unknown,unknown
BSU_20480,yoqX,unknown,unknown,unknown
BSU_39580,yxeE,spore coat protein,protection of the spore,spore coat protein
BSU_32870,mdtR,transcription repressor of the multidrug-resistance [[gene|795D70E8A4D750140D6B1AA4BFEBD25C2A389C85]]-[[gene|mdtP ]]operon,regulation of the multidrug-resistance [[gene|795D70E8A4D750140D6B1AA4BFEBD25C2A389C85]]-[[gene|mdtP ]]operon,transcription repressor ([wiki|MarR family])
BSU_18680,yoaO,unknown,unknown,unknown
BSU_21640,yokC,unknown,unknown,unknown
BSU_26010,yqbQ,similar to phage-related protein,unknown,unknown
BSU_26700,azlD,branched-chain amino acid transporter,export of branched-chain amino acids,component of branched-chain amino acid transporter
BSU_09889,yhzD,unknown,unknown,unknown
BSU_13150,ohrR,transcription repressor of the [[gene|869E46AECF6249610F8541E403D834284B62171D]] gene,regulation of [[gene|869E46AECF6249610F8541E403D834284B62171D]] expression in response to organic peroxides,transcription repressor ([wiki|MarR family])
BSU_31570,nupQ,[wiki|ABC transporter] for guanosine (membrane protein),uptake of guanosine,[wiki|ABC transporter] for guanosine
BSU_tRNA_22,trnE-Asp,null,translation,transfer RNA-Asp
BSU_tRNA_65,trnB-Asp,null,translation,transfer RNA-Asp
BSU_04520,ydbM,acyl-CoA dehydrogenase,sulphur metabolism,acyl-CoA dehydrogenase
BSU_06540,yezC,similar to transcriptional regulator ([wiki|Lrp family]),unknown,unknown
BSU_27085,BSU_27085,NA,NA,NA
BSU_35660,mnaA,UDP-N-acetylglucosamine 2-epimerase,biosynthesis of teichoic acid,UDP-N-acetylglucosamine 2-epimerase
BSU_17860,yneA,inhibits cell division during SOS response,inhibits cell division during SOS response,checkpoint enforcement protein
BSU_37620,rsfA,probable regulator of transcription of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes,control of expression of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]]-dependent genes,regulator of [[protein|CFF318EE6CACDEE763FBF96A2ABB46E944679AAA]] activity
BSU_39140,yxiK,unknown,unknown,unknown
BSU_03385,BSU_03385,NA,NA,NA
BSU_22880,ypfD,similar to ribosomal protein S1,unknown,unknown
BSU_19380,yojO,unknown,unknown,unknown
BSU_17010,ymcB,tRNA methylthiotransferase,tRNA maturation,tRNA methylthiotransferase
BSU_31750,pncB,nicotinate phosphoribosyltransferase,"NAD salvage",nicotinate phosphoribosyltransferase
BSU_37530,ywhC,similar to site-2 protease,unknown,unknown
BSU_07790,yfkQ,part of the [[protein|7CE0CAF27B1C0F507E783B8B80622270B00634FD]]-[[protein|B7EEC1910715507596734540D24B3C93B4B7065F]]-[[protein|7A62875A659B9F0967C392F38895D9E15A29D559]] germinant receptor of unknown specificity,germination,part of the [[protein|7CE0CAF27B1C0F507E783B8B80622270B00634FD]]-[[protein|B7EEC1910715507596734540D24B3C93B4B7065F]]-[[protein|7A62875A659B9F0967C392F38895D9E15A29D559]] germinant receptor
BSU_10580,yhjO,similar to multidrug-efflux transporter,unknown,unknown
BSU_11410,yjbA,unknown,unknown,unknown
BSU_33280,yvrP,putative efflux system protein,unknown,unknown
BSU_32180,yutK,similar to Na<sup>+</sup>/nucleoside cotransporter,unknown,unknown
BSU_22060,pbuX,xanthine transport in/out via proton symport,xanthine uptake,xanthine permease
BSU_40358,BSU_40358,NA,NA,NA
BSU_32539,BSU_32539,NA,NA,NA
BSU_29930,amyX,pullulanase (debranching enzyme),starch degradation,pullulanase
BSU_misc_RNA_22,qswA,NA,NA,NA
BSU_31030,bstB,bacillithiol S-transferase,unknown,bacillithiol S-transferase
BSU_37170,acdA,acyl-CoA dehydrogenase,fatty acid degradation,acyl-CoA dehydrogenase
BSU_22050,bpsA,type III polyketide synthase,polyketide synthesis,type III polyketide synthase
BSU_38320,ywbH,holin-like protein,unknown,holin-like protein
BSU_04100,kipR,transcriptional repressor of the kip operon,regulation of [wiki|sporulation] initiation,transcriptional regulator
BSU_01470,ybaF,trans-membrane T component of [wiki|ECF transporter]s,uptake of micronutrients,[wiki|ECF transporter] (membrane-spanning protein)
BSU_33380,yvgL,similar to [wiki|ABC transporter] for molybdenum uptake (binding protein),unknown,[wiki|ABC transporter] (binding protein)
BSU_21980,ypdP,similar to queuosine precursor transporter,unknown,putative queuosine precursor transporter
BSU_39460,yxeQ,cis-aconitate decarboxylase,metabolite conversion,cis-aconitate decarboxylase
BSU_21290,yomN,unknown,unknown,unknown
BSU_07340,mtrA,methylthioribose transporter,uptake of methylthioribose,methylthioribose transporter
BSU_tRNA_44,trnD-Leu2,null,translation,transfer RNA-Leu
BSU_01270,rplX,ribosomal protein uL24,translation,ribosomal protein L24 (uL24)
BSU_12400,yjnA,unknown,unknown,unknown
BSU_02890,yceC,similar to tellurium resistance protein,unknown,unknown
BSU_11240,carB,carbamoyl-phosphate transferase-arginine (subunit B),biosynthesis of arginine,carbamoyl-phosphate transferase-arginine (subunit B)
BSU_40080,gntZ,6-phosphogluconate dehydrogenase,gluconate utilization,6-phosphogluconate dehydrogenase
BSU_16540,cdsA,phosphatidate cytidylyltransferase,biosynthesis of phospholipids,phosphatidate cytidylyltransferase
BSU_19580,yodF,similar to amino acid permease,unknown,unknown
BSU_misc_RNA_90,apbT,NA,NA,NA
BSU_16200,fliE,flagellar hook-basal body protein,movement and chemotaxis,flagellar hook-basal body protein
BSU_38340,ywbF,unknown,unknown,unknown
BSU_36180,ywqK,antitoxin,unknown,antitoxin
BSU_35090,yvmA,similar to multidrug transporter,unknown,unknown
BSU_28860,rpmI,ribosomal protein bL35,translation,ribosomal protein L35 (bL35)
BSU_38980,scoB,succinyl CoA:3-oxoacid CoA-transferase (subunit B),3-hydroxybutyrate utilization,succinyl CoA:3-oxoacid CoA-transferase (subunit B)
BSU_40250,yycR,similar to formaldehyde dehydrogenase,unknown,unknown
BSU_21120,yonE,unknown,unknown,unknown
BSU_25610,yqeM,similar to SAM-dependent methyltransferase,unknown,unknown
BSU_27820,yrbC,similar to E. coli YebC putative transcription factor,unknown,unknown
BSU_20790,yopR,SP beta prophage master repressor,control of lysis/ lysogeny of the SP beta prophage,prophage SP beta master repressor
BSU_11220,argD,acetylornithine transaminase,biosynthesis of arginine,acetylornithine transaminase
BSU_12950,dppD,dipeptide [wiki|ABC transporter ](ATP-binding protein),uptake of dipeptides,dipeptide [wiki|ABC transporter ](ATP-binding protein)
BSU_34390,pnbA,para-nitrobenzyl esterase,lipid degradation,para-nitrobenzyl esterase
BSU_14110,ykuK,unknown,unknown,unknown
BSU_25970,yqcA,similar to phage-related protein,unknown,unknown
BSU_07500,fecE,iron/citrate [wiki|ABC transporter] (permease),iron uptake,iron/citrate [wiki|ABC transporter] (permease)
BSU_38700,sigY,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigY,maintenance of the SP prophage,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigY
BSU_36880,atpI,ATP synthase (subunit i),ATP synthesis,ATP synthase (subunit i))
BSU_28850,rplT,ribosomal protein bL20,translation,ribosomal protein L20 (bL20)
BSU_38030,ywdA,unknown,unknown,unknown
BSU_01110,rpsG,ribosomal protein uS7,translation,ribosomal protein S7 (uS7)
BSU_28080,folC,folyl-polyglutamate synthetase,biosynthesis of folate,folyl-polyglutamate synthetase
BSU_misc_RNA_27,BSU_misc_RNA_27,null,null,NA
BSU_26100,yqbI,similar to phage-related protein,unknown,unknown
BSU_29570,sspA,small acid-soluble spore protein (major alpha-type SASP),protection of spore DNA,small acid-soluble spore protein (major alpha-type SASP)
BSU_39190,yxiG,unknown,unknown,unknown
BSU_19579,yoyD,unknown,unknown,unknown
BSU_02720,yccF,unknown,unknown,unknown
BSU_08540,yfhI,similar to antibiotic resistance protein,unknown,unknown
BSU_15790,rpeA,ribulose 5-phosphate 3-epimerase,pentose phosphate pathway,ribulose 5-phosphate 3-epimerase
BSU_28450,sdhC,succinate dehydrogenase (cytochrome b558 subunit),TCA cycle,succinate dehydrogenase (cytochrome b558 subunit)
BSU_38550,ywaA,branched-chain amino acid aminotransferase,biosynthesis of branched-chain amino acids,branched-chain amino acid aminotransferase
BSU_03480,srfAA,surfactin synthetase / competence,antibiotic synthesis,biocontrol of fungal growth
BSU_26770,yrdB,unknown,unknown,unknown
BSU_18390,yoeC,similar to phage integrase,unknown,unknown
BSU_03670,dtpT,proton-dependent di- and tripeptide transporter,uptake of di- and tripeptides,peptide transporter
BSU_tRNA_73,trnSL-Gln1,null,translation,transfer RNA-Gln
BSU_12620,xkdH,PBSX prophage,unknown,unknown
BSU_37020,ywkD,unknown,unknown,unknown
BSU_39420,dra,deoxyribose-phosphate aldolase,utilization of nucleotides as carbon source,deoxyribose-phosphate aldolase
BSU_11055,yitO,unknown,unknown,unknown
BSU_31820,yuzF,unknown,unknown,unknown
BSU_32590,frlN,aminosugar [wiki|ABC transporter] (permease),uptake of sugar amines,aminosugar [wiki|ABC transporter] (permease)
BSU_18140,ynfE,unknown,unknown,unknown
BSU_22100,kdgA,2-dehydro-3-deoxy-phosphogluconate aldolase,utilization of galacturonic acid,2-dehydro-3-deoxy-phosphogluconate aldolase
BSU_26840,sigZ,[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigZ,[[category|SW.3.2.1]],[wiki|RNA polymerase] ECF-type [wiki|sigma factor] SigZ
BSU_12280,yjlC,unknown,unknown,unknown
BSU_40850,maa,maltose O-acetyltransferase,maltose and maltodextrin utilization,maltose O-acetyltransferase
BSU_12040,yjdG,unknown,unknown,unknown
BSU_00130,serS,seryl-tRNA-synthetase,translation,seryl-tRNA-synthetase
BSU_08010,yfjP,similar to DNA-3-methyladenine glycosidase II,unknown,unknown
BSU_11210,argB,N-acetylglutamate 5-phosphotransferase,biosynthesis of arginine,N-acetylglutamate 5-phosphotransferase (a.k.a. acetylglutamate kinase)
BSU_05640,ydgG,similar to transcriptional regulator ([wiki|MarR family]),unknown,unknown
BSU_15860,sdaAA,L-serine deaminase,serine utilization,L-serine deaminase (alpha chain)
BSU_misc_RNA_70,srrA,NA,NA,NA
BSU_37360,sboX,bacteriocin-like product,unknown,bacteriocin-like product
BSU_33820,opuCB,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter],compatible solute transport,glycine betaine/carnitine/choline/arsenobetaine/arsenocholine [wiki|ABC transporter]
BSU_18849,yozV,unknown,unknown,unknown
BSU_08970,prkA,AAA+ ATP-dependent protese,control of [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]]-dependent gene expression,AAA+ ATP-dependent protease
BSU_14880,ctaB,heme O synthase (major enzyme),heme biosynthesis,heme O synthase (major enzyme)
BSU_34480,yvdT,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown
BSU_31040,yuaD,unknown,unknown,unknown
BSU_22830,gpsA,glycerol-3-phosphate dehydrogenase (NAD),biosynthesis of phospholipids,glycerol-3-phosphate dehydrogenase (NAD)
BSU_15760,prpC,protein phosphatase,antagonist of PrkC-dependent phosphorylation,protein phosphatase
BSU_26350,sknR,transcriptional repressor ([wiki|Xre family]) of the [[gene|16BEDCFFB1671793061ACE4AC528D3B8EB177DC8]]-[[gene|02216407B5EDB98FAF611E22B2323C819B9D58BB]]-[[gene|03DAF537379754763646AF3AF2AD811B107F5302]]-[[gene|F6AB74740776179E77218DB831FEE03773B7353F]]-[[gene|5EA0F507F949D249D5B5B860861BBEB4197E01C5]]-[[gene|CFCCFD8C6420CC1DD076B091AD3D914FC8AB22D5]]-[[gene|903E11BD2CFF3EE1A831F0F50F91741893C3DAB8]]-[[gene|AB4AF9BD3E16FD72370AFC82CDD1531518053E6F]]-[[gene|F301EA8201BF27BAFAD4F95EC3A580A91B970B06]]-[[gene|3A89444BA25E4940C4197AACBD8B66BC1C65A493]] operon of the [wiki|skin element],control of prophage gene expression,transcriptional repressor ([wiki|Xre family])
BSU_16570,proS,prolyl-tRNA synthetase,translation,prolyl-tRNA synthetase
BSU_00080,yaaC,unknown,unknown,unknown
BSU_misc_RNA_30,BSU_misc_RNA_30,NA,NA,NA
BSU_02160,ybfA,unknown,unknown,unknown
BSU_20700,yoqA,unknown,unknown,unknown
