locus,name,description,function,product,names,outlinks.uniprot,outlinks.subtilist
BSU_20190,yosA,unknown,unknown,unknown,yosA,O31888,gene_detail+BG13710
BSU_12749,xkzA,unknown PBSX prophage protein,unknown,unknown,xkzA,C0H3Z9,
BSU_05160,ydeD,unknown,unknown,unknown,ydeD,P96661,gene_detail+BG12131
BSU_39940,yxaL,"similar to Ser/Thr kinase, increases the processivity of the [[protein|C73E52D214E24F21696973B19B0A44CE785D6FBA]] helicase",unknown,unknown,yxaL;yxaK,P42111,gene_detail+BG11114
BSU_38280,efeU,"elemental iron uptake system (permease), high affinity uptake of ferric iron (Fe(III))",elemental iron uptake,elemental iron uptake system (permease),efeU;ywbL,P39595,gene_detail BG10573
BSU_29070,ytaF,[SW|sporulation] protein,unknown,[SW|sporulation] protein,ytaF,C0SP79,gene_detail+BG13823
BSU_29420,ytkK,similar to 3-oxoacyl- acyl-carrier protein reductase,unknown,unknown,ytkK,O34308,gene_detail+BG13870
BSU_29790,murC,UDP-N-acetylmuramoyl-L-alanine synthetase,peptidoglycan precursor biosynthesis,UDP-N-acetylmuramoyl-L-alanine synthetase,murC;ytxF,P40778,gene_detail BG10973
BSU_25080,yqfX,unknown,unknown,unknown,yqfX,P54481,gene_detail+BG11670
new_2647113_2647674_c,S965,"new RNA feature, 5'UTR of yqeG
",,5'UTR of yqeG,S965,,
BSU_08720,ygaF,similar to thioredoxin-dependent hydroperoxide peroxidase,resistance against oxidative stress,unknown,ygaF,Q796Y8,gene_detail+BG12226
new_2263262_2263488,S806,"new RNA feature, intergenic region
",,intergenic region,S806,,
BSU_33670,yvaO,similar to transcription regulator ([SW|Xre family]),unknown,unknown,yvaO,O32237,gene_detail+BG14070
new_1492169_1492260,S519,"new RNA feature, 5'UTR of ykuU
",,5'UTR of ykuU,S519,,
BSU_30770,mntA,"manganese [SW|ABC transporter] (binding protein, lipoprotein)",manganese uptake,manganese [SW|ABC transporter] (binding protein),mntA;ytgA,O34385,gene_detail+BG13851
BSU_03490,srfAB,surfactin synthetase / competence,antibiotic synthesis,surfactin synthetase / competence,srfAB;comL,Q04747,gene_detail+BG10169
BSU_03880,yczG,similar to transcriptional regulator ([SW|ArsR family]),unknown,unknown,yczG,O31480,gene_detail+BG12781
BSU_09730,yheG,unknown,unknown,unknown,yheG,O07548,gene_detail+BG13039
new_3842651_3843000_c,S1449,"new RNA feature, 3'UTR of ywhL
",,3'UTR of ywhL,S1449,,
BSU_15600,cysC,adenylyl-sulfate kinase,sulfate reduction and activation,adenylyl-sulfate kinase,cysC;ylnC,O34577,gene_detail+BG13379
BSU_19850,yotK,unknown,unknown,unknown,yotK,O31866,gene_detail+BG13744
BSU_09965,yhaJ,putative bacteriocin,unknown,putative bacteriocin,yhaJ,O07518,gene_detail+BG12986
BSU_25130,nfo,type IV apurinic/apyrimidinic endonuclease,repair of oxidative DNA damage in spores,type IV apurinic/apyrimidinic endonuclease,nfo;yqfS,P54476,gene_detail+BG11665
BSU_22740,hepT,heptaprenyl diphosphate synthase component II,menaquinone biosynthesis,heptaprenyl diphosphate synthase component II (together with [[protein|C45A5935559F0DAAD70F808725AF730BC18A2B0A]]),hepT;gerCC;hepB;gerC58,P31114,gene_detail BG10281
BSU_15320,sigE,[SW|RNA polymerase ][SW|sporulation ]mother cell-specific (early) [SW|sigma factor ]SigE,transcription of [SW|sporulation ]genes (early mother cell),[SW|RNA polymerase ][SW|sporulation ]mother cell-specific (early) [SW|sigma factor ]SigE,sigE;spoIIGB,P06222,gene_detail+BG10235
BSU_31900,yukD,"Ubiquitin-like protein, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]], putative bacteriocin",export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],"ubiquitin-like protein, part of the type VII protein secretion system, putative bacteriocin",yukD,P71071,gene_detail+BG12377
BSU_23200,ypuI,rRNA pseudouridine 2633 synthase,translation,rRNA pseudouridine 2633 synthase,ypuI,P35156,gene_detail+BG10526
new_1767136_1767309,S607,"new RNA feature, 5'UTR of rny
",,5'UTR of rny,S607,,
new_209557_209632,S74,"new RNA feature, intergenic region
",,intergenic region,S74,,
BSU_40574,yyzJ,"unknown, putative pseudogene",unknown,unknown,yyzJ,,
new_3340938_3341024_c,S1253,"new RNA feature, 5'UTR of pucA
",,5'UTR of pucA,S1253,,
new_706872_706972,S232,"new RNA feature, intergenic region
",,intergenic region,S232,,
BSU_tRNA_63,trnB-Ser1,,translation,transfer RNA-Ser,trnB-Ser1,,gene_detail+BG00085
BSU_29300,ribR,"riboflavin kinase with preference for dihydroriboflavin, binds FMN riboswitches of the rib operon and of ribU to allow expression even in the presence of FMN, required for the conversion of S-methyl-cysteine to cysteine","utilization of S-methyl-cysteine, regulation of rib operon expression",riboflavin kinase with preference for dihydroriboflavin,ribR;ytnK;rbfK,P94465,gene_detail BG11969
BSU_15720,defA,formylmethionine deformylase,translation,formylmethionine deformylase,defA;yloK;def,P94462,gene_detail BG11933
BSU_29730,motP,Na<sup>+</sup>-coupled [[protein|3D42584D65D80A1C73F057714647E29FF6BBD58A]]-[[protein|MotS ]]flagellar stator,[SW|motility and chemotaxis],motility protein (flagellar motor rotation),motP;ytxD,P39063,gene_detail+BG10365
BSU_34850,yvcA,required for complex colony development,complex colony development,lipoprotein,yvcA,O06965,gene_detail+BG12393
BSU_29090,polA,"DNA polymerase I, required for repair of UV- or MMS-induced DNA damage, processing of Okazaki fragments",DNA replication,DNA polymerase I,polA,O34996,gene_detail BG12656
BSU_01730,sigW,"[SW|RNA polymerase] ECF-type [SW|sigma factor] SigW, required for the adaptation to membrane active agents, activated by alkaline shock and by polymyxin B, vancomycin, cephalosporin C, D-cycloserine, and triton X-100",adaptation to membrane-active compounds,[SW|RNA polymerase] ECF-type [SW|sigma factor] SigW,sigW;ybbL,Q45585,gene_detail BG11573
BSU_11928,yjzF,unknown,unknown,unknown,yjzF,C0H3Z0,
BSU_27170,fatR,transcriptional repressor of the [[gene|3DA3FFB295F5513A220CB163994EE0F356C810E6]]-[[gene|4BA5214C441C6671CB7DAA3CACBCA5FC025BE0E6]] operon,unknown,transcriptional repressor of the [[gene|3DA3FFB295F5513A220CB163994EE0F356C810E6]]-[[gene|4BA5214C441C6671CB7DAA3CACBCA5FC025BE0E6]] operon ([SW|TetR family]),fatR;yrhI;bscR,O08335,gene_detail+BG12298
BSU_16730,spoVFA,dipicolinate synthase (subunit A),dipicolic acid production,dipicolinate synthase (subunit A),spoVFA;dpaA,Q04809,gene_detail+BG10781
BSU_32070,yuiC,"stationary phase survival protein, sporulation protein",unknown,"stationary phase survival protein, sporulation protein",yuiC,O32108,gene_detail+BG13968
BSU_24140,mmgD,2-methylcitrate synthase,mother cell metabolism,2-methylcitrate synthase,mmgD;yqiO;prpC,P45858,gene_detail+BG11322
new_2190663_2191625,S773,"new RNA feature, 5'UTR of ligB
",,5'UTR of ligB,S773,,
BSU_09240,yhcW,putative glycerol-3-phosphatase,unknown,unknown,yhcW,P54607,gene_detail BG11601
BSU_30610,ytlC,similar to anion transport [SW|ABC transporter] (ATP-binding protein),unknown,[SW|ABC transporter] (ATP-binding protein),ytlC,O34314,gene_detail+BG13875
BSU_13450,sigI,[SW|RNA polymerase ][SW|sigma factor ]SigI,control of a class of heat shock genes,[SW|RNA polymerase ][SW|sigma factor ]SigI,sigI;ykoZ,O31654,gene_detail BG13269
BSU_21058,BSU_21058,annotated in RefSeq,,,,,
new_3913514_3913645_c,S1469,"new RNA feature, 5'UTR of rodA
",,5'UTR of rodA,S1469,,
BSU_07460,yfmI,similar to macrolide-efflux transporter,unknown,unknown,yfmI,O34440,gene_detail+BG12960
BSU_23280,ribD,5-amino-6-(5-phosphoribosylamino)uracil reductase,riboflavin biosynthesis,5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD;ribG,P17618,gene_detail BG10518
BSU_28950,thrS,threonyl-tRNA synthetase (major),translation,threonyl-tRNA synthetase (major),thrS,P18255,gene_detail BG10362
,BSU_11136,Ravikumar et al,,,,,
BSU_33310,fhuB,hydroxamate siderophore [SW|ABC transporter] (ferrichrome und ferrioxamine) (permease),siderophore uptake,hydroxamate siderophore [SW|ABC transporter  ](ferrichrome und ferrioxamine) (permease),fhuB,P49936,gene_detail+BG11389
BSU_09910,yhaO,similar to DNA double-strand break repair protein,unknown,unknown,yhaO;sbcF,O07522,gene_detail BG12991
BSU_02180,ybfE,unknown,unknown,unknown,ybfE,O31445,gene_detail+BG12734
BSU_33990,yvbU,similar to transcriptional regulator ([SW|LysR family]),unknown,transcriptional regulator ([SW|LysR family]),yvbU,O32255,gene_detail+BG14087
BSU_37660,pta,phosphotransacetylase,overflow metabolism,phosphotransacetylase,pta;ipa-88d;ywfJ,P39646,gene_detail BG10634
new_506502_506670_c,S153,"new RNA feature, 5'UTR of fbpB
",,5'UTR of fbpB,S153,,
BSU_12230,yjjA,similar to uroporphyrinogen III synthase,unknown,similar to uroporphyrinogen III synthase,yjjA,O34394,gene_detail+BG13197
BSU_01550,gerD,"scaffold of the germinosome, required for clustering of germinant receptors in the spore inner membrane",germination,lipoprotein,gerD,P16450,gene_detail BG10644
BSU_14200,ykuS,unknown,unknown,unknown,ykuS,O34783,gene_detail+BG13303
BSU_05450,ydfK,unknown,unknown,unknown,ydfK,P96689,gene_detail BG12158
BSU_28090,valS,valyl-tRNA synthetase,translation,valyl-tRNA synthetase,valS,Q05873,gene_detail BG10321
BSU_20510,yoqU,unknown,unknown,unknown,yoqU,O31918,gene_detail BG13679
BSU_rRNA_18,rrnD-5S,5S rRNA,translation,ribosomal RNA-5S,rrnD-5S,,gene_detail+BG00047
,rrcM,"regulatory RNA, [SW|ncRNA]",control of central metabolism,RNA regulator of central metabolism,rrcM,,
BSU_14530,rnjA,"RNase J1, important for the degradation of RNA fragments containing transcription terminators, resolves stalled transcription complexes",RNA processing,RNase J1,rnjA;ykqC,Q45493,gene_detail BG11813
BSU_23670,yqkA,unknown,unknown,unknown,yqkA,P54564,gene_detail+BG11756
BSU_21720,ypmT,unknown,unknown,unknown,ypmT,P54180,gene_detail BG11624
BSU_28960,ytxC,unknown,unknown,unknown,ytxC,P06569,gene_detail+BG10361
BSU_31420,yugF,similar to dihydrolipoamide S-acetyltransferase,unknown,unknown,yugF,O05235,gene_detail+BG12360
new_1229850_1229914,S413,"new RNA feature, 5'UTR of coiA
",,5'UTR of coiA,S413,,
new_1264932_1265017_c,S432,"new RNA feature, 5'UTR of yjcM
",,5'UTR of yjcM,S432,,
BSU_11540,pepF,"oligoendopeptidase, inhibits sporulation upon overexpression",protein degradation,oligoendopeptidase,pepF;yjbG,O31605,gene_detail+BG13136
new_3153832_3153982_c,S1177,"new RNA feature, 5'UTR of menF
",,5'UTR of menF,S1177,,
BSU_22210,mrfB,"metal-dependent exonuclease, part of a novel nucleotide excision repair pathway",mitomycin C-specific DNA damage repair,metal-dependent exonuclease,mrfB;yprB,P50837,gene_detail+BG11452
BSU_tRNA_58,trnB-Arg,,translation,transfer RNA-Arg,trnB-Arg,,gene_detail+BG00080
BSU_08910,queG,epoxyqueuosine reductase,"synthesis of queuosine, tRNA modification",epoxyqueuosine reductase,queG;ygaP;yhbA,P97030,gene_detail BG12236
BSU_16080,ylqH,similar to flagellar biosynthetic protein,unknown,unknown,ylqH,O34867,gene_detail BG13407
new_3224826_3225137_c,S1200,"new RNA feature, intergenic region
",,intergenic region,S1200,,
BSU_25520,yqxA,sporulation protein,unknown,unknown,yqxA;yqeP,P38425,gene_detail+BG10440
new_2930783_2931047,S1082,"new RNA feature, independent transcript
",,independent transcript,S1082,,
new_1159082_1159149,S388,"new RNA feature, 3'UTR of asnO
",,3'UTR of asnO,S388,,
BSU_18470,proJ,glutamate 5-kinase,osmoadaptive de novo production of proline,glutamate 5-kinase,proJ;yohA,O07509,gene_detail BG12658
BSU_37740,bacA,"bacilysin biosynthesis protein, prephenate decarboxylase",biosynthesis of the antibiotic bacilysin,"anticapsin biosynthesis protein, prephenate decarboxylase",bacA;ywfB;ipa-80d,P39638,gene_detail+BG10626
BSU_33730,opuBA,choline and arsenocholine [SW|ABC transporter] (ATP-binding protein),compatible solute transport,choline and arsenocholine [SW|ABC transporter] (ATP-binding protein),opuBA;proV,Q45460,gene_detail BG12633
BSU_17250,ymaE,unknown,unknown,unknown,ymaE,O31787,gene_detail+BG13413
new_4094722_4095322_c,S1533,"new RNA feature, 3'UTR of yxbD
",,3'UTR of yxbD,S1533,,
BSU_39790,yxcE,unknown,unknown,unknown,yxcE,P46335,gene_detail+BG11362
BSU_03320,nasB,nitrate reductase (electron transfer subunit),utilization of nitrate,nitrate reductase (electron transfer subunit),nasB;nasBA,P42433,gene_detail+BG11094
new_2854560_2854625_c,S1058,"new RNA feature, 5'UTR of spo0B
",,5'UTR of spo0B,S1058,,
BSU_33780,sdpI,"immunity protein, protection against SdpC",protection against SdpC,immunity protein,sdpI;yvaZ,O32241,gene_detail+BG14077
BSU_05280,ydeO,unknown,unknown,unknown,ydeO,P96672,gene_detail+BG12142
new_1695136_1695253,S585,"new RNA feature, intergenic region
",,intergenic region,S585,,
BSU_20880,yopI,unknown,unknown,unknown,yopI,O31929,gene_detail+BG13642
new_1484357_1484465,S515,"new RNA feature, intergenic region
",,intergenic region,S515,,
BSU_31890,yukC,"membrane pseudokinase-like protein, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]",export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],"membrane pseudokinase-like protein, part of the type VII protein secretion system",yukC,P71070,gene_detail+BG12376
BSU_21050,yonN,SP prophage-derived DNA-binding protein HU 2,untwisting of the DNA double helix,DNA-binding protein HU 2,yonN,P68573,gene_detail+BG13625
BSU_16240,fliI,flagellar-specific ATPase for the export of flagellar proteins,export of flagellar proteins,flagellar-specific ATPase,fliI,P23445,gene_detail BG10243
BSU_24920,yqgL,unknown,unknown,unknown,yqgL,P54489,gene_detail+BG11679
BSU_19790,cgeB,maturation of the outermost layer of the spore,maturation of the outermost layer of the spore,unknown,cgeB;cgeAB,P42090,gene_detail+BG11194
BSU_00520,ctc,"general stress protein, similar to ribosomal protein L25",[SW|translation] (under stress conditions),ribosomal protein,ctc,P14194,gene_detail BG10115
BSU_05040,yddN,similar to alkanal monooxygenase,unknown,unknown,yddN,P96651,gene_detail BG12121
BSU_16510,pyrH,uridylate kinase,pyrimidine biosynthesis,uridylate kinase,pyrH;smbA,O31749,gene_detail BG12675
BSU_20260,yorT,unknown,unknown,unknown,yorT,O31894,gene_detail+BG13704
BSU_17200,pksM,polyketide synthase,polyketide synthesis,polyketide synthase,pksM,P40872,gene_detail+BG10931
BSU_30120,yteR,"galacturonyl hydrolase, catalyses intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]]",intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]],"galacturonyl hydrolase, catalyses intracellular degradation of disaccharides generated by [[protein|217BAA94FB926CDA7CA8800BC6B08371792CEE31]]",yteR,O34559,gene_detail+BG13843
BSU_14470,mreBH,"[SW|cell shape]-determining protein, forms filaments, the polymers control/restrict the mobility of the cell wall elongation enzyme complex, required for [[protein|321F248C22D7283C0F3323F1F4069E36F8D7FE6C]] activity",[SW|cell shape] determation,[SW|cell shape]-determining protein,mreBH,P39763,gene_detail BG10987
new_1535752_1535847_c,S535,"new RNA feature, 5'UTR of speA
",,5'UTR of speA,S535,,
new_135170_135363,S55,"new RNA feature, 5'UTR of rpsJ
",,5'UTR of rpsJ,S55,,
BSU_21940,degR,regulation of degradative enzyme production,control of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity,positive effector of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]]-phosphate stability,degR;prtR,P68731,gene_detail+BG10699
BSU_15030,spoVV,transporter for dipicolinic acid across the outer forespore membrane,transport of dipicolinic acid across the outer forespore membrane,dipicolinic acid transporter,spoVV;ylbJ,O34765,gene_detail BG13362
BSU_31720,degQ,"stimulates production of degradative enzymes and of extracellular poly-gamma-glutamate, stimulates phosphorylation of DegU by DegS, gene is not expressed in the lab strain 168 due to  promoter down mutation in the -10 region (T - 10  ---> C)",regulation of exoenzyme synthesis,pleiotropic regulator,degQ;sacQ,Q99039,gene_detail BG10378
BSU_17340,hfq,RNA chaperone,unknown,RNA chaperone,hfq;ymaH,O31796,gene_detail BG13416
new_3049503_3049699_c,S1142,"new RNA feature, 5'UTR of murC
",,5'UTR of murC,S1142,,
new_3276435_3276513_c,S1226,"new RNA feature, 5'UTR of yukE
",,5'UTR of yukE,S1226,,
BSU_11330,fabHA,"beta-ketoacyl-acyl carrier protein synthase III, principal condensing enzyme responsible for the initiation of fatty acid synthesis in non-stressed B. subtilis cells",fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein synthase III,fabHA;yjaX,O34746,gene_detail+BG13127
BSU_34240,epsM,"UDP-2,4,6-trideoxy-2-acetamido-4-amino glucose acetyltransferase, extracellular polysaccharide synthesis","[[category|SW 4.1.2]], biosynthesis of N,N'-diacetylbacillosamine","UDP-2,4,6-trideoxy-2-acetamido-4-amino glucose acetyltransferase",epsM;yvfD,P71063,gene_detail+BG11872
new_3305322_3305430_c,S1242,"new RNA feature, 5'UTR of paiA
",,5'UTR of paiA,S1242,,
new_1032054_1034008,S331,"new RNA feature, intergenic region
",,intergenic region,S331,,
new_2887590_2887779_c,S1069,"new RNA feature, 5'UTR of tig
",,5'UTR of tig,S1069,,
new_1782643_1782712,S614,"new RNA feature, 5'UTR of pksB
",,5'UTR of pksB,S614,,
BSU_16120,topA,DNA topoisomerase I,relaxation of negatively supercoiled DNA behind RNA polymerase,DNA topoisomerase I,topA;topI,P39814,gene_detail BG11007
new_4194210_4195441_c,S1573,"new RNA feature, 5'UTR of yyaK
",,5'UTR of yyaK,S1573,,
BSU_32560,frlR,transcriptional regulator ([SW|GntR family]),regulation of utilization of sugar amines,transcriptional regulator ([SW|GntR family]),frlR;yurK,O32152,gene_detail+BG13997
new_3744322_3745406_c,S1402,"new RNA feature, intergenic region
",,intergenic region,S1402,,
BSU_36910,ywlG,affects the level of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]] modification,control of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]] modification,unknown,ywlG;ipc-33d,P39157,gene_detail+BG10943
new_3913898_3914008,S1470,"new RNA feature, 5'UTR of ywcE
",,5'UTR of ywcE,S1470,,
BSU_07290,yfnF,unknown,unknown,unknown,yfnF,O06484,gene_detail BG12977
BSU_26090,yqbJ,similar to phage-related protein,unknown,unknown,yqbJ,P45926,gene_detail+BG11281
new_2699244_2699382,S983,"new RNA feature, 3'UTR of sknR
",,3'UTR of sknR,S983,,
BSU_23040,fer,ferredoxin,electron transfer,ferredoxin,fer;ypbA,P50727,gene_detail+BG11388
BSU_38840,yxkD,unknown,unknown,unknown,yxkD,P94357,gene_detail BG12542
BSU_rRNA_30,rrnE-16S,16S rRNA,translation,ribosomal RNA-16S,rrnE-16S,,gene_detail+BG00113
BSU_15290,ftsZ,cell-division initiation protein (septum formation),formation of Z-ring,"cell-division initiation protein (septum formation), member of the [SW|divisome]",ftsZ;ts-1,P17865,gene_detail BG10232
BSU_07710,ltaS,"major polyglycerolphosphate lipoteichoic acid synthase, required for proper colony development",biosynthesis of lipoteichoic acid,major lipoteichoic acid synthase,ltaS;yflE,O34952,gene_detail BG12940
BSU_27630,yrvD,unknown,unknown,unknown,yrvD,O32045,gene_detail BG13803
BSU_25980,yqbT,similar to phage-related protein,unknown,unknown,yqbT,P45935,gene_detail+BG11291
new_3786458_3786619_c,S1425,"new RNA feature, intergenic region
",,intergenic region,S1425,,
BSU_40570,yybO,similar to permease,unknown,unknown,yybO,P37489,gene_detail BG10016
BSU_11010,yitJ,"bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase","methionine biosynthesis, tetrahydrofolate interconversion","bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase",yitJ,O06745,gene_detail+BG13115
BSU_10270,lcfB,"long-chain fatty-acid-CoA ligase, involved in surfactin production",fatty acid degradation,long-chain fatty-acid-CoA ligase,lcfB;yhfL,O07610,gene_detail+BG13057
BSU_27370,yrrL,potential terminase for peptidoglycan polymerization,determination of peptidoglycan chain length,potential terminase for peptidoglycan polymerization,yrrL;mltG,O34758,gene_detail BG13793
new_2904537_2904679_c,S1075,"new RNA feature, intergenic region
",,intergenic region,S1075,,
new_840528_841664_c,S268,"new RNA feature, 5'UTR of yflG
",,5'UTR of yflG,S268,,
BSU_25360,yqfC,sporulation protein,unknown,unknown,yqfC,P54468,gene_detail+BG11653
BSU_06370,pbuG,hypoxanthin/ guanine permease,hypoxanthine and guanine uptake,hypoxanthin/ guanine permease,pbuG;yebB,O34987,gene_detail+BG12811
BSU_24730,comGA,"late competence protein, traffic ATPase, binds and transports transforming DNA, required for growth arrest of competent cells",genetic competence,traffic ATPase,comGA,P25953,gene_detail BG10483
new_2908738_2908833_c,S1076,"new RNA feature, 5'UTR of sdhC
",,5'UTR of sdhC,S1076,,
new_3873771_3874382,S1459,"new RNA feature, independent transcript
",,independent transcript,S1459,,
new_2208373_2208745,S784,"new RNA feature, independent transcript
",,independent transcript,S784,,
BSU_11230,carA,carbamoyl-phosphate transferase-arginine (subunit A),biosynthesis of arginine,carbamoyl-phosphate transferase-arginine (subunit A),carA,P36838,gene_detail+BG10195
BSU_27310,pbpI,[SW|sporulation]-specific penicillin-binding protein 4b,unknown,penicillin-binding protein 4b,pbpI;yrrR;pbpI,O32032,gene_detail BG13797
new_335729_336091_c,S109,"new RNA feature, 3'UTR of ycgH
",,3'UTR of ycgH,S109,,
BSU_16270,fliK,"flagellar hook-length control, substrate specificity switch regulator",movement and chemotaxis,flagellar hook-length control,fliK,P23451,gene_detail BG10247
new_3604923_3604992,S1337,"new RNA feature, 5'UTR of yvmB
",,5'UTR of yvmB,S1337,,
new_1949513_1949584_c,S678,"new RNA feature, 5'UTR of nrnB
",,5'UTR of nrnB,S678,,
BSU_misc_RNA_62,mswJ,annotated in RefSeq,,,,,
BSU_39160,yxiI,unknown,unknown,unknown,yxiI,P42301,gene_detail+BG11138
BSU_39390,hutM,histidine permease,histidine uptake,histidine permease,hutM,P42087,gene_detail+BG11101
new_1090331_1090400,S358,"new RNA feature, intergenic region
",,intergenic region,S358,,
BSU_40578,yyzK,"unknown, putative pseudogene",unknown,unknown,yyzK,,
BSU_16660,truB,tRNA pseudouridine 5S synthase,tRNA modification,tRNA pseudouridine 5S synthase,truB;ylxN;ymxF,P32732,gene_detail+BG10271
BSU_03440,tlpC,"membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein",control of chemotaxis,methyl-accepting chemotaxis protein,tlpC,P39209,gene_detail BG10790
BSU_03530,ycxA,unknown,unknown,unknown,ycxA,Q08791,gene_detail+BG10172
new_2951898_2952204,S1088,"new RNA feature, 3'UTR of ysdB
",,3'UTR of ysdB,S1088,,
BSU_04790,ydcK,,unknown,unknown,ydcK,P96628,gene_detail+BG12098
new_2517757_2517885_c,S913,"new RNA feature, 5' of S912
",,5' of S912,S913,,
BSU_06036,ydzT/3,"putative integrase (fragment), internal part of YdzT",unknown,unknown,ydzT/3,,
new_3555807_3555901_c,S1320,"new RNA feature, intergenic region
",,intergenic region,S1320,,
new_367293_368962,S121,"new RNA feature, intergenic region
",,intergenic region,S121,,
BSU_23230,ypuF,unknown,unknown,unknown,ypuF,P17617,gene_detail+BG10523
BSU_32000,dhbA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",biosynthesis of the siderophore bacillibactin,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",dhbA;entA,P39071,gene_detail BG11019
BSU_31800,yueF,"membrane protein, similar to coordinator of zonal elongation, may control [SW|cell wall synthesis ]by the [SW|penicillin-binding proteins]",may control [SW|cell wall synthesis ]by the [SW|penicillin-binding proteins],similar to coordinator of zonal elongation,yueF,O32095,gene_detail+BG13961
BSU_13590,mtnW,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase, Rubisco-like protein",methionine salvage,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",mtnW;ykrW,O31666,gene_detail+BG13282
BSU_36500,ywoB,unknown,unknown,unknown,ywoB,P94572,gene_detail+BG12489
BSU_32150,paiA,spermine/spermidine-N-acetyltransferase,control of intracellular polyamine concentrations,spermine/spermidine-N-acetyltransferase,paiA,P21340,gene_detail BG10695
BSU_rRNA_21,rrnB-5S,5S rRNA,translation,ribosomal RNA-5S,rrnB-5S,,gene_detail+BG00073
BSU_24960,pstBA,phosphate [SW|ABC transporter] (ATP-binding protein),high-affinity phosphate uptake,phosphate [SW|ABC transporter] (ATP-binding protein),pstBA;pstB;yqgJ;yzmE,P46341,gene_detail+BG11378
BSU_38810,msmX,multiple sugar [SW|ABC transporter ](ATP-binding protein),"uptake of maltodextrin, melibiose (probably), and galactooligosaccharides",multiple sugar [SW|ABC transporter ](ATP-binding protein),msmX;yxkG,P94360,gene_detail+BG11954
BSU_tRNA_18,trnJ-Arg,,translation,transfer RNA-Arg,trnJ-Arg,,gene_detail+BG00026
BSU_26935,BSU_26935,annotated in RefSeq,,,,,
BSU_08425,mprF,"synthesis of lysylphosphatidylglycerol (L-PG), lysinylation of phosphatidylglycerol provides some resistance against positively charged antimicrobial peptides",lysyl-phosphatidylglycerol lipid biosynthesis,lysyl-phosphatidylglycerol synthase,mprF;yfiW;yfiX,C0H3X7,gene_detail BG12899 old_YfiW
BSU_19490,gerT,"spore coat protein, involved in germination",germination,spore coat protein,gerT;yozR,Q7WY67,gene_detail+BG14190
BSU_38640,yxlH,similar to multidrug-efflux transporter,unknown,unknown,yxlH,P94376,gene_detail+BG12554
BSU_15910,fabG,beta-ketoacyl-acyl carrier protein reductase,fatty acid biosynthesis,beta-ketoacyl-acyl carrier protein reductase,fabG;ylpF,P51831,gene_detail BG11535
new_3263786_3264226_c,S1221,"new RNA feature, intergenic region
",,intergenic region,S1221,,
BSU_09500,yhdK,"anti-[[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] protein,required for the perception of  cell  wall  stress  signals",control of [[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] activity,anti-[[protein|081DF3EE9FA56209D648C7677188C61CE3AA8E41]] protein,yhdK,O07580,gene_detail BG13017
new_3045221_3045329_c,S1139,"new RNA feature, 5'UTR of ccpA
",,5'UTR of ccpA,S1139,,
BSU_16845,ymfF,unknown,unknown,unknown,ymfF,O31764,gene_detail+BG13426
BSU_29770,ytxH,general stress protein,unknown,unknown,ytxH;csb40,P40780,gene_detail+BG10975
BSU_23030,ypbB,unknown,unknown,unknown,ypbB,P50728,gene_detail+BG11429
BSU_23850,zwf,"glucose 6-phosphate dehydrogenase, pentose-phosphate pathway",initiation of the pentose phosphate pathway,glucose 6-phosphate dehydrogenase,zwf;yqjJ,P54547,gene_detail+BG11739
BSU_19560,mhqD,may be involved in protection against methyl-hydroquinone,may be involved in protection against methyl-hydroquinone,unknown,mhqD;yodD,O34842,gene_detail+BG13533
