gene_id.ko,gene_id.uniref90,gene_description,module,sheet,header,subheader,potential_amg,strain
NA,O31596,yjaZ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31597,yjbA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K15580,P24141,oppA;oligopeptide ABC transporter binding lipoprotein,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K15581,P24138,oppB;oligopeptide transport system permease protein OppB,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K15582,P24139,oppC;oligopeptide transport system permease protein OppC,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K15583,P24136,oppD;oligopeptide transport ATP-binding protein OppD,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K10823,P24137,oppF;oligopeptide transport ATP-binding protein OppF,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O31603,yjbE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K08602,O31605,pepF;oligoendopeptidase F,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,C0H3Y6,yizD;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06180,O31613,yjbO;RNA pseudouridine synthase YjbO,rRNA modification and maturation/ based on similarity,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
NA,O31622,cotO;spore coat protein O,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06344,Q08312,cotZ;spore coat protein Z,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06343,Q08311,cotY;spore coat protein Y,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06342,Q08313,cotX;spore coat protein X,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06341,Q08310,cotW;spore coat protein W,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06340,Q08309,cotV;spore coat protein V,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31623,yjcA;sporulation protein YjcA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3Y7,yjzK;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3Y8,yjcZ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31625,spoVIF;sporulation-specific transcription factor SpoVIF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31648,yjdG;N-acetyltransferase YjdG,NA,MISC,Proteins of unknown function,NA,TRUE,bs
NA,O31649,yjdH;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06339,P11863,cotT;spore coat protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34554,yjfA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34633,yjlC;hypothetical protein,NA,MISC,Genetics,Newly identified competence genes,TRUE,bs
NA,O34736,yjmC;oxidoreductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O35045,yjmD;zinc-type alcohol dehydrogenase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01686,O34346,uxuA;mannonate dehydratase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34896,yjmF;oxidoreductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K08191,O34456,exuT;hexuronate transporter,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q9JMQ1,exuR;LacI family transcriptional regulator,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00041,O34354,uxaB;altronate oxidoreductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01685,O34673,uxaA;altronate dehydratase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07090,O34578,yjnA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06359,Q00828,rapA;response regulator aspartate phosphatase A,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K06352,Q00829,phrA;phosphatase RapA inhibitor,Other protein controlling the activity of the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K07217,O34423,yjqC;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06389,O34800,spoIISB;stage II sporulation protein SB,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K06388,O34853,spoIISA;stage II sporulation protein SA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K05916,P49852,hmp;flavohemoprotein,NA,MISC,Electron transport and ATP synthesis,Electron transport/ other,TRUE,bs
NA,O31653,ykzH;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P49853,ykjA;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K24620,O34911,thiU;HMP/thiamine-binding protein YkoF,Class I ECF transporter,MISC,Transporters,ECF transporter,TRUE,bs
NA,O34405,ykzD;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0SPB9,ykoN;glycosyltransferase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34495,ykoP;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O35040,ykoQ;metallophosphoesterase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34830,ykoS;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K20534,O34755,ykoT;glycosyltransferase YkoT,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01971,O34398,ligD;ATP-dependent DNA ligase YkoU,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K10979,O34859,ykoV;DNA repair protein YkoV,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34311,dgcW;diguanylate cyclase,NA,MISC,Nucleotide metabolism,Metabolism of signalling nucleotides,TRUE,bs
NA,O34997,ykoY;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06421,P04833,sspD;small acid-soluble spore protein D,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03799,O31657,htpX;protease HtpX,Additional proteins involved in proteolysis,MISC,"Protein synthesis, modification and degradation",Proteolysis,TRUE,bs
NA,C0H402,ykzP;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31659,ykzE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K13533,O31661,kinE;sporulation kinase E,The kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K06376,P05043,spo0E;aspartyl-phosphate phosphatase Spo0E,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K13532,O31671,kinD;sporulation kinase D,The kinases,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O31674,ykvI;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31680,ykvO;oxidoreductase,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
NA,O31681,ykvP;spore protein YkvP,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31682,ykvQ;glycosylase YkvQ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31686,ykvU;sporulation protein YkvU,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,O31687,stoA;sporulation thiol-disulfide oxidoreductase A,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06315,P37955,splA;transcriptional regulator SplA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03716,P37956,splB;spore photoproduct lyase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q796K9,ykwB;N-acetyltransferase YkwB,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K02491,P16497,kinA;sporulation kinase A,The kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K00841,P16524,patA;N-acetyl-LL-diaminopimelate aminotransferase,Biosynthesis of peptidoglycan,MISC,Cell envelope and cell division,Cell wall synthesis,TRUE,bs
NA,O34816,"ldt;L,D-transpeptidase YkuD",Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34783,ykuS;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34857,rok;repressor rok,NA,MISC,Genetics,Genetic competence,TRUE,bs
K06437,O31700,yknT;sporulation protein cse15,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K18889,O31707,yknU;ABC transporter ATP-binding protein,Exporters,MISC,Transporters,ABC transporters,TRUE,bs
K18890,O31708,yknV;ABC transporter ATP-binding protein,Exporters,MISC,Transporters,ABC transporters,TRUE,bs
NA,Q45492,ykpC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K07698,P39764,kinC;sporulation kinase C,The kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K01462,Q45495,defB;peptide deformylase,Conversion of S-methyl cysteine to cysteine,MISC,Additional metabolic pathways,Sulfur metabolism,TRUE,bs
NA,C0H409,ykzV;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31719,ykzI;hypothetical protein,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
NA,O07634,ylaJ;lipoprotein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K07175,O07635,ylaK;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01425,O07637,ylaM;glutaminase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K02259,P12946,ctaA;heme A synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34682,ylbB;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34586,ylbC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34880,ylbD;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34958,ylbE;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34412,ylbF;regulatory protein YlbF,Other protein controlling the activity of the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O34765,spoVV;sporulation integral membrane protein YlbJ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07001,O34731,ylbK;NTE family protein YlbK,NA,MISC,Poorly characterized/ putative enzymes,NA,TRUE,bs
NA,O34549,gerR;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K08384,Q03524,spoVD;stage V sporulation protein D,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03588,P07373,spoVE;stage V sporulation protein E,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K02563,P37585,murG;UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00075,P18579,murB;UDP-N-acetylenolpyruvoylglucosamine reductase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03589,P16655,divIB;cell division protein DivIB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0SPA3,ylxW;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q45544,ylxX;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P28265,sbp;small basic protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03590,P28264,ftsA;cell division protein FtsA,Other genes,MISC,Cell envelope and cell division,Cell division,TRUE,bs
K03531,P17865,ftsZ;cell division protein FtsZ,Other genes,MISC,Cell envelope and cell division,Cell division,TRUE,bs
K06383,P13801,spoIIGA;sporulation sigma-E factor-processing peptidase,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K03091,P06222,sigE;RNA polymerase sigma-E factor,Sigma factors,MISC,Regulation of gene expression,Sigma factors and their control,TRUE,bs
K03091,P19940,sigG;RNA polymerase sigma-G factor,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31725,ylmC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K04074,P71021,divIVA;septum site-determining protein DivIVA,The Min system,MISC,Cell envelope and cell division,Cell division,TRUE,bs
NA,Q45478,ylyA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00958,O34764,sat;sulfate adenylyltransferase,NA,MISC,Additional metabolic pathways,Sulfur metabolism,TRUE,bs
K01537,O34431,yloB;calcium-transporting ATPase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K09777,Q7WY72,remA;hypothetical protein,Transcription factors/ other,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K12132,O34507,prkC;serine/threonine protein kinase,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K00949,O34664,yloS;thiamine pyrophosphokinase,Biosynthesis/ acquisition of thiamine,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
K06414,P37817,spoVM;stage V sporulation protein M,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00059,P51831,fabG;3-oxoacyl-[acyl-carrier-protein] reductase FabG,Biosynthesis of fatty acids,MISC,Lipid metabolism,Biosynthesis of lipids,TRUE,bs
K03529,P51834,smc;chromosome partition protein Smc,NA,MISC,Genetics,DNA condensation/ segregation,TRUE,bs
K03110,P51835,ftsY;signal recognition particle receptor FtsY,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31737,sivC;hypothetical protein,Proteins controlling the activity of the kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K03706,P39779,codY;GTP-sensing transcriptional pleiotropic repressor CodY,Transcription factors/ other,MISC,Regulation of gene expression,Transcription factors and their control,TRUE,bs
K11749,O31754,rasP;zinc metalloprotease RasP,Other genes,MISC,Cell envelope and cell division,Cell division,TRUE,bs
NA,P50850,swsB;hypothetical protein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,Q04805,mlpA;zinc protease YmxG,Additional proteins involved in proteolysis,MISC,"Protein synthesis, modification and degradation",Proteolysis,TRUE,bs
NA,Q04811,ymxH;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06410,Q04809,spoVFA;dipicolinate synthase subunit A,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06411,Q04810,spoVFB;dipicolinate synthase subunit B,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00133,Q04797,asd;aspartate-semialdehyde dehydrogenase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00928,Q04795,dapG;aspartokinase 1,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01714,Q04796,dapA;4-hydroxy-tetrahydrodipicolinate synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q99171,tepA;translocation-enhancing protein TepA,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,C0H413,ylzJ;hypothetical protein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K03466,P21458,spoIIIE;spore DNA translocase,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K08221,O31762,ymfD;bacillibactin exporter,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K00059,O31767,ymfI;oxidoreductase,Translation factor modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
NA,O31768,ymfJ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31771,rodZ;hypothetical protein,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K09769,O31775,ymdB;hypothetical protein,NA,MISC,Exponential and early post-exponential lifestyles,Biofilm formation,TRUE,bs
K06416,P45693,spoVS;stage V sporulation protein S,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
NA,O31779,ymcA;hypothetical protein,Other protein controlling the activity of the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K06328,P14016,cotE;spore coat protein E,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31790,ymaD;hypothetical protein,NA,MISC,Coping with stress,Resistance against oxidative and electrophile stress,TRUE,bs
NA,O31793,ymaG;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31794,ymaF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K00791,O31795,miaA;tRNA dimethylallyltransferase,tRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
K01448,Q06320,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06413,P27643,spoVK;stage V sporulation protein K,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P31844,ynxB;hypothetical protein,NA,MISC,Proteins of unknown function,NA,TRUE,bs
K01775,P94494,yncD;alanine racemase 2,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P94495,yncE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31802,cotU;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06326,P07790,cotC;spore coat protein C,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31805,yndA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31807,ynzB;hypothetical protein,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
K06310,O31808,yndD;hypothetical protein,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
K06311,O31809,yndE;spore germination protein YndE,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
K06312,O31810,yndF;spore germination protein YndF,NA,MISC,Sporulation,Germination/ based on similarity,TRUE,bs
NA,O31815,pghL;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31816,yndM;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01356,P31080,lexA;lexa repressor,NA,MISC,Genetics,DNA repair/ recombination,TRUE,bs
NA,P45707,sirA;sporulation inhibitor of replication protein SirA,NA,MISC,Genetics,DNA replication,TRUE,bs
NA,O31819,ynzD;aspartyl-phosphate phosphatase YnzD,Phosphatases controlling the phosphorelay,MISC,Sporulation,phosphorelay,TRUE,bs
K06335,Q45058,cotM;spore coat protein M,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06433,P71032,sspP;small acid-soluble spore protein P,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06432,P71031,sspO;small acid-soluble spore protein O,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H418,ynzL;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06431,Q7WY69,sspN;small acid-soluble spore protein N,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06434,Q45060,tlp;small acid-soluble spore protein Tlp,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q45069,ynfE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K07097,O31824,nrnB;oligoribonuclease NrnB,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31825,yngE;carboxylase YngE,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34893,yngF;enoyl-CoA hydratase/isomerase YngF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01640,O34873,yngG;hydroxymethylglutaryl-CoA lyase YngG,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H419,yngHB;biotin/lipoyl attachment protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01961,O34544,yngH;biotin carboxylase 2,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00666,O31826,yngI;acyl-CoA synthetase YngI,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34421,yngJ;acyl-CoA dehydrogenase YngJ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34356,ynzE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O35015,yngK;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34506,yngL;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K23598,O34841,iseA;hypothetical protein,Autolysis,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,TRUE,bs
K00931,O07509,proJ;glutamate 5-kinase,Biosynthesis/ acquisition of proline,MISC,Amino acid/ nitrogen metabolism,Biosynthesis/ acquisition of amino acids,TRUE,bs
K00286,P0CI77,proH;pyrroline-5-carboxylate reductase 1,Biosynthesis/ acquisition of proline,MISC,Amino acid/ nitrogen metabolism,Biosynthesis/ acquisition of amino acids,TRUE,bs
NA,P14802,yoxD;oxidoreductase,NA,MISC,Phosphoproteins,"Phosphorylation on either a Ser, Thr or Tyr residue",TRUE,bs
NA,Q7WY68,yozQ;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00483,C0SPC0,yoaI;4-hydroxyphenylacetate 3-monooxygenase,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34906,yoaM;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01569,O34767,oxdD;oxalate decarboxylase OxdD,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31831,yoaQ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H421,yozT;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31832,yozF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34611,yoaR;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34701,yoaU;LysR family transcriptional regulator,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34541,yoaW;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06369,O34930,rapK;response regulator aspartate phosphatase K,NA,MISC,Genetics,Genetic competence,TRUE,bs
NA,O34363,yobN;amine oxidase,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P94497,yobW;mother cell-specific membrane sporulation protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P80872,yocK;general stress protein 16O,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
NA,O34976,yocL;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H429,yoyB;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34321,yocM;hypothetical protein,NA,MISC,Coping with stress,Coping with hyper-osmotic stress,TRUE,bs
NA,O31846,yozN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34855,yocN;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K18115,Q796C3,sqhC;sporulenol synthase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K04564,O35023,sodF;superoxide dismutase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31853,yojK;UDP-glucosyltransferase YojK,NA,MISC,Coping with stress,Resistance against toxins/ antibiotics/ based on similarity,TRUE,bs
K18672,O31854,cdaS;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,Q7WY67,gerT;spore germination protein GerT,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31861,yojB;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K03299,O31862,yojA;permease YojA,NA,MISC,Membrane proteins,NA,TRUE,bs
K03797,O34666,ctpA;carboxy-terminal processing protease CtpA,Additional proteins involved in proteolysis,MISC,"Protein synthesis, modification and degradation",Proteolysis,TRUE,bs
NA,O34954,yodH;methyltransferase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34654,yodI;hypothetical protein,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H432,yoyE;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O30472,yodL;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31863,yozD;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H433,yoyF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
