Gene,symbol,Function,FC,header,mutant.strain
CD3580,,Conserved hypothetical protein,0.12,Proteins of unknown function,sigK
CD3613,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD3620,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD1286,,Conserved hypothetical protein,2.17,Proteins of unknown function,sigK
CD1831.1,,Conserved hypothetical protein,2.36,Proteins of unknown function,sigK
CD1230,,Fragment of RNA polymerase sigma-K factor SigK (Part1),0.05,Sporulation,sigK
CD3569,,"Sporulation-specific protease, YabG-like protein",0.22,Sporulation,sigK
CD1613  , cotA,Spore outer coat layer protein CotA,0.05,Sporulation,sigK
CD2399,,Conserved hypothetical protein,0.01,Sporulation,sigK
CD2400  , cotJB2,Spore coat peptide assembly protein CotJB 2,0.01,Sporulation,sigK
CD2401  , cotD,Spore coat protein CotD manganese catalase,0.01,Sporulation,sigK
CD0596,,Conserved hypothetical protein,0.02,Sporulation,sigK
CD0597  , cotJB1,Spore coat peptide assembly protein,0.02,Sporulation,sigK
CD0598  , cotCB,Spore-coat protein CotCB manganese catalase,0.01,Sporulation,sigK
CD1433  , cotE,Spore coat protein CotE peroxiredoxin/chitinase,0.03,Sporulation,sigK
CD2968  , dpaA,Dipicolinate synthase subunit A,0.08,Sporulation,sigK
CD2967  , spoVFB,Dipicolinate synthase subunit B,0.09,Sporulation,sigK
CD0551  , sleC,Spore cortex-lytic enzyme pre-pro-form,0.14,Sporulation,sigK
CD0332  , bclA1,Putative exosporium glycoprotein,0.08,Sporulation,sigK
CD3230  , bclA2,Putative exosporium glycoprotein,0.04,Sporulation,sigK
CD3349  , bclA3,Exosporium glycoprotein BclA3,0.02,Sporulation,sigK
CD0514,cwpV,Cell surface protein,0.2,Enveloppes,sigK
CD1898,,"Cell wall hydrolase, N-acetylmuramic acid L-alanine amidase",0.12,Enveloppes,sigK
CD1897,,Conserved hypothetical protein,0.13,Enveloppes,sigK
CD2184,,Putative N-acetylmuramoyl-L-alanine amidase (cell wall hydrolase),0.13,Enveloppes,sigK
CD2664,murE,UDP-N-acetylmuramyl-tripeptide synthetase,0.42,Enveloppes,sigK
CD3007,,"Putative L,D-transpeptidases",0.48,Enveloppes,sigK
CD2537,,Putative membrane-associated 5'-nucleotidase/phosphoesterase,0.22,Enveloppes,sigK
CD2458,,"Transporter, Major Facilitator Superfamily (MFS)",0.39,Enveloppes,sigK
CD2459,,"Putative glucokinase, ROK family",0.41,Enveloppes,sigK
CD0902,,Putative cation efflux protein,0.17,Enveloppes,sigK
CD1517,feoB,Ferrous iron transport protein B,0.05,Enveloppes,sigK
CD1518,feoA,Ferrous iron transport protein,0.05,Enveloppes,sigK
CD1904,,"ABC-type transport system, permease",0.13,Enveloppes,sigK
CD2720,,Putative transporter,0.16,Enveloppes,sigK
CD1927,ytlC,"Fragment of ABC transporter component, ATP-binding",0.08,Enveloppes,sigK
CD1891,,"Fragment of ABC-type transport system, substrate-binding protein",0.08,Enveloppes,sigK
CD2346,,Putative membrane protein,0.24,Enveloppes,sigK
CD2144,,Putative membrane protein,0.12,Enveloppes,sigK
CD1824,,P-type calcium transport ATPase,2.69,Enveloppes,sigK
CD0147,,Putative transporter,2.25,Enveloppes,sigK
CD3350,,"Putative glycosyl transferase, family 2",0.09,Metabolism,sigK
CD3032,,Putative pyridoxal phosphate-dependent transferase,0.11,Metabolism,sigK
CD1951,,putative Acyl-CoA N-acyltransferase,0.19,Metabolism,sigK
CD0119  , glmM,Phosphoglucosamine mutase,0.49,Metabolism,sigK
CD0120  , glmS,Glucosamine--fructose-6-phosphate aminotransferase,0.52,Metabolism,sigK
CD0995  , serA,Putative D-3-phosphoglycerate dehydrogenase,6.49,Metabolism,sigK
CD0996,,Conserved hypothetical protein,3.08,Metabolism,sigK
CD2480,,Putative hydrolase,2.03,Metabolism,sigK
CD0749,,"Putative DNA helicase, UvrD/REP type",0.05,Miscellaenous,sigK
CD1845,,"Putative membrane protein Tn1549-like, CTn5-Orf1",0.17,Miscellaenous,sigK
CD1846,,"Putative conjugative transposon protein Tn1549-like, CTn5-Orf2",0.2,Miscellaenous,sigK
CD0564,,"putative ATP-dependent protease, Lon family",0.39,Miscellaenous,sigK
CD0309,,"Putative hydrolase, HAD superfamily, subfamily IB",0.38,Miscellaenous,sigK
CD2048,,"Transcriptional regulator, RpiR family",2.05,Regulator,sigK
CD0196,,"Fragment of conserved hypothetical protein, DUF111 family (part 2",0.18,Proteins of unknown function,sigK
CD0896,,Conserved hypothetical protein,0.02,Proteins of unknown function,sigK
CD1063.1,,Conserved hypothetical protein,0.21,Proteins of unknown function,sigK
CD1063.2,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD1063.3,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD1065,,Conserved hypothetical protein,0.3,Proteins of unknown function,sigK
CD1067,,Conserved hypothetical protein,0.03,Proteins of unknown function,sigK
CD1133,,Conserved hypothetical protein,0.16,Proteins of unknown function,sigK
CD1581,,Conserved hypothetical protein,0.01,Proteins of unknown function,sigK
CD2055,,Conserved hypothetical protein,0.33,Proteins of unknown function,sigK
CD2409,,Conserved hypothetical protein,0.11,Proteins of unknown function,sigK
CD3580,,Conserved hypothetical protein,0.12,Proteins of unknown function,sigK
CD3613,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD3620,,Conserved hypothetical protein,0.04,Proteins of unknown function,sigK
CD1286,,Conserved hypothetical protein,2.17,Proteins of unknown function,sigK
CD1831.1,,Conserved hypothetical protein,2.36,Proteins of unknown function,sigK
