old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD0499A,CD630_04991,"putative conjugative transposon protein Tn5397,CTn3-Orf19",,5.1.4,12,not significant,not significant,not detected,not detected
CD0500,CD630_05000,"putative antirestriction protein Tn5397,CTn3-Orf18",,5.1.4,12,not significant,not significant,not detected,not detected
CD0501,CD630_05010,"putative conjugative transposon protein Tn5397,CTn3-Orf17",,5.1.4,12,not significant,not significant,not detected,not detected
CD0502,CD630_05020,"putative ATPase Tn5397, CTn3-Orf16",,5.1.4,12,not significant,not significant,not detected,not detected
CD0503,CD630_05030,"putative membrane protein Tn5397, CTn3-Orf15",,5.1.4,12,not significant,not significant,not detected,not detected
CD0504,CD630_05040,"Fragment of putative conjugative transposon protein Tn5397, CTn3-Orf14",,5.1.4,12,not significant,not significant,not detected,not detected
CD0506,CD630_05060,"Reverse transcriptase/maturase/endonuclease,Group II intron",,2.2.11,2,not significant,not significant,not detected,not detected
CD0507,CD630_05070,"putative conjugative transposon protein Tn5397,CTn3-Orf13",,5.1.4,12,not significant,not significant,not detected,not detected
CD0507A,CD630_05071,"Fragment of Tet(M) leader peptide Tn5397,CTn3-orf12 (C-terminal region)",,5.1.4,11,not significant,not significant,not detected,not detected
CD0508,CD630_05080,Tetracycline resistance protein Tn5397,tetM,1.4.3,0,not significant,not significant,0.1473,not detected
CD0508A,CD630_05081,"putative conjugative transposon protein Tn5397,CTn3-Orf6",,5.1.4,12,not significant,not significant,0.0064,not detected
CD0509,CD630_05090,"Transcriptional regulator, HTH-type Tn5397,CTn3-Orf9",,5.1.4,12,not significant,not significant,not detected,not detected
CD0509A,CD630_05091,"putative conjugative transposon protein Tn5397,CTn3-Orf10",,5.1.4,12,not significant,not significant,not detected,not detected
CD0510,CD630_05100,"putative RNA polymerase sigma factor Tn5397,CTn3-Orf7",,6.2.1,12,not significant,not significant,not detected,not detected
CD0510A,CD630_05101,"putative conjugative transposon protein Tn5397,CTn3-Orf8",,5.1.4,12,not significant,not significant,-0.498,not detected
CD0510B,CD630_05102,"Fragment of putative conjugative transposon protein Tn5397, CTn3-Orf5 (C-terminal region)",,5.1.4,11,not significant,not significant,not detected,not detected
CD0510C,CD630_05103,"putative conjugative transposon protein Tn5397,CTn3-Orf4",,5.1.4,12,not significant,not significant,not detected,not detected
CD0511,CD630_05110,"Recombinase site-specific resolvase family Tn5397, CTn3-Orf3",tndX,5.1.4,12,not significant,not significant,not detected,not detected
CD0513,CD630_05130,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0514,CD630_05140,putative hemagglutinin/adhesin cwpV,cwpV,4.1.8,3,not significant,not significant,-0.5822,detected
CD0515,CD630_05150,"D-alanyl-D-alanine carboxypeptidase, S11 peptidase family",,4.1.9,3,not significant,not significant,-0.4808,not detected
CD0516,CD630_05160,Transcription antiterminator,,6.5.0,9,not significant,not significant,not detected,not detected
CD0517,CD630_05170,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0518,CD630_05180,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0519,CD630_05190,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.0881,not detected
CD0520,CD630_05200,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0521,CD630_05210,Two-component response regulator,,6.1.2,9,not significant,not significant,0.1874,not detected
CD0521A,CD630_05211,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0522,CD630_05220,putative signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0523,CD630_05230,putative transcriptional regulator,,6.5.0,9,not significant,not significant,not detected,not detected
CD0524,CD630_05240,"putative peptidase, M20 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0525,CD630_05250,Fragment of aminobenzoyl-glutamate transporter,,1.5.5,11,not significant,not significant,not detected,not detected
CD0527,CD630_05270,putative beta-lactamase-like hydrolase,,1.4.3,0,not significant,not significant,not detected,not detected
CD0528,CD630_05280,putative amidohydrolase,,3.4.5,6,not significant,not significant,0.1198,detected
CD0529,CD630_05290,putative membrane protein,,4.1.6,3,0.001,0.8063,not detected,not detected
CD0530,CD630_05300,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0531,CD630_05310,"Transcriptional regulator, DeoR family",,6.3.10,9,not significant,not significant,not detected,not detected
CD0532,CD630_05320,putative transcriptional regulator,,6.5.0,9,not significant,not significant,not detected,not detected
CD0533,CD630_05330,Chemotaxis protein CheY,cheY,1.1.1,0,not significant,not significant,0.022,not detected
CD0534,CD630_05340,Chemotaxis protein CheY-P phosphatase CheC,cheC,1.1.1,0,not significant,not significant,not detected,not detected
CD0535,CD630_05350,Probable chemoreceptor glutamine deamidase CheD,cheD,1.1.1,0,not significant,not significant,not detected,not detected
CD0536,CD630_05360,Purine-binding chemotaxis protein CheW,cheW,1.1.1,0,not significant,not significant,not detected,not detected
CD0537,CD630_05370,putative CheY-like chemosensory protein,,1.1.1,0,not significant,not significant,0.2303,not detected
CD0538,CD630_05380,"putative methyl-accepting chemotaxis receptor,MCP family",,1.1.1,0,not significant,not significant,-0.0008,not detected
CD0539,CD630_05390,Chemotaxis protein CheA,cheA,1.1.1,0,not significant,not significant,not detected,not detected
CD0540,CD630_05400,Chemotaxis protein CheW,cheW,1.1.1,0,not significant,not significant,not detected,not detected
CD0541,CD630_05410,"Methyl-accepting chemotaxis proteins methyltransferase, MCP family",cheR,1.1.1,0,not significant,not significant,not detected,not detected
CD0542,CD630_05420,putative protein-glutamate methylesterase,cheB,1.1.1,0,not significant,not significant,not detected,not detected
CD0543,CD630_05430,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0544,CD630_05440,putative ornithine cyclodeaminase,,3.1.16,7,not significant,not significant,-0.0302,not detected
CD0545,CD630_05450,putative lipoprotein,,4.1.7,3,not significant,not significant,0.3481,not detected
CD0546,CD630_05460,"putative membrane protein, DUF975 family",,4.1.6,3,not significant,not significant,not detected,detected
CD0547,CD630_05470,"Transcriptional regulator, beta-lactams repressor",,6.5.0,9,not significant,not significant,-0.5965,not detected
CD0548,CD630_05480,"putative penicillin-binding peptidase BlaR1-like,M56 family",,1.4.3,0,not significant,not significant,not detected,not detected
CD0549,CD630_05490,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0550,CD630_05500,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0551,CD630_05510,Spore cortex-lytic enzyme pre-pro-form,sleC,1.8.1,0,not significant,not significant,not detected,detected
CD0552,CD630_05520,Spore-cortex-lytic protein SleB,sleB,1.8.1,0,not significant,not significant,not detected,not detected
CD0553,CD630_05530,putative RNA methyltransferase,,2.2.11,2,not significant,not significant,not detected,not detected
CD0554,CD630_05540,Signal peptidase type I,sip2,1.5.5,3,not significant,not significant,-0.3727,not detected
CD0555,CD630_05550,Signal peptidase type I,sip2A,1.5.5,3,not significant,not significant,not detected,not detected
CD0556,CD630_05560,putative sugar isomerase / endonuclease,,2.2.3,2,0.0032,-0.8498,not detected,not detected
CD0557,CD630_05570,putative uridine kinase,,3.7.2,7,0.002,-0.7873,-0.1155,not detected
CD0558,CD630_05580,Glutaminase (L-glutamine amidohydrolase),glsA,3.4.2,6,not significant,not significant,0.4916,not detected
CD0559,CD630_05590,"Transcriptional regulator, ArsR family",,6.3.13,9,not significant,not significant,-0.4401,not detected
CD0560,CD630_05600,Endonuclease IV,nfo,2.2.3,2,not significant,not significant,-0.1456,not detected
CD0561,CD630_05610,putative aldo/keto reductase ; putative ferredoxin,,3.5.3,1,not significant,not significant,0.1055,not detected
CD0562,CD630_05620,putative RusA-like endodeoxyribonuclease,,2.2.3,2,not significant,not significant,not detected,not detected
CD0562A,CD630_05621,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0563,CD630_05630,putative iron-sulfur cluster-binding protein,,3.5.3,1,not significant,not significant,not detected,not detected
CD0564,CD630_05640,putative ATP-dependent protease,,2.1.4,5,not significant,not significant,not detected,not detected
CD0565,CD630_05650,Endonuclease III,nth,2.2.3,2,not significant,not significant,not detected,not detected
CD0566,CD630_05660,putative tRNA/rRNA methyltransferase,,2.2.11,2,not significant,not significant,0.169,not detected
CD0567,CD630_05670,"uncharacterised protein, DegV family",,7.0.0,13,not significant,not significant,-0.0306,not detected
CD0569,CD630_05690,putative lipoprotein,,4.1.7,3,not significant,not significant,-0.4047,not detected
CD0570,CD630_05700,putative lipoprotein,,4.1.7,3,not significant,not significant,not detected,not detected
CD0571,CD630_05710,uncharacterised protein,,7.0.0,13,4.17E-06,-1.2965,not detected,not detected
CD0572,CD630_05720,putative sporulation protein,,1.8.1,0,4.55E-05,-1.2655,not detected,not detected
CD0573,CD630_05730,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0574,CD630_05740,Threonyl-tRNA synthetase,thrS,2.2.1,2,not significant,not significant,-0.1439,not detected
CD0575,CD630_05750,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0576,CD630_05760,two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0577,CD630_05770,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.5168,not detected
CD0578,CD630_05780,"Transporter, Major Facilitator Superfamily (MFS)",,1.4.3,0,not significant,not significant,not detected,not detected
CD0579,CD630_05790,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD0580,CD630_05800,Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (GADPH),gapN,3.5.5,1,not significant,not significant,0.0819,detected
CD0581,CD630_05810,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD0582,CD630_05820,"putative pyruvate phosphate dikinase,PEP/pyruvate-binding",,6.5.0,9,not significant,not significant,not detected,not detected
CD0582A,CD630_05821,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0582B,CD630_05822,Fragment of putative signaling protein precursor (N-terminal region),,6.5.0,11,not significant,not significant,not detected,not detected
CD0583,CD630_05830,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0584,CD630_05840,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0585,CD630_05850,"Transcriptional regulator, GntR family",,6.3.3,9,not significant,not significant,not detected,not detected
CD0586,CD630_05860,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0587,CD630_05870,uncharacterised protein,,7.0.0,13,7.26E-06,1.516,1.5471,not detected
CD0588,CD630_05880,uncharacterised protein,,7.0.0,13,1.68E-05,1.1125,1.3739,not detected
CD0589,CD630_05890,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0590,CD630_05900,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.244,not detected
CD0591,CD630_05910,"putative ATPase, P-type, heavy metal translocating",,1.4.2,0,not significant,not significant,not detected,not detected
CD0592,CD630_05920,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0592A,CD630_05921,putative lipoprotein,,4.1.7,3,not significant,not significant,not detected,not detected
CD0593,CD630_05930,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0594,CD630_05940,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0595,CD630_05950,"putative nuclease, ParB-like",,7.0.0,13,not significant,not significant,not detected,not detected
CD0596,CD630_05960,uncharacterised protein,,7.0.0,13,not significant,not significant,not detected,detected
CD0597,CD630_05970,Spore coat peptide assembly protein CotF,cotF,1.8.1,0,not significant,not significant,not detected,detected
CD0598,CD630_05980,"Spore-coat protein, manganese catalase",cotCB,1.8.1,0,not significant,not significant,not detected,detected
CD0599,CD630_05990,"Fragment of transcriptional regulator, AraC family (C-terminal region)",,6.5.0,11,not significant,not significant,not detected,not detected
CD0600,CD630_06000,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0601,CD630_06010,Methylated-DNA-[protein]-cysteine S-methyltransferase 1,ogt1,2.2.3,2,not significant,not significant,not detected,not detected
CD0601A,CD630_06011,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0601B,CD630_06012,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0602,CD630_06020,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.0559,not detected
CD0603,CD630_06030,Fragment of putative membrane protein (C-terminal region),,4.1.6,11,not significant,not significant,not detected,not detected
CD0604,CD630_06040,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0605,CD630_06050,Fragment of conserved hypothetical protein (N-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD0605B,CD630_06052,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0606,CD630_06060,chloride ion channel protein,,1.5.1,3,not significant,not significant,not detected,not detected
CD0607A,CD630_06071,Fragment of transposase-like protein B (C-terminal region),tlpB,5.1.4,11,not significant,not significant,not detected,not detected
CD0608,CD630_06080,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0609,CD630_06090,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0610,CD630_06100,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0611,CD630_06110,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0612,CD630_06120,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD0613,CD630_06130,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD0614,CD630_06140,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0615,CD630_06150,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD0616,CD630_06160,"Transcriptional regulator, MerR family",,6.3.12,9,2.21E-10,1.5576,not detected,not detected
CD0617,CD630_06170,putative membrane protein,,4.1.6,3,0.00521,1.4897,not detected,not detected
CD0618,CD630_06180,"Transcriptional regulator, LytR family",,6.5.0,9,1.11E-07,1.5015,not detected,not detected
CD0619,CD630_06190,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0620,CD630_06200,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0621,CD630_06210,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0622,CD630_06220,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0623,CD630_06230,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0624,CD630_06240,"putative transcriptional regulator, activator Mor",,6.5.0,9,not significant,not significant,not detected,not detected
CD0625,CD630_06250,putative phage protein,,5.1.2,12,not significant,not significant,not detected,not detected
CD0626,CD630_06260,putative replicative helicase DnaB-like,,5.1.2,12,not significant,not significant,not detected,not detected
CD0627,CD630_06270,"putative transcriptional regulator, activator Mor",,6.5.0,9,not significant,not significant,not detected,not detected
CD0627A,CD630_06271,putative ferredoxin,,3.5.3,1,not significant,not significant,not detected,not detected
CD0628,CD630_06280,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0629,CD630_06290,"Transcriptional regulator, Crp family",,6.5.0,9,not significant,not significant,not detected,not detected
CD0630,CD630_06300,"putative drug/sodium antiporter, MATE family",,1.4.3,3,not significant,not significant,not detected,not detected
CD0631,CD630_06310,putative transcriptional regulator,,6.5.0,9,not significant,not significant,not detected,not detected
CD0632,CD630_06320,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0633,CD630_06330,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0634,CD630_06340,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0635,CD630_06350,putative hydrolase,,3.4.0,6,not significant,not significant,not detected,not detected
CD0636,CD630_06360,"putative radical SAM superfamily protein, DUF85 family",,3.3.16,7,not significant,not significant,not detected,not detected
CD0637,CD630_06370,putative acetyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0638,CD630_06380,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0639,CD630_06390,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0640,CD630_06400,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0641,CD630_06410,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0642,CD630_06420,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,-0.4457,not detected
CD0642A,CD630_06421,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0643,CD630_06430,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0644,CD630_06440,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0645,CD630_06450,"ABC-type transport system,lantibiotic/multidrug-family ATP-binding protein",,1.4.1,0,not significant,not significant,not detected,not detected
CD0646,CD630_06460,"ABC-type transport system,lantibiotic/multidrug-family permease",,1.4.1,0,not significant,not significant,not detected,not detected
CD0647,CD630_06470,Fragment of putative fic family protein (C-terminal region),,1.7.1,11,not significant,not significant,not detected,not detected
CD0648,CD630_06480,"Transcriptional regulator, GntR family",,6.3.3,9,not significant,not significant,-0.2935,not detected
CD0649,CD630_06490,"putative peptidase, S9 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0650,CD630_06500,"putative peptidase, S9 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0651,CD630_06510,putative permease,,1.5.5,3,not significant,not significant,not detected,not detected
CD0651A,CD630_06511,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0651B,CD630_06512,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0652,CD630_06520,"Transcriptional regulator, GntR family",,6.3.3,9,not significant,not significant,not detected,not detected
CD0653,CD630_06530,"ABC-type transport system, multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,0.4474,not detected
CD0654,CD630_06540,"ABC-type transport system, permease protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD0655,CD630_06550,putative beta-lactamase-like protein,,1.4.3,0,not significant,not significant,not detected,not detected
CD0656,CD630_06560,Chloride ion channel protein,,1.6.2,0,not significant,not significant,not detected,not detected
CD0657,CD630_06570,Na(+)/H(+) antiporter,cdu2,1.5.2,3,not significant,not significant,not detected,not detected
CD0658,CD630_06580,"Transcriptional regulator, beta-lactams repressor",cdu1,6.5.0,9,not significant,not significant,not detected,not detected
CD0659,CD630_06590,Alternative RNA polymerase sigma factors,tcdR,6.2.1,9,not significant,not significant,not detected,not detected
CD0660,CD630_06600,Toxin B,tcdB,5.1.5,0,not significant,not significant,not detected,not detected
CD0661,CD630_06610,Holin-like pore-forming protein,tcdE,5.1.5,0,not significant,not significant,not detected,not detected
CD0662,CD630_06620,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0663,CD630_06630,Toxin A,tcdA,5.1.5,0,4.56E-07,0.9512,0.5331,not detected
CD0664,CD630_06640,Negative regulator of toxin gene expression,tcdC,6.5.0,9,not significant,not significant,not detected,not detected
CD0664A,CD630_06641,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0664B,CD630_06642,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0665,CD630_06650,"ABC-type transport system,lantibiotic/multidrug-family permease",cdd2,1.4.1,0,not significant,not significant,not detected,not detected
CD0666,CD630_06660,"ABC-type transport system,lantibiotic/multidrug-family permease",cdd3,1.4.1,0,not significant,not significant,not detected,not detected
CD0667,CD630_06670,"ABC-type transport system,lantibiotic/multidrug-family ATP-binding protein",cdd4,1.4.1,0,not significant,not significant,not detected,not detected
CD0668,CD630_06680,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0669,CD630_06690,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0670,CD630_06700,"Transcriptional regulator, beta-lactams repressor",,6.5.0,9,not significant,not significant,not detected,not detected
CD0671,CD630_06710,"putative enzyme, glyoxalase family",,1.4.2,0,not significant,not significant,-0.0547,not detected
CD0672,CD630_06720,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.0883,not detected
CD0673,CD630_06730,putative methyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0674,CD630_06740,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0675,CD630_06750,putative acetyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0676,CD630_06760,Extracytoplasmic function (ECF) anti-sigma factor rsiT,rsiT,6.2.2,9,not significant,not significant,not detected,not detected
CD0677,CD630_06770,Extracytoplasmic function (ECF) sigma factor csfT,csfT,6.2.1,9,not significant,not significant,not detected,not detected
CD0678,CD630_06780,Fragment of conserved hypothetical protein (C-terminal region),,6.5.0,11,not significant,not significant,not detected,not detected
CD0679,CD630_06790,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0680,CD630_06800,snoal-like polyketide cyclase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0681,CD630_06810,"Transporter, Major Facilitator Superfamily (MFS)",,1.5.5,3,not significant,not significant,not detected,not detected
CD0682,CD630_06820,putative sodium:solute symporter,,1.5.5,3,not significant,not significant,not detected,not detected
CD0683,CD630_06830,"Transcriptional regulator, LacI family",,6.3.5,9,not significant,not significant,not detected,not detected
CD0684,CD630_06840,"putative ATP-dependent peptidase, M41 family",,2.1.4,5,6.10E-29,-3.2818,not detected,detected
CD0685,CD630_06850,Translation initiation factor IF-3,infC,2.2.10,2,not significant,not significant,-0.1859,detected
CD0686,CD630_06860,50S ribosomal protein L35,rpmI,4.2.2,2,not significant,not significant,-0.054,not detected
CD0687,CD630_06870,50S ribosomal protein L20,rplT,4.2.2,2,not significant,not significant,-0.4059,detected
CD0688,CD630_06880,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0689,CD630_06890,putative nucleotide phosphodiesterase,,7.0.0,13,not significant,not significant,-0.8527,not detected
CD0690,CD630_06900,putative nucleotide phosphodiesterase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0691,CD630_06910,"putative short chain dehydrogenase/reductase,SDR family",,3.5.3,1,not significant,not significant,not detected,not detected
CD0692,CD630_06920,putative metallo-hydrolase/oxidoreductase,,7.0.0,13,7.55E-05,-1.1852,not detected,not detected
CD0693,CD630_06930,"Transcriptional regulator, MerR family",,6.3.12,9,not significant,not significant,not detected,not detected
CD0694,CD630_06940,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD0694A,CD630_06941,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0695,CD630_06950,putative exported metalloendopeptidase,,2.1.4,5,not significant,not significant,not detected,not detected
CD0696,CD630_06960,"putative cation transport protein, Trk family",,1.5.2,3,not significant,not significant,not detected,not detected
CD0697,CD630_06970,putative regulator of K+ conductance,,1.5.2,9,not significant,not significant,not detected,not detected
CD0698,CD630_06980,"putative tRNA/rRNA methyltransferase, SpoU",,2.2.11,2,not significant,not significant,not detected,not detected
CD0699,CD630_06990,Phenylalanyl-tRNA synthetase alpha chain (Phenylalanine--tRNA ligase alpha chain) (PheRS),pheS,2.2.1,2,not significant,not significant,0.1888,not detected
CD0700,CD630_07000,Phenylalanyl-tRNA synthetase subunit beta (Phenylalanine--tRNA ligase beta chain) (PheRS),pheT,2.2.1,2,not significant,not significant,0.0174,detected
CD0701,CD630_07010,putative cell-division protein,,1.7.1,0,not significant,not significant,-0.1001,not detected
CD0702,CD630_07020,"putative membrane protein, DUF1275 family",,4.1.6,3,not significant,not significant,not detected,not detected
CD0703,CD630_07030,"putative peptidase, U32 family",,2.1.4,5,not significant,not significant,-0.1061,not detected
CD0704,CD630_07040,putative metal-dependent phosphohydrolase,,7.0.0,13,not significant,not significant,-1.1954,not detected
CD0705,CD630_07050,"putative hydrolase, NUDIX family",,3.4.0,6,not significant,not significant,not detected,not detected
CD0706,CD630_07060,4fe-4s binding domain protein,,3.5.3,1,not significant,not significant,0.1733,not detected
CD0707,CD630_07070,putative diguanylate kinase signaling protein,,6.5.0,9,not significant,not significant,not detected,not detected
CD0708,CD630_07080,"Peptidase D, aminoacyl-histidine dipeptidase",pepD,2.1.4,5,not significant,not significant,0.0477,detected
CD0709,CD630_07090,DNA mismatch repair protein,mutS2,2.2.3,2,not significant,not significant,0.1142,not detected
CD0710,CD630_07100,"conserved hypothetical protein, DUF523 family",,0.0.2,10,not significant,not significant,not detected,not detected
CD0711,CD630_07110,Arginyl-tRNA synthetase (Arginine--tRNA ligase) (ArgRS),argS,2.2.1,2,not significant,not significant,0.3829,not detected
CD0712,CD630_07120,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.3774,not detected
CD0712A,CD630_07121,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.4402,not detected
CD0713,CD630_07130,putative radical SAM domain-containing protein,,3.3.16,7,not significant,not significant,0.1826,not detected
CD0714,CD630_07140,tetratricopeptide repeat protein,,7.0.0,13,not significant,not significant,-0.0339,not detected
CD0714A,CD630_07141,Fragment of sugar O-acetyltransferase (C-terminal region),,3.4.3,11,not significant,not significant,not detected,not detected
CD0715,CD630_07150,Phosphate butyryltransferase (Phosphotransbutyrylase),ptb1,3.5.4,1,0.0014,0.8236,0.3264,not detected
CD0716,CD630_07160,Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase (CODH),cooS1,3.5.2,1,not significant,not significant,-0.7086,not detected
CD0717,CD630_07170,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, accessory protein",,3.5.2,1,not significant,not significant,-0.043,not detected
CD0718,CD630_07180,Formate--tetrahydrofolate ligase (Formyltetrahydrofolate synthetase) (FHS) (FTHFS),fhs,3.2.5,7,not significant,not significant,0.43,not detected
CD0719,CD630_07190,"Methenyltetrahydrofolate cyclohydrolase (5,10-methenyltetrahydrofolate 5-hydrolase)",fchA,3.2.5,7,not significant,not significant,0.1392,not detected
CD0720,CD630_07200,Bifunctional protein folD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase],folD,3.2.5,7,not significant,not significant,0.113,not detected
CD0721,CD630_07210,uncharacterised protein,,7.0.0,13,0.0008,0.7374,not detected,not detected
CD0722,CD630_07220,"5,10-methylenetetrahydrofolate reductase",metF,3.2.5,7,not significant,not significant,-1.2497,not detected
CD0723,CD630_07230,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, dihydrolipoyl dehydrogenase subunit",,3.5.0,1,not significant,not significant,-0.3068,not detected
CD0724,CD630_07240,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase,nickel-inserting subunit",,3.5.0,1,not significant,not significant,0.1834,not detected
CD0725,CD630_07250,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, subunit delta",,3.5.0,1,not significant,not significant,-0.1599,not detected
CD0726,CD630_07260,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, delta subunit",,3.5.0,1,not significant,not significant,0.0051,not detected
CD0727,CD630_07270,"Bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase, methyltransferase subunit",,3.5.0,1,not significant,not significant,-1.2231,not detected
