ko,bsu
K06878,BSU_29820
K07680,BSU_31690
K06889,BSU_11150
K06950,BSU_21890
K07071,BSU_08510
K07118,BSU_36620
K07094,BSU_06600
K07224,BSU_38270
K06890,BSU_07200
K07082,BSU_27370
K07084,BSU_32040
K07777,BSU_35500
K07692,BSU_35490
K07219,BSU_33370
K07220,BSU_12850
K07300,BSU_07920
K07160,BSU_04050
K07067,BSU_00880
K02491,BSU_13990
K07697,BSU_31450
K02862,BSU_14930
K07698,BSU_14490
K07105,BSU_27890
K02073,BSU_32730
K07652,BSU_40400
K07668,BSU_40410
K07155,BSU_39980
K06973,BSU_31310
K07456,BSU_28580
K07282,BSU_35880
K06950,BSU_31830
K07114,BSU_36730
K06878,BSU_19040
K06960,BSU_16000
K07335,BSU_31540
K07098,BSU_14050
K06909,BSU_12580
K06909,BSU_26190
K03429,BSU_21920
K06215,BSU_00110
K07718,BSU_06950
K07720,BSU_06960
K06884,BSU_04400
K07228,BSU_09860
K07717,BSU_02440
K07719,BSU_02450
K06949,BSU_15780
K01118,BSU_33540
K00375,BSU_05240
K07025,BSU_28940
K08681,BSU_00120
K07315,BSU_04700
K07399,BSU_23140
K07180,BSU_08970
K09809,BSU_35720
K07146,BSU_02330
K07636,BSU_29100
K07650,BSU_33020
K07770,BSU_33010
K07192,BSU_31010
K07651,BSU_23110
K07775,BSU_23120
K06941,BSU_15750
K03654,BSU_23020
K07284,BSU_09200
K07284,BSU_36340
K07447,BSU_27390
K07778,BSU_19190
K07693,BSU_19200
K07222,BSU_26640
K07177,BSU_15050
K07152,BSU_21750
K05985,BSU_00410
K07304,BSU_21690
K06948,BSU_25670
K06956,BSU_09130
K07455,BSU_26280
K06877,BSU_22220
K07148,BSU_39970
K07149,BSU_03580
K07149,BSU_40730
K07150,BSU_05450
K09825,BSU_08730
K06872,BSU_06200
K07030,BSU_15840
K07039,BSU_02720
K06999,BSU_19560
K07127,BSU_32460
K06994,BSU_05650
K07533,BSU_09950
K07058,BSU_07900
K07040,BSU_15070
K07056,BSU_00360
K06920,BSU_13720
K00602,BSU_06520
K07001,BSU_24510
K01569,BSU_18670
K07406,BSU_30300
K03768,BSU_23360
K06895,BSU_10870
K07037,BSU_25330
K07691,BSU_31680
K07461,BSU_00350
K07042,BSU_25320
K07507,BSU_06650
K03296,BSU_06710
K06893,BSU_06870
K00974,BSU_22450
K06603,BSU_35350
K07148,BSU_26440
K06997,BSU_15380
K07001,BSU_15040
K06888,BSU_40820
K07658,BSU_29110
K07038,BSU_33350
K06901,BSU_06370
K06901,BSU_29990
K07002,BSU_05260
K07258,BSU_23480
K06886,BSU_11560
K07029,BSU_06720
K07052,BSU_06010
K07052,BSU_23010
K07305,BSU_21680
K07462,BSU_27620
K07052,BSU_40830
K09903,BSU_16510
K09888,BSU_28610
K07444,BSU_22170
K08777,BSU_11100
K02073,BSU_09110
K06180,BSU_11620
K10780,BSU_08650
K07705,BSU_28920
K09773,BSU_25240
K08964,BSU_13610
K08966,BSU_13600
K08967,BSU_13620
K08998,BSU_30680
K00782,BSU_34030
K08963,BSU_13550
K00783,BSU_40230
K09007,BSU_03340
K09763,BSU_23230
K09764,BSU_16640
K09793,BSU_25030
K08884,BSU_02030
K09777,BSU_15670
K09014,BSU_32670
K08289,BSU_02230
K01419,BSU_16150
K08969,BSU_13580
K00373,BSU_37260
K08303,BSU_27340
K08221,BSU_10980
K02492,BSU_28170
K10563,BSU_29080
K00370,BSU_37280
K03315,BSU_23560
K00374,BSU_37250
K07566,BSU_36950
K00491,BSU_07630
K00794,BSU_23250
K02221,BSU_15400
K03153,BSU_11670
K08986,BSU_03240
K03569,BSU_14470
K03569,BSU_36410
K08303,BSU_27350
K01421,BSU_10160
K16697,BSU_35590
K16698,BSU_35550
K09771,BSU_08120
K09812,BSU_35260
K09769,BSU_16970
K09772,BSU_15390
K10039,BSU_27440
K09699,BSU_24030
K00243,BSU_11030
K10041,BSU_27430
K01462,BSU_15720
K09762,BSU_34750
K09748,BSU_16590
K09967,BSU_03120
K10040,BSU_27450
K10118,BSU_30280
K10112,BSU_38810
K03652,BSU_38620
K07259,BSU_18350
K09768,BSU_25230
K03711,BSU_23520
K08972,BSU_35100
K00371,BSU_37270
K08094,BSU_03450
K09770,BSU_00300
K08093,BSU_03460
K08369,BSU_40840
K08369,BSU_02950
K08965,BSU_13590
K09117,BSU_25400
K10773,BSU_22340
K00558,BSU_06070
K00949,BSU_15800
K08989,BSU_28570
K07778,BSU_34070
K03929,BSU_34390
K00666,BSU_18250
K09458,BSU_11340
K22927,BSU_40510
K07258,BSU_00100
K09747,BSU_00200
K00571,BSU_29480
K08981,BSU_04600
K08591,BSU_18070
K03498,BSU_31100
K08976,BSU_19140
K10810,BSU_11660
K10026,BSU_13740
K09775,BSU_32060
K10117,BSU_30270
K09779,BSU_31380
K09786,BSU_08980
K09787,BSU_15970
K09776,BSU_14110
K09761,BSU_25440
K09190,BSU_25820
K09767,BSU_11020
K09681,BSU_18460
K09682,BSU_09990
K09683,BSU_39340
K09684,BSU_32420
K09685,BSU_00470
K01308,BSU_24830
K02825,BSU_15470
K08602,BSU_11540
K01224,BSU_34120
K07474,BSU_12570
K07478,BSU_27530
K09166,BSU_23900
K09167,BSU_04590
K08168,BSU_40770
K08166,BSU_37570
K09710,BSU_25620
K07590,BSU_01090
K07502,BSU_22210
K07738,BSU_29000
K07574,BSU_25650
K07736,BSU_05130
K07816,BSU_11600
K09125,BSU_21980
K07723,BSU_04650
K07727,BSU_18740
K08139,BSU_35830
K07467,BSU_04870
K00784,BSU_23840
K07979,BSU_30460
K07584,BSU_27950
K07741,BSU_20670
K07742,BSU_16610
K07570,BSU_31390
K07571,BSU_00630
K08153,BSU_26590
K06113,BSU_28810
K08724,BSU_15160
K07568,BSU_27720
K04075,BSU_00670
K07552,BSU_05680
K08223,BSU_07320
K11358,BSU_09570
K07586,BSU_08680
K08222,BSU_25010
K00375,BSU_09480
K03969,BSU_06180
K05937,BSU_05750
K14665,BSU_03010
K10255,BSU_19180
K15770,BSU_34160
K03530,BSU_21050
K07089,BSU_03250
K01821,BSU_37540
K01297,BSU_12970
K08234,BSU_37020
K06180,BSU_09210
K01247,BSU_01800
K03339,BSU_39670
K00537,BSU_24770
K08884,BSU_00660
K01673,BSU_30690
K01838,BSU_34550
K00034,BSU_03930
K00009,BSU_03990
K00611,BSU_11250
K01719,BSU_12230
K00077,BSU_14440
K00604,BSU_15730
K00645,BSU_15900
K00059,BSU_15910
K00554,BSU_16030
K00981,BSU_16540
K01881,BSU_16570
K00059,BSU_16870
K00060,BSU_16990
K00639,BSU_17000
K00791,BSU_17330
K01805,BSU_17600
K00615,BSU_17890
K01732,BSU_18650
K01438,BSU_19710
K00287,BSU_21810
K00215,BSU_22490
K00766,BSU_22670
K00014,BSU_25660
K00876,BSU_27330
K01872,BSU_27410
K01876,BSU_27550
K00759,BSU_27610
K00773,BSU_27710
K00853,BSU_28790
K01804,BSU_28800
K00059,BSU_29420
K01755,BSU_29440
K01940,BSU_29450
K01012,BSU_30200
K00688,BSU_30940
K00703,BSU_30950
K01803,BSU_33920
K01814,BSU_34880
K01693,BSU_34900
K00013,BSU_34910
K00765,BSU_34920
K00852,BSU_35920
K00857,BSU_37060
K00965,BSU_38190
K00849,BSU_38200
K01745,BSU_39350
K00756,BSU_39400
K00140,BSU_39760
K01476,BSU_40320
K00819,BSU_40340
K01939,BSU_40420
K00558,BSU_06060
K00547,BSU_02410
K01759,BSU_40860
K10979,BSU_13410
K10441,BSU_35940
K10440,BSU_35950
K10439,BSU_35960
K19285,BSU_38110
K09817,BSU_02860
K07704,BSU_28930
K09816,BSU_02870
K09815,BSU_26830
K09815,BSU_02850
K09976,BSU_17910
K09692,BSU_35710
K09696,BSU_02760
K09697,BSU_02750
K03386,BSU_14220
K09693,BSU_35700
K05967,BSU_25090
K08483,BSU_13910
K21900,BSU_37650
K01439,BSU_29980
K11195,BSU_27060
K11194,BSU_27070
K03469,BSU_21990
K03469,BSU_21970
K11535,BSU_39410
K11210,BSU_17840
K01874,BSU_00380
K01890,BSU_28630
K11145,BSU_00950
K00027,BSU_37050
K00027,BSU_29880
K09698,BSU_00920
K11626,BSU_02420
K11623,BSU_05410
K11625,BSU_05430
K11616,BSU_31580
K11615,BSU_31530
K06607,BSU_39780
K06958,BSU_34770
K04751,BSU_36520
K11618,BSU_33080
K11617,BSU_33090
K11622,BSU_33100
K11621,BSU_33110
K07090,BSU_26490
K01209,BSU_28720
K11440,BSU_31050
K11637,BSU_07580
K11639,BSU_07610
K01990,BSU_09890
K12263,BSU_35270
K11184,BSU_34740
K11752,BSU_23280
K11753,BSU_16670
K03457,BSU_36470
K11814,BSU_17300
K11815,BSU_17290
K11636,BSU_39630
K11102,BSU_02340
K11065,BSU_29490
K11102,BSU_10220
K01585,BSU_14630
K11103,BSU_04470
K03589,BSU_15240
K01775,BSU_17640
K00812,BSU_22370
K05020,BSU_30070
K11144,BSU_28980
K01247,BSU_08010
K11175,BSU_06510
K11068,BSU_21790
K04564,BSU_19330
K01560,BSU_07330
K00372,BSU_03310
K01673,BSU_34670
K03719,BSU_04250
K11631,BSU_30380
K11632,BSU_30370
K11629,BSU_30390
K11630,BSU_30400
K11473,BSU_28690
K04042,BSU_00500
K00012,BSU_30860
K00012,BSU_35580
K00012,BSU_36230
K01625,BSU_22100
K01048,BSU_30510
K11476,BSU_40050
K12574,BSU_14530
K11640,BSU_02730
K01992,BSU_09900
K11707,BSU_30770
K11710,BSU_30760
K01897,BSU_10270
K07090,BSU_05690
K11755,BSU_34860
K03710,BSU_16810
K15975,BSU_05490
K15977,BSU_05500
K22043,BSU_19120
K07560,BSU_27590
K13300,BSU_25190
K11641,BSU_02740
K01243,BSU_27270
K11634,BSU_39660
K12410,BSU_09650
K03722,BSU_22150
K13052,BSU_00620
K08191,BSU_12360
K11614,BSU_31520
K11624,BSU_05420
K03657,BSU_11820
K13280,BSU_24630
K03499,BSU_31090
K11686,BSU_37030
K11619,BSU_33130
K07404,BSU_13010
K03524,BSU_22440
K09015,BSU_32700
K11717,BSU_32690
K11635,BSU_39640
K11633,BSU_39650
K11638,BSU_07590
K00010,BSU_27770
K00024,BSU_29120
K01895,BSU_29560
K00646,BSU_17140
K01916,BSU_03130
K12308,BSU_34130
K02303,BSU_15610
K11620,BSU_33120
K11708,BSU_30750
K11709,BSU_30740
K12257,BSU_27650
K03657,BSU_33450
K05795,BSU_02910
K11754,BSU_28080
K09822,BSU_01845
K01961,BSU_24340
K13767,BSU_28540
K06183,BSU_30035
K01491,BSU_24310
K01126,BSU_09620
K02347,BSU_28590
K13256,BSU_26410
K13038,BSU_15700
K13281,BSU_37200
K00087,BSU_32480
K00087,BSU_32500
K13274,BSU_10770
K13275,BSU_13190
K13276,BSU_15300
K13277,BSU_38400
K01534,BSU_33490
K13531,BSU_01820
K01897,BSU_28560
K15311,BSU_17150
K12574,BSU_16780
K15518,BSU_00150
K12573,BSU_33610
K00483,BSU_18620
K15532,BSU_07000
K01534,BSU_13850
K13542,BSU_03280
K07250,BSU_03900
K13615,BSU_17220
K02798,BSU_03982
K13292,BSU_34990
K01537,BSU_15650
K03215,BSU_06730
K00318,BSU_03200
K09457,BSU_13750
K00620,BSU_11200
K06407,BSU_23402
K06407,BSU_23401
K13979,BSU_27010
K13853,BSU_29750
K02391,BSU_36400
K01187,BSU_31290
K13789,BSU_24280
K01958,BSU_14860
K13653,BSU_05170
K01961,BSU_18240
K13532,BSU_13660
K13533,BSU_13530
K06925,BSU_05910
K06979,BSU_02520
K13955,BSU_18430
K00662,BSU_21630
K06168,BSU_17010
K13727,BSU_34400
K13614,BSU_17210
K13613,BSU_17200
K07246,BSU_04000
K00318,BSU_32850
K07516,BSU_32840
K14230,BSU__tRNA_10
K14230,BSU__tRNA_61
K14233,BSU__tRNA_63
K14233,BSU__tRNA_7
K14155,BSU_31440
K14229,BSU__tRNA_14
K14229,BSU__tRNA_49
K14229,BSU__tRNA_54
K14229,BSU__tRNA_4
K14224,BSU__tRNA_75
K14224,BSU__tRNA_31
K14224,BSU__tRNA_47
K14224,BSU__tRNA_11
K14224,BSU__tRNA_3
K14224,BSU__tRNA_72
K14237,BSU__tRNA_12
K14237,BSU__tRNA_32
K14237,BSU__tRNA_52
K14237,BSU__tRNA_78
K14234,BSU__tRNA_53
K14234,BSU__tRNA_36
K14228,BSU__tRNA_44
K14228,BSU__tRNA_43
K14228,BSU__tRNA_57
K14228,BSU__tRNA_17
K14234,BSU__tRNA_13
K14234,BSU__tRNA_76
K14220,BSU__tRNA_45
K14220,BSU__tRNA_70
K14220,BSU__tRNA_29
K14220,BSU__tRNA_23
K03719,BSU_05050
K16961,BSU_39500
K01983,BSU__misc_RNA_2
K14225,BSU__tRNA_68
K14225,BSU__tRNA_80
K14225,BSU__tRNA_82
K14219,BSU__tRNA_84
K10947,BSU_38018
K13611,BSU_17180
K13612,BSU_17190
K02851,BSU_35530
K13770,BSU_28550
K13626,BSU_35380
K13771,BSU_09380
K13530,BSU_01810
K00632,BSU_32830
K00121,BSU_26970
K01664,BSU_00750
K01977,BSU__rRNA_4
K01977,BSU__rRNA_6
K01977,BSU__rRNA_22
K01977,BSU__rRNA_9
K01977,BSU__rRNA_30
K01977,BSU__rRNA_19
K01977,BSU__rRNA_23
K01977,BSU__rRNA_16
K01977,BSU__rRNA_25
K02013,BSU_15340
K14225,BSU__tRNA_16
K14225,BSU__tRNA_56
K14225,BSU__tRNA_41
K14225,BSU__tRNA_25
K00941,BSU_11710
K14223,BSU__tRNA_48
K14223,BSU__tRNA_74
K14223,BSU__tRNA_40
K14228,BSU__tRNA_55
K14338,BSU_27160
K19551,BSU_34950
K14223,BSU__tRNA_73
K14540,BSU_16050
K15312,BSU_17160
K06131,BSU_37190
K13628,BSU_32160
K00128,BSU_37960
K14230,BSU__tRNA_62
K14233,BSU__tRNA_46
K14233,BSU__tRNA_71
K22044,BSU_14210
K14236,BSU__tRNA_37
K14236,BSU__tRNA_77
K14234,BSU__tRNA_24
K15313,BSU_17170
K14218,BSU__tRNA_20
K14218,BSU__tRNA_28
K14218,BSU__tRNA_6
K14218,BSU__tRNA_9
K14218,BSU__tRNA_60
K03457,BSU_38710
K21029,BSU_14270
K14230,BSU__tRNA_21
K14230,BSU__tRNA_33
K14230,BSU__tRNA_64
K01978,BSU__misc_RNA_35
K14228,BSU__tRNA_51
K14393,BSU_38240
K00868,BSU_38020
K10907,BSU_31400
K14231,BSU__tRNA_35
K14231,BSU__tRNA_66
K14231,BSU__tRNA_1
K14222,BSU__tRNA_42
K14233,BSU__tRNA_30
K00537,BSU_32810
K01759,BSU_38370
K14205,BSU_08425
K00148,BSU_40250
K03307,BSU_19580
K03406,BSU_33690
K01985,BSU__rRNA_21
K01985,BSU__rRNA_24
K01985,BSU__rRNA_8
K01985,BSU__rRNA_13
K01985,BSU__rRNA_15
K01985,BSU__rRNA_18
K14232,BSU__tRNA_19
K14232,BSU__tRNA_27
K14232,BSU__tRNA_59
K14219,BSU__tRNA_85
K14219,BSU__tRNA_81
K14219,BSU__tRNA_18
K14219,BSU__tRNA_79
K14219,BSU__tRNA_26
K00459,BSU_26800
K14189,BSU_38540
K14188,BSU_38520
K14218,BSU__tRNA_86
K14219,BSU__tRNA_58
K14221,BSU__tRNA_2
K14221,BSU__tRNA_22
K14221,BSU__tRNA_34
K14221,BSU__tRNA_65
K10711,BSU_32560
K14227,BSU__tRNA_5
K14227,BSU__tRNA_8
K14227,BSU__tRNA_69
K01342,BSU_10300
K19578,BSU_24010
K05592,BSU_39110
K02205,BSU_37760
K09022,BSU_00480
K14652,BSU_23260
K01966,BSU_23920
K15035,BSU__misc_RNA_55
K14237,BSU__tRNA_83
K14166,BSU_03950
K01252,BSU_31970
K14235,BSU__tRNA_38
K14228,BSU__tRNA_50
K14228,BSU__tRNA_15
K14226,BSU__tRNA_39
K14226,BSU__tRNA_67
K14338,BSU_07250
K19689,BSU_14450
K05799,BSU_34180
K14647,BSU_38090
K01759,BSU_28700
K16013,BSU_38740
K16012,BSU_38730
K15468,BSU_17230
K03297,BSU_33570
K18888,BSU_08220
K03417,BSU_24120
K03215,BSU_08020
K00655,BSU_09540
K11749,BSU_16560
K00564,BSU_01060
K18198,BSU_07060
K03817,BSU_04210
K02428,BSU_28360
K15640,BSU_10340
K15656,BSU_03510
K15657,BSU_03520
K15580,BSU_11430
K15666,BSU_18320
K11692,BSU_04460
K15519,BSU_00140
K15583,BSU_11460
K11741,BSU_34500
K11691,BSU_04450
K13037,BSU_37710
K15554,BSU_08850
K15771,BSU_34150
K15633,BSU_33910
K15772,BSU_34140
K15629,BSU_02100
K01046,BSU_08350
K15655,BSU_03490
K15738,BSU_07370
K15654,BSU_03480
K15553,BSU_08840
K15337,BSU_17130
K18924,BSU_34490
K15664,BSU_18340
K15665,BSU_18330
K15667,BSU_18310
K15668,BSU_18300
K10823,BSU_11470
K15582,BSU_11450
K15532,BSU_30120
K19563,BSU_30230
K02363,BSU_31980
K02032,BSU_11370
K01835,BSU_09310
K03839,BSU_14150
K03839,BSU_14170
K18924,BSU_13090
K15976,BSU_05480
K15924,BSU_18150
K15975,BSU_19570
K15986,BSU_40550
K25159,BSU_10060
K18939,BSU_39990
K07260,BSU_19620
K18926,BSU_02670
K15973,BSU_13670
K18939,BSU_02680
K18890,BSU_14330
K02784,BSU_13900
K19427,BSU_34280
K15921,BSU_18160
K15975,BSU_12870
K10040,BSU_27460
K16137,BSU_06860
K14742,BSU_05920
K02424,BSU_03610
K10009,BSU_03600
K10716,BSU_31322
K16043,BSU_10850
K16044,BSU_33530
K16052,BSU_09640
K18682,BSU_16960
K10010,BSU_03590
K16188,BSU_30500
K00848,BSU_31200
K16248,BSU_06160
K16247,BSU_06140
K16331,BSU_15580
K07038,BSU_08620
K16593,BSU_30190
K16216,BSU_31840
K16509,BSU_11500
K16511,BSU_22970
K00375,BSU_03890
K01223,BSU_03410
K16167,BSU_22050
K16168,BSU_22040
K05595,BSU_33850
K06518,BSU_40021
K16511,BSU_11520
K00675,BSU_34730
K10708,BSU_32610
K01223,BSU_05840
K05606,BSU_23930
K00978,BSU_07270
K16323,BSU_39020
K11735,BSU_06310
K16169,BSU_22060
K16170,BSU_32430
K11737,BSU_05620
K11737,BSU_27090
K03758,BSU_33330
K16301,BSU_38260
K16263,BSU_06550
K16202,BSU_12950
K16199,BSU_12960
K16201,BSU_12940
K16200,BSU_12930
K15581,BSU_11440
K16203,BSU_12920
K16264,BSU_26650
K03321,BSU_01580
K01223,BSU_39260
K15770,BSU_34610
K15772,BSU_34590
K15771,BSU_34600
K16786,BSU_01450
K17234,BSU_28750
K16787,BSU_01460
K16785,BSU_01470
K16699,BSU_35540
K10119,BSU_32580
K02031,BSU_11360
K16789,BSU_30990
K15555,BSU_08830
K16694,BSU_35600
K16705,BSU_35570
K16706,BSU_35560
K24041,BSU_39540
K02032,BSU_13000
K10118,BSU_32590
K10119,BSU_30290
K10117,BSU_32600
K16962,BSU_39490
K07315,BSU_34110
K10009,BSU_03370
K02424,BSU_03380
K16785,BSU_13210
K02004,BSU_34690
K11991,BSU_00180
K16918,BSU_30410
K16920,BSU_30420
K16919,BSU_30440
K16919,BSU_30430
K16921,BSU_30450
K06113,BSU_39330
K16869,BSU_37640
K16916,BSU_40140
K16917,BSU_40150
K16925,BSU_13230
K16899,BSU_10620
K16898,BSU_10630
K16960,BSU_29340
K16959,BSU_29350
K16958,BSU_29360
K16838,BSU_32450
K16957,BSU_29370
K16956,BSU_29380
K16963,BSU_39480
K21064,BSU_11140
K17217,BSU_27250
K17103,BSU_02270
K01990,BSU_02570
K17319,BSU_07110
K17319,BSU_30135
K17318,BSU_07100
K17318,BSU_30160
K23060,BSU_23960
K16922,BSU_40160
K01990,BSU_01950
K00096,BSU_28760
K17216,BSU_27260
K17320,BSU_07120
K17320,BSU_30170
K01212,BSU_34460
K16235,BSU_02400
K17462,BSU_27280
K19575,BSU_24020
K17235,BSU_28740
K17236,BSU_28730
K25143,BSU_08320
K01990,BSU_04490
K01990,BSU_34090
K01990,BSU_40620
K01990,BSU_09080
K10112,BSU_32550
K01992,BSU_04500
K01992,BSU_09090
K01992,BSU_34080
K17485,BSU_35070
K17472,BSU_27520
K17474,BSU_35060
K17686,BSU_33500
K24966,BSU_02370
K24967,BSU_35030
K17836,BSU_18800
K17752,BSU_04690
K01007,BSU_35190
K17828,BSU_15540
K07069,BSU_23328
K17838,BSU_02090
K17763,BSU_13200
K17763,BSU_19450
K17763,BSU_24760
K17763,BSU_04670
K17733,BSU_02810
K17758,BSU_38720
K17762,BSU_04680
K17734,BSU_17260
K08221,BSU_07400
K18104,BSU_34820
K00004,BSU_06240
K01101,BSU_32290
K18115,BSU_19320
K03892,BSU_05330
K03206,BSU_09340
K21471,BSU_34800
K07145,BSU_07150
K21469,BSU_01670
K21472,BSU_32340
K21466,BSU_13980
K18197,BSU_07050
K19419,BSU_34310
K18231,BSU_05610
K19546,BSU_37740
K19417,BSU_34380
K19429,BSU_34240
K19430,BSU_34230
K19420,BSU_34370
K01069,BSU_24790
K03742,BSU_16930
K16236,BSU_39390
K08693,BSU_07840
K03332,BSU_27030
K18653,BSU_10550
K18652,BSU_10530
K12555,BSU_10110
K18654,BSU_10540
K18672,BSU_01750
K18707,BSU_25430
K18770,BSU_31490
K05592,BSU_04580
K18692,BSU_25140
K18929,BSU_34040
K01971,BSU_13400
K18928,BSU_34050
K18925,BSU_13100
K18907,BSU_05370
K25144,BSU_08310
K25142,BSU_08330
K07171,BSU_04660
K10747,BSU_20500
K18967,BSU_09120
K03790,BSU_18530
K19005,BSU_07260
K01436,BSU_10070
K03526,BSU_25070
K19005,BSU_07710
K18979,BSU_08910
K00860,BSU_10910
K07816,BSU_38480
K19242,BSU_09430
K07097,BSU_18200
K00354,BSU_23820
K19220,BSU_19410
K00798,BSU_33150
K19223,BSU_09370
K19224,BSU_09420
K01897,BSU_10360
K00456,BSU_31140
K19225,BSU_24870
K07462,BSU_20350
K21613,BSU_39470
K01552,BSU_13220
K01785,BSU_18360
K19426,BSU_34290
K19433,BSU_24640
K19286,BSU_03860
K19411,BSU_00840
K19424,BSU_34320
K19405,BSU_00850
K19422,BSU_34340
K19421,BSU_34350
K24950,BSU_14350
K04771,BSU_33000
K19302,BSU_36530
K01400,BSU_14700
K19273,BSU_40740
K25290,BSU_33290
K07104,BSU_08240
K19432,BSU_38229
K00903,BSU_34360
K19423,BSU_34330
K19425,BSU_34300
K03574,BSU_30630
K19428,BSU_34250
K19431,BSU_34220
K19418,BSU_34265
K18567,BSU_05800
K19550,BSU_37680
K06881,BSU_29250
K00887,BSU_25310
K21755,BSU_03620
K19549,BSU_37690
K19552,BSU_37700
K19548,BSU_37720
K19547,BSU_37730
K08164,BSU_01890
K19707,BSU_34100
K19701,BSU_38470
K01258,BSU_23910
K25158,BSU_10040
K19802,BSU_12980
K19955,BSU_31370
K05770,BSU_30930
K18889,BSU_09710
K18887,BSU_08210
K20074,BSU_15760
K02016,BSU_10330
K12132,BSU_15770
K20201,BSU_36930
K20118,BSU_13890
K11196,BSU_27050
K20389,BSU_06839
K01612,BSU_03640
K20534,BSU_12890
K18890,BSU_09720
K20534,BSU_08600
K21759,BSU_03651
K20628,BSU_18630
K22103,BSU_36300
K20742,BSU_12990
K07258,BSU_23190
K22106,BSU_27170
K01208,BSU_34620
K00861,BSU_29300
K20895,BSU_15350
K21064,BSU_35850
K08968,BSU_29640
K00821,BSU_11220
K21064,BSU_04040
K00435,BSU_37670
K21285,BSU_35760
K01975,BSU_29960
K08221,BSU_16825
K23059,BSU_23980
K21416,BSU_08060
K21417,BSU_08070
K21405,BSU_08100
K21464,BSU_37510
K21465,BSU_25000
K21467,BSU_04140
K21468,BSU_27310
K21567,BSU_03270
K21487,BSU_19000
K21492,BSU_25870
K21493,BSU_39300
K21494,BSU_39290
K21601,BSU_03960
K21600,BSU_33520
K21567,BSU_32110
K21488,BSU_18990
K21489,BSU_21580
K21490,BSU_21570
K21491,BSU_25860
K21743,BSU_36600
K21745,BSU_27000
K11923,BSU_09560
K21701,BSU_01640
K21802,BSU_07350
K22933,BSU_07130
K21902,BSU_07390
K21935,BSU_19700
K17077,BSU_23970
K21959,BSU_18420
K18244,BSU_24150
K00680,BSU_29390
K24131,BSU_22940
K00754,BSU_22460
K21960,BSU_29400
K21993,BSU_27200
K25157,BSU_10050
K01463,BSU_22470
K22135,BSU_19460
K22136,BSU_15120
K06199,BSU_09610
K22132,BSU_27540
K22109,BSU_31070
K01932,BSU_35900
K22116,BSU_35890
K22230,BSU_31170
K22187,BSU_02470
K03547,BSU_09910
K22278,BSU_12100
K03077,BSU_28780
K25285,BSU_03820
K04771,BSU_12900
K22301,BSU_33740
K22299,BSU_33670
K02257,BSU_12080
K02257,BSU_14880
K03797,BSU_35240
K05837,BSU_38120
K22299,BSU_33660
K22301,BSU_33840
K03574,BSU_04330
K09988,BSU_04200
K13566,BSU_13570
K18672,BSU_19430
K22441,BSU_32150
K22579,BSU_18830
K00651,BSU_21910
K23181,BSU_07520
K23183,BSU_07510
K23182,BSU_07500
K23184,BSU_07490
K23253,BSU_03230
K01515,BSU_23610
K25288,BSU_33310
K23264,BSU_06460
K25289,BSU_33300
K25308,BSU_33320
K23269,BSU_06480
K23257,BSU_33400
K23356,BSU_27110
K04063,BSU_13160
K10710,BSU_32570
K25111,BSU_08460
K00359,BSU_07450
K11928,BSU_03220
K23265,BSU_06470
K04063,BSU_13140
K23257,BSU_29050
K02804,BSU_07700
K00805,BSU_22760
K23535,BSU_31560
K24072,BSU_12560
K23536,BSU_31570
K23537,BSU_31550
K23675,BSU_23050
K23598,BSU_18380
K23775,BSU_13150
K23776,BSU_13310
K01139,BSU_27600
K02495,BSU_09840
K23734,BSU_24530
K23774,BSU_25250
K01005,BSU_35650
K23786,BSU_22010
K01005,BSU_35520
K01005,BSU_35840
K02770,BSU_12010
K02750,BSU_08200
K02810,BSU_38410
K02810,BSU_38050
K02757,BSU_39270
K23989,BSU_35780
K02800,BSU_03981
K02770,BSU_14400
K23983,BSU_06640
K02810,BSU_01680
K20534,BSU_13390
K24620,BSU_13240
K01269,BSU_10200
K24042,BSU_11010
K00627,BSU_14600
K18889,BSU_14320
K25307,BSU_07880
K24648,BSU_00050
K23138,BSU_12210
K00161,BSU_14580
K00162,BSU_14590
K24873,BSU_22740
K25316,BSU_34430
K25026,BSU_24850
K25130,BSU_32940
K25282,BSU_03830
K24950,BSU_33280
K25028,BSU_33160
K24948,BSU_33260
K25109,BSU_08440
K03699,BSU_09550
K20344,BSU_21470
K24872,BSU_34960
K25283,BSU_03810
K25230,BSU_12220
K19449,BSU_24610
K01980,BSU__rRNA_29
K01980,BSU__rRNA_2
K01980,BSU__rRNA_27
K01980,BSU__rRNA_7
K01980,BSU__rRNA_12
K01980,BSU__rRNA_5
K01980,BSU__rRNA_17
K01980,BSU__rRNA_10
K01980,BSU__rRNA_20
K01980,BSU__rRNA_14
K24116,BSU_39520
K24119,BSU_40090
K09190,BSU_03100
K24117,BSU_39510
K24163,BSU_33420
K16170,BSU_32440
K13936,BSU_37040
K03186,BSU_03630
K24708,BSU_08690
K24866,BSU_15630
K24949,BSU_14360
K24948,BSU_14370
K02051,BSU_30595
K25034,BSU_33180
K25027,BSU_33170
K25031,BSU_40060
K03498,BSU_13500
K24949,BSU_33270
K24951,BSU_14340
K01216,BSU_39070
K25110,BSU_08450
K25232,BSU_35480
K25232,BSU_11110
K25284,BSU_03800
K25308,BSU_39610
K03699,BSU_31300
K03699,BSU_24750
K03699,BSU_09590
K03699,BSU_26610
