Entry,locud_tag,product,synonym,gene
Q187A2,CD630_17920,Putative L-threonine 3-dehydrogenase (EC 1.1.1.103),,
Q184M1,CD630_30340,"Transcriptional regulator, TrmB family",,
Q18BL7,CD630_13500,"ABC-type transport system,lantibiotic/multidrug-family permease",,cprB
Q185K2,CD630_23280,"Transcription antiterminator, PTS operon regulator",,
Q188C5,CD630_20570,Uncharacterized protein,,
Q18BA2,CD630_12390,"Transcriptional regulator, beta-lactams repressor Phage-type",,
Q18CS9,CD630_01890,"Transcriptional regulator, LysR family",,
Q185X7,CD630_21890,"Beta-phosphoglucomutase (Beta-D-Glucose 1,6-phosphomutase) (EC 5.4.2.6)",,pgmB
Q18A15,CD630_08180,6-phospho-beta-glucosidase (EC 3.2.1.86),,
Q18BB1,CD630_12510,Signal recognition particle receptor FtsY (SRP receptor),,ftsY
Q183D7,CD630_27040,Putative permease,,
Q187M3,CD630_19130,Ethanolamine ammonia lyase large subunit (EC 4.3.1.7),,eutB
Q181I2,CD630_35820,Putative pseudouridine synthase RsuA-like (EC 5.4.99.-),,
Q17ZU1,CD630_31970,"Transcriptional regulator, MerR family",,
Q180I6,CD630_33421,"Putative conjugative transposon protein Tn916-like, CTn6-Orf20",,
Q181K4,CD630_36020,Putative ATPase,,
Q183J1,CD630_27550,"Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)",,ptsI
Q187X9,CD630_20130,"Transcriptional regulator, TetR family",,hydR
Q186M4,CD630_16670,Acetyltransferase (EC 2.3.1.-),,
Q182C5,CD630_24380,Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase),,cdd
Q18CU9,CD630_02080,"PTS system, fructose-like IIB component (EC 2.7.1.69)",,
Q188J7,CD630_04140,"Putative conjugative transposon protein Tn1549-like, CTn2-Orf8",,
Q184W3,CD630_31250,"PTS system, beta-glucoside-specific IIABC component, bglF4 (EC 2.7.1.69)",,bglF4
Q188M1,CD630_04340,"Putative drug/sodium antiporter, MATE family,Tn1549-like, CTn2-Orf29",,
Q18DA3,CD630_03670,Histidine kinase (EC 2.7.13.3),,
Q183P6,CD630_28120,Putative gluconate permease,,
Q188C0,CD630_20540,Aspartokinase (EC 2.7.2.4),,lysC
Q187L6,CD630_19070,Ethanolamine iron-dependent Alcohol dehydrogenase (EC 1.1.1.1),,eutG
Q183H8,CD630_27440,(p)ppGpp synthase (EC 2.7.6.5) (ATP:GTP 3'-pyrophosphotransferase) (GTP pyrophosphokinase) (ppGpp synthase I),,relA
Q18C36,CD630_15160,"Transcriptional regulator, MerR family",,
Q188H4,CD630_21070,Xanthine/uracil/thiamine/ascorbate permease family protein,,
Q182S5,CD630_25860,Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA),,priA
Q18BI3,CD630_13190,Putative polysaccharide deacetylase,,
Q185Z9,CD630_22090,GTPase HflX (GTP-binding protein HflX),,hflX
Q184N8,CD630_30470,Uncharacterized protein,,
Q187H3,CD630_18620,"Putative DNA/RNA helicase Tn1549-like,CTn5-Orf21",,
Q187Z3,CD630_20240,"ABC-type transport system, multidrug-family ATP-binding protein (EC 3.6.3.-)",,
Q18B31,CD630_11730,Putative FAD-linked oxidase (EC 1.1.-.-),,
Q18BS7,CD630_14100,"Putative hydrolase, HAD superfamily, subfamily IIB (EC 3.1.3.-)",,
Q189I2,CD630_06420,"Transcriptional regulator, HTH-type",,
Q183T5,CD630_28440,"Transcriptional regulator, MarR family",,
Q188V7,CD630_05090,"Transcriptional regulator, HTH-type Tn5397,CTn3-Orf9",,
Q185N5,CD630_23650,"ABC-type transport system,nitrate/sulfonate/taurine extracellular solute-binding protein",,
Q18C80,CD630_15620,Uncharacterized protein,,
Q18C03,CD630_14820,"ABC-type transport system, sulfonates-family permease",,ssuC
Q189U6,CD630_07510,"ABC-type transport system, aminoacid-family permease",,
Q184G0,CD630_29690,Putative AMP-binding protein,,
Q186L9,CD630_16620,Uncharacterized protein,,
Q182G3,CD630_24760,Gnat family acetyltransferase,,
Q182F7,CD630_24690,Stage II sporulation protein P,,spoIIP
Q181E3,CD630_35450,HD domain-containing protein,,
Q185R7,CD630_21280,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase),,ispG
Q188I2,CD630_03960,Activator of 2-hydroxyisocaproyl-CoA dehydratase,,hadI
Q186X3,CD630_17630,Putative membrane protein,,
Q189X1,CD630_07740,Stage V sporulation protein AD,,spoVAD
Q183A4,CD630_26700,"ABC-type transport system, ATP-binding protein putative oligopeptide transport system",,
Q188G1,CD630_20940,Putative restriction enzyme,,
Q18D90,CD630_03500,Nucleotidase (EC 3.1.3.-),,
Q18B04,CD630_11460,Cell shape-determining protein MreC (Cell shape protein MreC),,mreC
Q18BF9,CD630_13000,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),,pepA
Q189W2,CD630_07660,"PTS system, sorbitol-specific IIB C-terminal component (Glucitol) (EC 2.7.1.69)",,srlEb
Q189Z4,CD630_07960,"Transcriptional regulator, LacI family",,
Q186T1,CD630_17250,"Transcriptional regulator, AraC family",,
Q189B1,CD630_05660,Putative tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase),,
Q187Y4,CD630_20170,"Transcriptional regulator, HTH-type",,
Q180C3,CD630_32780,"PTS system, mannose/fructose/sorbose IIA component",,
Q18BZ4,CD630_14740,Putative rubrerythrin (Rr),,
Q189U9,CD630_07530,Cysteine desulfurase (EC 2.8.1.7),,iscS1
Q189D8,CD630_05940,PAPS_reduct domain-containing protein,,
Q181L9,CD630_36190,Putative acyl-CoA N-acyltransferase,,
Q18DA4,CD630_03660,"ABC-type transport system, multidrug-family ATP-binding protein Tn916-like, CTn1-Orf11 (EC 3.6.3.-)",,
Q189W6,CD630_07690,Putative oxidoreductase subunit,,
Q189A5,CD630_05590,"Transcriptional regulator, ArsR family",,
Q184H9,CD630_29880,Stage 0 sporulation protein A homolog,,
Q188V0,CD630_05060,"Reverse transcriptase/maturase/endonuclease,Group II intron (EC 2.7.7.49)",,
Q181A9,CD630_35090,Putative type IV pilus assembly protein,,
Q181N4,CD630_36300,"PTS system, fructose/mannitol-family IIB component",,
Q182V5,CD630_26200,Putative RNA-binding cell division protein,,
Q184S3,CD630_30860,"PTS system, 2-O-a-mannosyl-D-glycerate-specific IIABC component (EC 2.7.1.69)",,mngA
Q180K5,CD630_33600,Stage 0 sporulation protein A homolog,,
Q181Y9,CD630_24070,Putative multidrug efflux pump,,
Q189K9,CD630_06660,"ABC-type transport system,lantibiotic/multidrug-family permease",,cdd3
Q181A3,CD630_35040,Prepilin leader peptidase/N-methyltransferase (EC 2.1.1.-) (EC 3.4.23.43),,
Q186C0,CD630_15660,Acetolactate synthase (EC 2.2.1.6),,ilvB
Q189N1,CD630_06850,Translation initiation factor IF-3,,infC
Q18AJ8,CD630_10000,"ABC-type transport system,nitrate/sulfonate/taurine permease",,
Q186F7,CD630_16020,"PTS system, lactose/cellobiose-family IIB component",,
Q186U6,CD630_17380,Histidine kinase (EC 2.7.13.3),,
Q18D26,CD630_02890,"PTS system, mannose/fructose/sorbose IID component",,
Q18AX8,CD630_11200,Formate acetyltransferase (Pyruvate formate-lyase) (EC 2.3.1.54),,pflD
Q18DB0,CD630_03740,"Putative ATPase Tn916-like, CTn1-Orf19",,
Q186W9,CD630_17590,Methyltransferase domain protein,,
Q186D2,CD630_15780,Putative membrane-associated ribonuclease BN-like (Rbn) (EC 3.1.-.-),,
Q182G2,CD630_24750,Putative membrane protein,,
Q186N1,CD630_16740,Putative NADPH-dependent FMN reductase,,
Q187D3,CD630_18220,Putative thiol peroxidase (EC 1.11.1.15),,bcp
Q18B84,CD630_12250,Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2),,pdp
Q180U3,CD630_34460,"Aminopeptidase, M42 family (EC 3.-.-.-)",,
Q189R1,CD630_07140,Tetratricopeptide repeat protein,,
Q186C3,CD630_15680,Thioredox_DsbH domain-containing protein,,
Q184V3,CD630_31160,"PTS system, beta-glucoside-specific IIABC component, bglF3 (EC 2.7.1.69)",,bglF3
Q18AM6,CD630_10260,"ABC-type transport system,spermidine/putrescine permease",,potC
Q189L8,CD630_06700,"Transcriptional regulator, beta-lactams repressor",,
Q180K6,CD630_33620,"ABC-type transport system, multidrug-family permease",,
Q185V1,CD630_21640,L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27),,ldh
Q18BU9,CD630_14240,Uncharacterized protein,,
Q181W6,CD630_23800,Indole pyruvate ferredoxin/flavodoxin oxidoreductase (EC 1.2.7.8),,iorB
Q18CE0,CD630_00550,"Putative tRNA/rRNA methyltransferase, TrmH family, group3 (EC 2.1.1.-)",,
Q189H0,CD630_06271,Putative ferredoxin,,
Q185W3,CD630_21760,"ABC-type transport system,cystine/aminoacid-family permease",,
Q18C19,CD630_15000,Transposase-like protein B,,tlpB3
Q18D47,CD630_03030,Acetylornithine deacetylase ArgE (EC 3.5.1.16),,argE
Q18AI0,CD630_09740,Putative phage protein,,
Q18D17,CD630_02750,"Spore photoproduct (Thymine dimer) lyase,radical S-adenosylmethionine superfamily (EC 4.1.99.-)",,splB
Q187V7,CD630_19941,"Transcriptional regulator, ArsR family",,
Q188X4,CD630_05310,"Transcriptional regulator, DeoR family",,
Q18B34,CD630_11700,Lar_N domain-containing protein,,
Q18B82,CD630_12200,"Putative hydrolase, NUDIX family (EC 3.6.1.13)",,nudF
Q188V9,CD630_05110,"Recombinase site-specific resolvase family Tn5397, CTn3-Orf3",,tndX
Q18D49,CD630_03080,Putative membrane protein,,
Q18D72,CD630_03290,M18 family aminopeptidase (EC 3.4.11.-),,
Q181I9,CD630_35870,Stage 0 sporulation protein A homolog,,
Q182Q2,CD630_25640,"Transcriptional regulator, MerR family",,
Q181L5,CD630_36150,"Transcriptional regulator, MerR family",,
Q187F2,CD630_18420,DUF218 domain-containing protein,,
Q188H6,CD630_21080,"Putative drug/sodium antiporter, MATE family",,
Q184Z1,CD630_31540,"Transcriptional regulator, Phage-type",,
Q18BZ6,CD630_14750,Putative hydrolase,,
Q187I0,CD630_18660,DNA helicase (EC 3.6.4.12),,
Q18B63,CD630_11990,Stage III sporulation protein AH,,spoIIIAH
Q185J7,CD630_23230,Putative sugar-phosphate dehydrogenase (EC 1.1.1.-),,
Q182U1,CD630_26020,Two-component sensor histidine kinase,,
Q188T3,CD630_04930,"PTS system, mannose/fructose/sorbose IIC component",,
Q184F2,CD630_29650,Putative signaling protein,,
Q187K1,CD630_18880,Extracytoplasmic function (ECF) anti-sigma factor rsiU,,rsiU
Q185Q1,CD630_21140,Stage 0 sporulation protein A homolog,,
Q181H0,CD630_35680,Uncharacterized protein,,
Q183B4,CD630_26800,Putative permease,,
F3Y608,CD630_23861,Uncharacterized protein,,
Q187Y9,CD630_20230,"Transcriptional regulator, GntR family",,
Q180U0,CD630_34420,"Putative peptidase, M24 family (EC 3.4.-.-)",,
Q18AQ3,CD630_10520,Uncharacterized protein,,
Q18CQ2,CD630_01640,Putative membrane protein,,
Q18A42,CD630_08510,Putative membrane protein,,
Q187S4,CD630_19640,Putative transcriptional regulator,,
Q186M3,CD630_16680,Putative membrane protein,,
F3Y632,CD630_15461,Uncharacterized protein,,
Q187B6,CD630_18060,Fructokinase (EC 2.7.1.4),,scrK
Q18D42,CD630_03010,"ABC-type transport system, ribose-specific ATP-binding protein (EC 3.6.3.-)",,rbsA
Q18AQ2,CD630_10530,Putative oligonucleotide binding protein possibly involved in recognition/discrimination or editing of prolyl-tRNA,,
Q18AP5,CD630_10470,Putative cell wall-binding protein cwp18,,cwp18
Q180R1,CD630_34140,"ABC-type transport system, sugar-family extracellular solute-binding protein",,
Q186K0,CD630_16430,Uncharacterized protein,,
Q18BD9,CD630_12770,Putative acetyltransferase,,
Q185C4,CD630_22480,Uncharacterized protein,,
Q18D58,CD630_03160,"ABC-type transport system, permease",,
Q182T9,CD630_25990,Putative transcriptional regulator,,
Q18A89,CD630_08950,Metallo-beta-lactamase superfamily exported protein,,
Q188T7,CD630_04970,"Putative conjugative transposon protein DUF961 family Tn5397, CTn3-Orf22",,
Q18AL6,CD630_10160,"Transcriptional regulator, MerR family",,
Q181U5,CD630_31800,Putative purine permease,,
Q18AU9,CD630_10970,"ABC-type transport system, multidrug-family ATP-binding protein Tn1549-like, CTn4-Orf28 (EC 3.6.3.-)",,
Q18AA1,CD630_09120,Putative phage DNA-binding protein,,
Q18CU6,CD630_02050,"Transcription antiterminator, PTS operon regulator",,
Q180P6,CD630_33990,Putative gluconeogenesis factor,,
Q17ZX0,CD630_32250,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),dapA,dapA3
Q183C5,CD630_26900,Putative membrane-associated phosphatase,,
Q18CT3,CD630_01900,Putative membrane protein,,
Q182E1,CD630_24530,Putative CRISPR-associated negative autoregulator,,
Q187W7,CD630_20030,"Putative drug/sodium antiporter, MATE family",,effD
Q18AU0,CD630_10870,Zinc transporter ZupT,,zupT
Q18AZ0,CD630_11290,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),,coaE
Q18B65,CD630_12040,Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit),,xseB
Q186L4,CD630_16580,Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2),,gcvPB
Q180Q2,CD630_34040,Cardiolipin synthase (CL synthase) (EC 2.7.8.-),,cls1
Q18CM8,CD630_01360,"PTS system, lactose/cellobiose-family IIB component",,
Q188S3,CD630_04820,Histidine kinase (EC 2.7.13.3),,spaK
Q18D81,CD630_03460,Putative phosphoesterase,,
Q184C1,CD630_29360,Putative phage protein,,
Q181I3,CD630_35810,Methyltrans_SAM domain-containing protein,,
Q181R9,CD630_36650,Uncharacterized protein,,
Q18AS1,CD630_10680,Putative polysaccharide biosynthesis/sporulation protein,,
Q18BK0,CD630_13330,Putative phage tyrosine recombinase,,
Q18B05,CD630_11450,Cell shape-determining protein MreB,mreB,mreB2
Q18C35,CD630_15140,DUF2520 domain-containing protein,,
Q187Y6,CD630_20180,"Transcriptional regulator, AraC family",,
Q181V7,CD630_31670,Putative phosphatidylethanolamine-binding regulatory protein,,
Q184I3,CD630_29930,GyrI-like domain-containing protein,,
Q185G9,CD630_22970,Putative phage-related regulatory protein,,
Q182R8,CD630_25790,"Putative phosphatase, 2C family",,stp
Q18BT5,CD630_14180,"Putative drug/sodium antiporter, MATE family",,
Q189J0,CD630_06450,"ABC-type transport system,lantibiotic/multidrug-family ATP-binding protein",,
Q180M9,CD630_33830,"Putative ATPase Tn916-like, CTn7-Orf19",,
Q182S1,CD630_25820,Putative metal-dependent peptidase,,
Q181Q0,CD630_36470,"PTS system, lichenan-specific IIA component",,licA
Q18CF0,CD630_00650,Putative NADP-dependent deshydrogenase (EC 1.1.1.-),,
Q185V6,CD630_21670,Acyl transferase/acyl hydrolase/lysophospholipase,,
Q182M9,CD630_25430,"Putative membrane-bound 0-ACYL transferase,MBOAT family (EC 2.3.1.-)",,
Q189G4,CD630_06190,Uncharacterized protein,,
Q180M1,CD630_33740,"Putative conjugative transposon protein Tn916-like, CTn7-Orf8",,
Q18AV9,CD630_11070,"Putative cell surface protein Tn1549-like,CTn4-Orf13",,
F3Y635,CD630_19871,Uncharacterized protein,,
Q18BH9,CD630_13170,Uncharacterized protein DegV family,,
Q185Z3,CD630_22060,Aldehyde dehydrogenase,,aldH
Q187J0,CD630_18770,Histidine kinase (EC 2.7.13.3),,vncS
Q180P2,CD630_33940,Pyruvate kinase (EC 2.7.1.40),,pyk
Q18BL9,CD630_13550,Cold shock protein CspB,,cspB
Q188S4,CD630_04810,Stage 0 sporulation protein A homolog,,spaR
Q180P1,CD630_33930,23S rRNA (Uracil-5-)-methyltransferase RumA (23S rRNA(M-5-U1939)-methyltransferase) (EC 2.1.1.-),,rumA
Q183W5,CD630_28770,"ABC-type transport system, ferrichrome-specific permease",,fhuB
Q189X6,CD630_07770,Putative membrane protein,,
Q18C59,CD630_15400,"ABC-type transport system, permease protein",,
Q189L4,CD630_06680,Stage 0 sporulation protein A homolog,,
Q188L6,CD630_04260,"Putative conjugative transposon protein Tn1549-like, CTn2-Orf21",,
Q183I3,CD630_27470,Putative ubiquinone biosynthesis protein,,
Q182H2,CD630_24860,"PTS system, fructose-like IIC component",,
Q180K8,CD630_33630,"ABC-type transport system, multidrug-family permease",,
Q182H6,CD630_24890,Putative PTS system EIIA component,,
Q184V9,CD630_31210,Putative flavodoxin/nitric oxide synthase,,
Q183M2,CD630_27860,Putative cell surface protein cwp5,,cwp5
Q180L1,CD630_33650,Putative diguanylate kinase signaling protein,,
Q189U4,CD630_07480,Putative diguanylate kinase signaling protein,,
Q183G2,CD630_27280,Putative membrane protein,,
Q187F0,CD630_18400,Two-component response regulator,,
Q180J6,CD630_33510,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),clpP,clpP2
Q182A4,CD630_24190,"Transcriptional regulator, AraC family",,
Q18C26,CD630_15060,"Putative drug/sodium antiporter, MATE family",,
Q181Q3,CD630_36510,Putative metallo-beta-lactamase-like hydrolase (EC 3.-.-.-),,
Q185I6,CD630_23120,"ABC-type transport system, molybdenum-like permease",,
Q185N7,CD630_23670,"ABC-type transport system, multidrug-family permease",,
Q183X1,CD630_28850,"Transcriptional regulator, GntR family",,
Q18CE2,CD630_00590,Protein translocase subunit SecE,,secE
Q184M7,CD630_30390,Putative ATPase,,
Q183T7,CD630_28520,Teichoic acid D-alanyltransferase (EC 2.3.1.-),,dltB
Q18BP3,CD630_13740,Putative beta-lactamase-inhibitor protein II,,
Q188F8,CD630_20890,Putative metal-dependent hydrolase (EC 3.5.4.28),,
Q180J7,CD630_33540,Putative tRNA-binding protein,,
Q181B8,CD630_35200,Putative cation efflux protein,,
Q186X1,CD630_17600,Putative iron-sulfur protein,,
Q180K4,CD630_33590,"ABC-type transport system, ATP-binding protein (EC 3.6.3.-)",,
Q186G7,CD630_16120,Putative amidohydrolase,,
Q18BB4,CD630_12520,Signal recognition particle protein (Fifty-four homolog),,ffh
Q187S3,CD630_19650,Putative permease,,
Q18AY5,CD630_11241,Uncharacterized protein,,
Q18AD0,CD630_09320,Putative phage protein,,
Q185P3,CD630_23730,Putative CstA-like carbon starvation protein,,
Q17ZX1,CD630_32260,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),dapB,dapB1
Q180I9,CD630_33440,"Putative cell-division FtsK/SpoIIIE-family protein Tn916-like, CTn6-Orf22",,
Q18AZ8,CD630_11400,Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rnf electron transport complex subunit E),,rnfE
Q180N7,CD630_33900,"Putative conjugative transposon protein DUF961 family Tn196-like, CTn7-Orf29",,
Q182A5,CD630_24210,Peptidase M20 domain-containing protein 2,,
Q186I0,CD630_16250,Histidine kinase (EC 2.7.13.3),,vanS
Q18A54,CD630_08630,"PTS system, lactose/cellobiose-family IIA component",,
Q185F5,CD630_22850,"Transcriptional regulator, GntR family",,
Q18B32,CD630_11720,Electron transfer flavoprotein subunit alpha,,etfA4
Q18C30,CD630_15100,LUD_dom domain-containing protein,,
Q181Z4,CD630_24100,"Pyruvate, phosphate dikinase (EC 2.7.9.1)",,ppdK
Q182Q4,CD630_25650,Putative PTS system EIIA component,,
Q189P4,CD630_06990,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),,pheS
Q185F3,CD630_22810,"PTS system, fructose/mannitol family IIB component",,
Q184U8,CD630_31130,Putative amidohydrolase,,
Q181F2,CD630_35520,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),,lysS
Q180U5,CD630_34480,Putative ketose-bisphophate aldolase class II putative tagatose-bisphosphate aldolase GatY (EC 4.1.2.-),,
Q189N6,CD630_06900,Putative nucleotide phosphodiesterase,,
Q184U2,CD630_31060,Transaldolase (EC 2.2.1.2),,
Q183K8,CD630_27730,"Putative glycosyl transferase, family 2",,
Q188B5,CD630_20450,"Transcriptional regulator, HTH-type",,
Q189Y3,CD630_07860,Putative membrane protein,,
Q184K4,CD630_30150,"PTS system, mannose-specfic IIA component",,
Q186M0,CD630_16650,O-acetylserine (Thiol)-lyase (O-acetylserine sulfhydrylase) (OAS-TL) (EC 2.5.1.47),,cysM
Q184Z4,CD630_31550,Putative Fic/Doc-related protein,,
Q187P8,CD630_19380,Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2),,accC
Q18A01,CD630_08050,Electron transfer flavoprotein alpha-subunit,,etfA2
Q182P7,CD630_25590,"Rna methyltransferase, rsmd family",,
Q181Q8,CD630_36570,Replicative DNA helicase (EC 3.6.4.12),,dnaC
Q186E7,CD630_15910,Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain),,kdpA
Q187G2,CD630_18510,"Putative single-strand DNA-binding protein Tn1549-like, CTn5-Orf7",,
Q184J5,CD630_30040,2-keto-3-deoxygluconate permease 2,,kdgT2
Q180Y6,CD630_34870,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho),,rho
Q17ZZ9,CD630_32550,Stage 0 sporulation protein A homolog,,rgaR
Q182W7,CD630_26330,Putative fes-containing cyanobacterial-specific oxidoreductase,,
Q182J2,CD630_25050,"Transcriptional regulator, TetR family",,
Q183I8,CD630_27510,DUF4116 domain-containing protein,,
Q186J8,CD630_16450,Putative membrane protein,,
Q18A33,CD630_08340,Isocitrate dehydrogenase NAD-dependent (EC 1.1.1.41),,icd
Q184H5,CD630_29850,"ABC-type transport system, ATP-binding protein (EC 3.6.3.-)",,
Q184C8,CD630_29440,Putative phage essential recombination function protein,,
F3Y5T0,CD630_04352,"Putative conjugative transposon protein Tn1549-like, CTn2-Orf33",,
Q18B17,CD630_11590,DUF2344 domain-containing protein,,
Q185U2,CD630_21530,Uncharacterized protein,,
Q188X7,CD630_05350,Probable chemoreceptor glutamine deamidase CheD (EC 3.5.1.44),,cheD
Q186F1,CD630_15960,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),map,map2
Q18C66,CD630_15450,Uncharacterized protein,,
Q182D4,CD630_24470,Putative histidine triad (HIT) protein,,
Q183P5,CD630_28130,Tartronate semialdehyde reductase (EC 1.1.1.60),,garR
Q183L4,CD630_27750,Putative glycerophosphotransferase,,
Q185Z2,CD630_22010,"Transporter, Major Facilitator Superfamily (MFS)",,
Q188R9,CD630_04790,"ABC-type transport system,lantibiotic/multidrug-family permease",,spaE
Q18AX1,CD630_11100,"Putative hydrolase Tn1549-like, CTn4-Orf9",,
Q18CR1,CD630_01740,Carbon monoxide dehydrogenase (EC 1.2.7.4),,cooS
Q181Z9,CD630_24160,Putative PTS system EIIA component,,
Q188E2,CD630_20730,"Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)",,xdhA
Q18D50,CD630_03130,Putative K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporting P-type ATPase (EC 3.6.3.5),,
Q181W9,CD630_23850,Putative diguanylate cyclase signaling protein,,
Q184N4,CD630_30450,"Putative ATPase, BadF/BadG/BcrA/BcrD type",,
Q186H9,CD630_16240,Stage 0 sporulation protein A homolog,,vanR
Q181J0,CD630_35880,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain),carB,carB1
Q18C18,CD630_14960,Uncharacterized protein,,
Q188H0,CD630_21020,Putative Na(+)/H(+) antiporter,,
Q180E0,CD630_32960,Putative pilus assembly ATPase,,
Q180H4,CD630_33300,"Transcriptional regulator, HTH-type Tn916-like,CTn6-Orf6",,
Q185J2,CD630_23180,Putative phosphohexomutase (EC 5.4.2.-),,
Q186R5,CD630_17050,Thiamine biosynthesis protein ThiH,,thiH
Q187N9,CD630_19280,Putative membrane protein,,
Q180A9,CD630_32660,Histidine kinase (EC 2.7.13.3),,
Q181X0,CD630_23840,Putative diguanylate cyclase signaling protein,,
Q180J5,CD630_33500,"Putative glycosyl transferase, family 2",,
Q185T7,CD630_21490,"Putative vancomycin resistance protein, vanW family",,
Q18C73,CD630_15540,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)],hisIE,hisI
Q184G9,CD630_29770,CRISPR-associated exonuclease Cas4 (EC 3.1.12.1),,
Q185C7,CD630_22550,Uncharacterized protein,,
Q18D11,CD630_02720,Uncharacterized protein,,
Q183F8,CD630_27220,Stage 0 sporulation protein A homolog,,
Q184L4,CD630_30270,"PTS system, glucose-like IIA component",,
Q186A8,CD630_22230,Putative extrachromosomal origin protein,,
Q186W3,CD630_17560,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase),def,def1
Q189A2,CD630_05560,Putative sugar isomerase / endonuclease,,
Q182W8,CD630_26350,Putative spore envelope protein,,
Q187G3,CD630_18550,"Putative conjugative transposon protein Tn1549-like, CTn5-Orf11",,
Q18D09,CD630_02660,RNA polymerase sigma-28factor for flagellar operon,,fliA
Q186F0,CD630_15940,O-acetyl-serine thiol-lyase A (O-acetyl-sulfhydrylase)(OAS-TL) (EC 2.5.1.47),,cysK
Q181Y6,CD630_24000,Spore coat peptide assembly protein CotJB 2,,cotJB2
Q18B44,CD630_11830,Acyl carrier protein (ACP),acpP,acpP1
Q183K1,CD630_27640,"Putative hydrolase, HAD superfamily, IIB subfamily (EC 3.1.3.-)",,
Q180G9,CD630_33260,"Integrase, lambdoid phage family Tn916-like,CTn6-Orf1",,
Q187M2,CD630_19100,Stage 0 sporulation protein A homolog,,eutV
Q187T3,CD630_19730,Aluminum resistance protein,,
Q188U7,CD630_04991,"Putative conjugative transposon protein Tn5397,CTn3-Orf19",,
Q187V4,CD630_19930,Putative decarboxylase,,
Q181M5,CD630_36250,Putative signaling protein,,
Q18D60,CD630_03200,Stage 0 sporulation protein A homolog,,
Q182B7,CD630_24300,"Transcriptional regulator, IclR family",,
Q189S3,CD630_07300,Putative iron-sulfur protein,,
Q184K9,CD630_30180,Oxidoreductase,,
Q18A29,CD630_08320,Homocitrate synthase (EC 2.3.3.14),,aksA
Q180Z5,CD630_34950,Putative RNA-binding S4 domain-containing protein,,
Q188R6,CD630_04730,"Transcriptional regulator, MarR family",,
Q188U5,CD630_05010,"Putative conjugative transposon protein Tn5397,CTn3-Orf17",,
Q18C62,CD630_15431,Uncharacterized protein,,
Q188K1,CD630_04110,"Putative conjugative transposon protein Tn1549-like, CTn2-Orf4",,
Q18BF5,CD630_12900,Putative small acid-soluble spore protein SASP,,
Q185T5,CD630_21480,Putative serine/threonine protein kinase,,
Q184W9,CD630_31300,"6-phospho-beta-glucosidase, bglA6 (EC 3.2.1.86)",,bglA6
Q189S7,CD630_07310,Putative radical SAM superfamily protein,,
Q185L7,CD630_23420,Succinate-semialdehyde dehydrogenase (NAD(P)+) (EC 1.2.1.16),,sucD
Q184W0,CD630_31230,4fe-4s binding domain protein,,
Q18BC3,CD630_12610,Vitamin B12-dependent ribonucleotide reductase (EC 1.17.4.1),,
