gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits	virus.tax.id	virus.name	virus.lineage	refseq.id.y	KEGG.GENOME	KEGG.DISEASE	DISEASE	host.tax.id	host.name	host.lineage	domain	phylum	class	order	family	genus.etc	pmid	evidence	sample.type	source.organism
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018856.1_164	NC_018856	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	257	8	1	FALSE	0.027237354	8	208	24	10	5	2	57477	Bacillus phage Bastille	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bastillevirus; Bacillus virus Bastille	NC_018856	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018860.1_13	NC_018860	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	218	8	4	FALSE	0.050458716	9	159	30	14	5	1	1126950	Bacillus phage BCP78	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78	NC_018860	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018860.1_13	NC_018860	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	218	8	4	FALSE	0.050458716	9	159	30	14	5	1	1126950	Bacillus phage BCP78	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78	NC_018860	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018860.1_96	NC_018860	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	218	8	4	FALSE	0.050458716	9	159	30	14	5	1	1126950	Bacillus phage BCP78	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78	NC_018860	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018860.1_104	NC_018860	K03091	sigG;RNA polymerase sigma-G factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	218	8	4	FALSE	0.050458716	9	159	30	14	5	1	1126950	Bacillus phage BCP78	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78	NC_018860	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018860.1_104	NC_018860	K03091	sigF;RNA polymerase sigma-F factor	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	218	8	4	FALSE	0.050458716	9	159	30	14	5	1	1126950	Bacillus phage BCP78	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Tsarbombavirus; Bacillus virus BCP78	NC_018860	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_018863.1_133	NC_018863	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	282	5	2	FALSE	0.039007092	9	226	26	14	5	2	1141133	Bacillus phage B4	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bequatrovirus; Bacillus virus B4	NC_018863	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019401.1_311	NC_019401	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M	0	FALSE	0	536	24	4	FALSE	0.052238806	25	421	49	34	2	5	1141136	Cronobacter phage vB_CsaM_GAP32	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32	NC_019401	NA	NA	NA	28141	Cronobacter sakazakii	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019421.1_34	NC_019421	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	75	10	2	FALSE	0.013333333	3	50	14	5	1	2	1204534	Clostridium phage phiMMP02	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus	NC_019421	NA	NA	NA	1496	Clostridioides difficile	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019421.1_34	NC_019421	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	75	10	2	FALSE	0.013333333	3	50	14	5	1	2	1204534	Clostridium phage phiMMP02	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Lubbockvirus; unclassified Lubbockvirus	NC_019421	NA	NA	NA	1496	Clostridioides difficile	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019422.1_27	NC_019422	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	47	4	1	FALSE	0.042553191	4	29	6	4	3	1	1204535	Clostridium phage phiMMP04	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019422	NA	NA	NA	1496	Clostridioides difficile	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019422.1_27	NC_019422	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	47	4	1	FALSE	0.042553191	4	29	6	4	3	1	1204535	Clostridium phage phiMMP04	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019422	NA	NA	NA	1496	Clostridioides difficile	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Clostridioides	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019448.1_63	NC_019448	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M	0	FALSE	0	213	3	2	FALSE	0.037558685	10	168	18	11	5	1	760530	Staphylococcus phage G15	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus G15	NC_019448	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019490.1_2	NC_019490	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	85	12	2	FALSE	0	2	17	64	2	0	0	936152	Riemerella phage RAP44	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019490	NA	NA	NA	34085	Riemerella anatipestifer	Bacteria; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Weeksellaceae; Riemerella	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae; Riemerella	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019490.1_2	NC_019490	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	85	12	2	FALSE	0	2	17	64	2	0	0	936152	Riemerella phage RAP44	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019490	NA	NA	NA	34085	Riemerella anatipestifer	Bacteria; Bacteroidetes/Chlorobi group; Bacteroidetes; Flavobacteriia; Flavobacteriales; Weeksellaceae; Riemerella	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae; Riemerella	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019496.1_29	NC_019496	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	64	4	1	FALSE	0.015625	4	41	16	2	0	1	673376	Clostridium phage phiCP26F	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019496	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019496.1_29	NC_019496	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	64	4	1	FALSE	0.015625	4	41	16	2	0	1	673376	Clostridium phage phiCP26F	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019496	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019502.1_60	NC_019502	K03466	spoIIIE;spore DNA translocase	MISC	Sporulation/ other	NA	Sporulation	1	FM	0	FALSE	0	64	8	1	FALSE	0.046875	7	30	22	3	1	1	1124578	Bacillus phage phIS3501	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019502	NA	NA	NA	339854	Bacillus thuringiensis serovar israelensis ATCC 35646	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group; Bacillus thuringiensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group; Bacillus thuringiensis	NA	NA	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019506.1_34	NC_019506	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	67	4	1	FALSE	0.029850746	4	39	21	2	0	1	1042122	Clostridium phage phiCP13O	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019506	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019506.1_34	NC_019506	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	67	4	1	FALSE	0.029850746	4	39	21	2	0	1	1042122	Clostridium phage phiCP13O	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019506	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019507.1_152	NC_019507	K00012	ytcA;UDP-glucose 6-dehydrogenase YtcA	MISC	Sporulation proteins	Newly identified sporulation proteins (based on transcription profiling)	Sporulation	1	MKT	0	FALSE	0	264	30	9	TRUE	0.049242424	23	122	89	20	4	6	1190451	Campylobacter virus CP21	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Firehammervirus	NC_019507	NA	NA	NA	205	Campylobacter sp.	Bacteria; Proteobacteria; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	Bacteria	Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae; Campylobacter	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019508.1_33	NC_019508	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	67	4	1	FALSE	0.029850746	4	41	18	3	0	1	1042123	Clostridium phage phiCP34O	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019508	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019508.1_33	NC_019508	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	67	4	1	FALSE	0.029850746	4	41	18	3	0	1	1042123	Clostridium phage phiCP34O	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019508	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019515.1_74	NC_019515	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	140	1	6	FALSE	0.057142857	12	18	100	8	2	0	1136534	Bacillus phage BCD7	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019515	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019515.1_74	NC_019515	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	140	1	6	FALSE	0.057142857	12	18	100	8	2	0	1136534	Bacillus phage BCD7	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019515	NA	NA	NA	1396	Bacillus cereus	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus cereus group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus cereus group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019519.1_29	NC_019519	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	124	6	1	FALSE	0.016129032	1	29	89	5	0	0	1161931	Agrobacterium phage 7-7-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Schmittlotzvirus; Agrobacterium virus 7-7-1	NC_019519	NA	NA	NA	861208	Agrobacterium sp. H13-3	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Agrobacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019521.1_179	NC_019521	K00973	spsI;dTDP-glucose pyrophosphorylase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	293	4	4	FALSE	0.030716724	11	23	247	10	1	1	1150991	Sphingomonas phage PAU	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019521	NA	NA	NA	13689	Sphingomonas paucimobilis	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019523.1_14	NC_019523	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	22	1	1	FALSE	0	6	4	10	0	2	0	1128071	Clostridium phage phi24R	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae	NC_019523	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019523.1_14	NC_019523	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	22	1	1	FALSE	0	6	4	10	0	2	0	1128071	Clostridium phage phi24R	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; unclassified Podoviridae	NC_019523	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019544.1_30	NC_019544	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	85	4	1	FALSE	0.011764706	7	33	38	4	1	2	749413	Deep-sea thermophilic phage D6E	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019544	NA	NA	NA	391290	Geobacillus sp. E263	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	20889772	Literature	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019544.1_30	NC_019544	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	85	4	1	FALSE	0.011764706	7	33	38	4	1	2	749413	Deep-sea thermophilic phage D6E	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae	NC_019544	NA	NA	NA	391290	Geobacillus sp. E263	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	20889772	Literature	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019713.1_85	NC_019713	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	103	0	1	FALSE	0	12	75	14	1	0	1	1229755	Vibrio phage vB_VpaS_MAR10	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Mardecavirus; Vibrio virus MAR10	NC_019713	NA	NA	NA	670	Vibrio parahaemolyticus	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio; Vibrio harveyi group	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019726.1_60	NC_019726	K03469	ypeP;hypothetical protein	MISC	Sporulation proteins	Spore coat proteins	Sporulation	1	M	0	FALSE	0	218	4	3	FALSE	0.036697248	10	172	19	11	5	1	1239383	Staphylococcus phage JD007	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; Staphylococcus virus JD7	NC_019726	NA	NA	NA	1280	Staphylococcus aureus	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	RefSeq	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019924.1_22	NC_019924	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	78	3	1	FALSE	0.025641026	9	15	51	3	0	0	1147137	Clostridium phage phi8074-B1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019924	NA	NA	NA	1509	Clostridium sporogenes	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_019924.1_22	NC_019924	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	78	3	1	FALSE	0.025641026	9	15	51	3	0	0	1147137	Clostridium phage phi8074-B1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_019924	NA	NA	NA	1509	Clostridium sporogenes	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_020079.1_101	NC_020079	K00973	spsI;dTDP-glucose pyrophosphorylase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	268	10	4	FALSE	0.044776119	9	159	81	14	2	3	1229753	Escherichia phage phAPEC8	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Phapecoctavirus; Escherichia virus phAPEC8	NC_020079	NA	NA	NA	562	Escherichia coli	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	RefSeq	NA	NA
