refseq.id	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits
NC_020839.1	0	FALSE	0	54	4	0	FALSE	0.055555556	4	37	6	4	0	3
NC_020840.1	0	FALSE	0	55	4	2	FALSE	0	4	12	34	2	2	1
NC_020841.1	0	FALSE	0	68	2	0	FALSE	0.014705882	4	23	32	2	3	4
NC_020842.1	0	FALSE	0	112	4	3	FALSE	0.035714286	7	20	80	4	0	1
NC_020843.1	0	FALSE	0	208	18	2	FALSE	0.033653846	13	109	74	9	1	2
NC_020844.1	0	FALSE	0	63	2	0	FALSE	0.031746032	1	27	31	3	0	1
NC_020845.1	0	FALSE	0	231	12	18	FALSE	0.043290043	22	159	22	21	5	2
NC_020846.1	0	FALSE	0	72	12	0	FALSE	0.013888889	1	30	38	1	1	1
NC_020847.1	0	FALSE	0	65	6	0	FALSE	0	3	44	15	1	2	0
NC_020848.1	0	FALSE	0	120	8	1	FALSE	0.033333333	9	94	12	4	1	0
NC_020849.1	0	FALSE	0	104	9	1	FALSE	0.028846154	8	61	30	3	1	1
NC_020850.1	0	FALSE	0	59	4	0	FALSE	0	3	20	33	1	1	1
NC_020851.1	0	FALSE	0	300	6	24	FALSE	0.06	21	142	104	26	4	3
NC_020853.1	0	FALSE	0	75	5	0	FALSE	0	5	27	39	2	0	2
NC_020854.1	0	FALSE	0	57	4	1	FALSE	0.01754386	3	26	23	3	2	0
NC_020855.1	0	FALSE	0	215	6	25	FALSE	0.093023256	21	118	38	29	6	3
NC_020856.2	0	FALSE	0	75	10	0	FALSE	0.013333333	2	55	15	2	0	1
NC_020857.1	0	FALSE	0	68	6	0	FALSE	0.014705882	3	45	15	2	3	0
NC_020858.2	0	FALSE	0	74	10	0	FALSE	0.013513514	4	55	12	2	0	1
NC_020859.1	0	FALSE	0	214	4	15	FALSE	0.065420561	21	146	18	22	6	1
NC_020860.1	0	FALSE	0	59	1	5	FALSE	0.101694915	2	25	23	9	0	0
NC_020862.2	0	FALSE	0	76	2	0	FALSE	0	11	35	28	1	1	0
NC_020863.1	0	FALSE	0	219	18	4	FALSE	0.03196347	11	128	68	10	1	1
NC_020865.1	0	FALSE	0	52	0	1	FALSE	0.019230769	12	30	7	1	1	1
NC_020866.1	0	FALSE	0	54	3	0	FALSE	0.055555556	4	37	6	4	0	3
NC_020867.1	0	FALSE	0	69	4	2	FALSE	0.028985507	9	24	32	2	1	1
NC_020868.1	0	FALSE	0	118	8	1	FALSE	0.033898305	9	94	10	4	1	0
NC_020870.1	0	FALSE	0	39	2	0	FALSE	0.025641026	2	29	6	2	0	0
NC_020871.1	0	FALSE	0	177	2	2	FALSE	0.04519774	10	131	19	11	5	1
NC_020872.1	0	FALSE	0	53	2	2	FALSE	0.018867925	13	23	14	1	1	1
NC_020873.1	0	FALSE	0	220	6	5	FALSE	0.05	10	173	16	14	5	2
NC_020874.1	0	FALSE	0	56	0	4	FALSE	0.071428571	12	30	7	5	1	1
NC_020875.1	0	FALSE	0	225	4	24	FALSE	0.071111111	22	148	21	26	5	3
NC_020876.1	0	FALSE	0	90	2	0	FALSE	0.022222222	8	68	8	2	2	2
NC_020877.1	0	FALSE	0	178	2	3	TRUE	0.04494382	8	125	27	11	5	2
NC_020878.1	0	FALSE	0	62	0	2	FALSE	0.032258065	8	23	27	2	1	1
NC_020879.1	0	FALSE	0	236	10	1	FALSE	0.042372881	29	126	32	29	10	10
NC_020880.1	0	FALSE	0	40	2	0	FALSE	0.025	2	28	8	2	0	0
NC_020883.1	0	FALSE	0	90	0	2	FALSE	0.011111111	3	42	42	2	1	0
NC_021061.1	0	FALSE	0	63	2	0	FALSE	0.031746032	4	41	12	3	1	2
NC_021062.1	0	FALSE	0	48	0	0	FALSE	0.020833333	16	18	6	1	3	4
NC_021063.1	0	FALSE	0	64	2	0	FALSE	0.015625	3	47	10	1	1	2
NC_021067.1	0	FALSE	0	263	24	1	FALSE	0.02661597	12	184	56	9	1	1
NC_021068.1	0	FALSE	0	73	2	0	FALSE	0	3	22	46	0	1	1
NC_021070.1	0	FALSE	0	51	2	0	FALSE	0.058823529	5	18	18	7	0	3
NC_021071.1	0	FALSE	0	211	4	17	FALSE	0.066350711	21	139	22	22	6	1
NC_021072.1	0	FALSE	0	205	4	19	FALSE	0.082926829	20	136	17	25	6	1
NC_021073.1	0	FALSE	0	160	10	2	FALSE	0.0375	20	28	101	8	1	2
NC_021190.1	0	FALSE	0	65	10	0	FALSE	0.015384615	12	21	20	8	0	4
NC_021297.1	0	FALSE	0	85	2	1	FALSE	0.011764706	8	63	10	1	1	2
NC_021298.1	0	FALSE	0	73	6	0	FALSE	0.02739726	10	52	6	3	2	0
NC_021299.1	0	FALSE	0	129	4	0	FALSE	0.023255814	7	99	18	4	0	1
NC_021300.1	0	FALSE	0	58	1	0	FALSE	0.034482759	7	19	30	2	0	0
NC_021301.1	0	FALSE	0	93	9	0	FALSE	0.021505376	6	71	12	2	0	2
NC_021302.1	0	FALSE	0	76	4	1	FALSE	0.013157895	5	56	10	2	0	3
NC_021304.1	0	FALSE	0	75	6	0	FALSE	0.026666667	10	54	6	3	2	0
NC_021305.1	0	FALSE	0	140	12	0	TRUE	0.028571429	7	109	15	5	1	3
NC_021306.2	0	FALSE	0	140	8	0	TRUE	0.028571429	8	108	15	5	1	3
NC_021307.1	0	FALSE	0	73	1	1	FALSE	0.01369863	10	50	8	1	2	2
NC_021308.1	0	FALSE	0	76	1	1	FALSE	0.013157895	9	48	13	2	2	2
NC_021309.1	0	FALSE	0	136	12	0	TRUE	0.029411765	7	106	14	5	1	3
NC_021310.1	0	FALSE	0	94	11	0	FALSE	0	2	84	7	0	0	1
NC_021311.1	0	FALSE	0	139	12	0	TRUE	0.028776978	6	106	18	5	1	3
NC_021315.1	0	FALSE	0	73	4	0	FALSE	0.02739726	3	62	3	5	0	0
NC_021316.1	0	FALSE	0	51	0	0	FALSE	0.019607843	13	31	5	1	0	1
NC_021317.1	0	FALSE	0	28	3	0	FALSE	0.035714286	0	22	3	1	1	1
NC_021318.1	0	FALSE	0	87	3	0	FALSE	0.011494253	9	59	13	1	2	3
NC_021320.1	0	FALSE	0	110	10	0	FALSE	0.027272727	6	91	10	3	0	0
NC_021321.1	0	FALSE	0	121	11	0	FALSE	0.016528926	6	96	17	2	0	0
NC_021323.1	0	FALSE	0	61	7	0	FALSE	0.016393443	4	47	7	1	1	1
NC_021324.1	0	FALSE	0	91	1	1	FALSE	0	7	71	11	0	1	1
NC_021325.1	0	FALSE	0	49	6	1	FALSE	0.040816327	6	21	18	2	1	1
NC_021326.1	0	FALSE	0	70	10	0	FALSE	0.028571429	5	53	5	4	2	1
NC_021331.1	0	FALSE	0	83	6	0	FALSE	0.060240964	5	52	15	7	1	3
NC_021332.1	0	FALSE	0	67	1	0	FALSE	0.029850746	6	48	9	3	1	0
NC_021334.1	0	FALSE	0	98	6	0	FALSE	0.010204082	4	69	21	1	1	2
NC_021335.1	0	FALSE	0	102	8	0	FALSE	0	3	86	12	1	0	0
NC_021336.1	0	FALSE	0	40	2	1	FALSE	0	8	17	13	1	1	0
NC_021337.1	0	FALSE	0	28	0	0	FALSE	0.035714286	12	10	4	1	0	1
NC_021338.1	0	FALSE	0	72	3	0	FALSE	0.013888889	9	47	10	1	2	3
NC_021339.1	0	FALSE	0	72	5	0	FALSE	0.027777778	9	52	6	3	2	0
NC_021342.2	0	FALSE	0	66	15	0	FALSE	0.045454545	2	44	12	5	2	1
NC_021343.1	0	FALSE	0	47	6	0	FALSE	0.042553191	4	16	16	7	1	3
NC_021344.2	0	FALSE	0	267	16	4	FALSE	0.037453184	30	163	23	27	9	15
NC_021346.1	0	FALSE	0	225	6	0	FALSE	0.022222222	10	189	18	6	1	1
NC_021347.1	0	FALSE	0	221	4	1	FALSE	0.009049774	8	74	134	2	1	2
NC_021348.1	0	FALSE	0	226	6	0	FALSE	0.022123894	9	189	20	6	1	1
NC_021349.1	0	FALSE	0	219	4	0	FALSE	0.02283105	9	183	19	6	1	1
NC_021529.2	0	FALSE	0	396	24	4	FALSE	0.047979798	27	255	61	35	10	8
NC_021530.1	0	FALSE	0	203	6	19	FALSE	0.093596059	21	138	10	27	6	1
NC_021531.1	0	FALSE	0	236	32	1	FALSE	0.021186441	7	209	11	5	0	4
NC_021532.1	0	FALSE	0	125	6	0	FALSE	0.032	9	19	90	5	1	1
NC_021533.1	0	FALSE	0	71	3	0	FALSE	0.014084507	9	43	14	2	2	1
NC_021534.1	0	FALSE	0	80	14	0	FALSE	0.0375	1	62	11	3	2	1
NC_021535.1	0	FALSE	0	82	3	0	FALSE	0.024390244	9	58	10	2	2	1
NC_021536.1	0	FALSE	0	204	4	15	FALSE	0.083333333	20	134	16	26	6	2
NC_021538.1	0	FALSE	0	100	8	0	TRUE	0.02	5	73	17	2	1	2
NC_021539.2	0	FALSE	0	65	6	0	FALSE	0.046153846	5	40	15	3	1	1
NC_021540.1	0	FALSE	0	107	7	1	FALSE	0.018691589	7	50	47	2	1	0
NC_021556.1	0	FALSE	0	58	2	0	FALSE	0	4	47	6	0	0	1
NC_021557.1	0	FALSE	0	53	4	1	FALSE	0.018867925	4	18	22	5	0	4
NC_021558.1	0	FALSE	0	69	4	0	FALSE	0.028985507	5	18	42	2	2	0
NC_021559.1	0	FALSE	0	232	4	17	FALSE	0.056034483	21	154	27	22	5	3
NC_021560.1	0	FALSE	0	71	10	1	FALSE	0	5	34	27	4	0	1
NC_021561.1	0	FALSE	0	60	8	0	FALSE	0.033333333	2	28	26	3	1	0
NC_021563.1	0	FALSE	0	65	3	1	FALSE	0	3	36	21	2	1	2
NC_021772.1	0	FALSE	0	99	4	0	FALSE	0.02020202	8	64	22	2	1	2
NC_021773.2	0	FALSE	0	62	8	0	FALSE	0.064516129	8	43	4	5	1	1
NC_021774.1	0	FALSE	0	40	5	0	FALSE	0.075	7	8	9	9	3	4
NC_021775.1	0	FALSE	0	68	7	0	FALSE	0	1	46	19	1	1	0
NC_021776.1	0	FALSE	0	52	2	0	TRUE	0.019230769	5	24	21	1	1	0
NC_021777.1	0	FALSE	0	65	12	0	FALSE	0.015384615	1	44	16	1	1	2
NC_021779.1	0	FALSE	0	72	6	0	FALSE	0.027777778	3	61	3	5	0	0
NC_021780.1	0	FALSE	0	72	6	0	FALSE	0.027777778	3	62	2	5	0	0
NC_021781.2	0	FALSE	0	187	2	2	FALSE	0.037433155	10	143	18	10	5	1
NC_021782.1	0	FALSE	0	98	4	1	FALSE	0.010204082	8	64	22	1	1	2
NC_021783.1	0	FALSE	0	72	4	0	FALSE	0.013888889	3	62	3	4	0	0
NC_021784.1	0	FALSE	0	61	5	0	FALSE	0.016393443	9	28	18	4	2	0
NC_021785.1	0	FALSE	0	108	6	0	FALSE	0.027777778	9	80	13	5	1	0
NC_021787.2	0	FALSE	0	107	5	0	FALSE	0.028037383	9	82	10	5	1	0
NC_021788.1	0	FALSE	0	195	6	3	FALSE	0.01025641	8	165	19	2	0	1
NC_021789.1	0	FALSE	0	122	9	1	FALSE	0.032786885	3	91	22	4	0	2
NC_021790.1	0	FALSE	0	62	3	2	FALSE	0.032258065	2	42	10	5	1	2
NC_021791.1	0	FALSE	0	60	3	1	FALSE	0.016666667	3	40	11	4	1	1
NC_021792.1	0	FALSE	0	111	11	1	FALSE	0.009009009	4	80	25	1	0	1
NC_021794.1	0	FALSE	0	112	11	2	FALSE	0.017857143	3	80	23	2	0	4
NC_021795.1	0	FALSE	0	61	3	1	FALSE	0.032786885	2	44	9	5	1	0
NC_021796.1	0	FALSE	0	90	5	1	FALSE	0.011111111	6	22	61	1	0	0
NC_021798.1	0	FALSE	0	188	2	3	FALSE	0.010638298	8	158	19	2	0	1
NC_021799.1	0	FALSE	0	110	9	0	FALSE	0.018181818	1	55	51	2	1	0
NC_021800.1	0	FALSE	0	47	2	1	FALSE	0.021276596	2	13	30	1	0	1
NC_021801.1	0	FALSE	0	59	4	0	FALSE	0.016949153	8	44	2	2	2	1
NC_021802.1	0	FALSE	0	105	7	1	FALSE	0	1	62	37	3	1	1
NC_021803.1	0	FALSE	0	121	11	2	FALSE	0.016528926	4	88	26	2	0	1
NC_021804.1	0	FALSE	0	45	0	1	FALSE	0	3	6	34	2	0	0
NC_021806.1	0	FALSE	0	118	2	1	FALSE	0.033898305	3	27	84	4	0	0
NC_021852.1	0	FALSE	0	53	2	0	FALSE	0.037735849	6	34	6	4	3	0
NC_021853.1	0	FALSE	0	58	2	0	FALSE	0.034482759	6	35	11	4	2	0
NC_021854.1	0	FALSE	0	55	2	0	FALSE	0.036363636	6	32	10	4	3	0
NC_021855.1	0	FALSE	0	56	2	0	FALSE	0.035714286	7	34	9	4	2	0
NC_021856.1	0	FALSE	0	250	10	3	TRUE	0.036	9	173	50	11	5	2
NC_021857.1	0	FALSE	0	55	10	1	TRUE	0.054545455	8	19	15	7	2	4
NC_021860.1	0	FALSE	0	58	4	0	FALSE	0.017241379	6	36	11	3	2	0
NC_021861.1	0	FALSE	0	56	2	0	FALSE	0.017857143	6	29	18	2	0	1
NC_021863.1	0	FALSE	0	64	5	0	FALSE	0.03125	5	48	5	4	2	0
NC_021864.1	0	FALSE	0	85	2	0	FALSE	0	7	26	51	0	0	1
NC_021865.1	0	FALSE	0	63	8	1	FALSE	0.015873016	6	42	9	1	2	3
NC_021867.1	0	FALSE	0	68	6	1	FALSE	0.014705882	2	52	11	2	0	1
NC_021868.1	0	FALSE	0	95	3	0	FALSE	0.031578947	7	68	13	5	1	1
NC_022052.1	0	FALSE	0	117	9	1	FALSE	0.051282051	7	79	20	7	1	3
NC_022053.1	0	FALSE	0	90	0	1	FALSE	0.022222222	4	66	14	5	0	1
NC_022054.1	0	FALSE	0	66	4	0	FALSE	0.015151515	3	50	9	1	1	2
NC_022055.1	0	FALSE	0	102	7	0	FALSE	0.009803922	5	72	21	1	1	2
NC_022056.1	0	FALSE	0	99	11	1	FALSE	0.01010101	6	76	12	1	0	4
NC_022057.1	0	FALSE	0	122	7	1	FALSE	0.024590164	4	100	13	3	1	1
NC_022058.1	0	FALSE	0	92	3	0	FALSE	0	9	65	15	0	2	1
NC_022059.1	0	FALSE	0	140	10	0	TRUE	0.028571429	6	111	14	5	1	3
NC_022060.1	0	FALSE	0	98	4	0	FALSE	0.010204082	4	75	15	1	1	2
NC_022061.1	0	FALSE	0	92	9	0	FALSE	0	3	81	6	0	0	2
NC_022062.1	0	FALSE	0	86	2	0	FALSE	0.011627907	6	65	12	1	1	1
NC_022063.1	0	FALSE	0	94	9	0	FALSE	0	2	85	6	0	0	1
NC_022064.1	0	FALSE	0	94	9	0	FALSE	0	2	85	6	0	0	1
NC_022065.1	0	FALSE	0	133	10	0	TRUE	0.030075188	6	104	14	5	1	3
NC_022066.1	0	FALSE	0	214	5	3	FALSE	0.023364486	5	179	20	7	0	3
NC_022067.1	0	FALSE	0	219	7	3	FALSE	0.02283105	5	184	20	7	0	3
NC_022068.1	0	FALSE	0	100	7	1	FALSE	0.02	6	72	16	2	0	4
NC_022069.1	0	FALSE	0	99	10	0	FALSE	0.03030303	2	76	16	3	0	2
NC_022070.1	0	FALSE	0	83	3	1	FALSE	0.012048193	7	61	11	1	1	2
NC_022071.1	0	FALSE	0	120	7	0	FALSE	0.05	7	89	13	7	1	3
NC_022085.1	0	FALSE	0	137	14	0	TRUE	0.02919708	6	106	16	5	1	3
NC_022086.1	0	FALSE	0	76	3	0	FALSE	0	9	57	6	0	2	2
NC_022087.1	0	FALSE	0	92	1	0	FALSE	0.032608696	8	69	7	3	2	3
NC_022088.2	0	FALSE	0	290	6	2	FALSE	0.037931034	9	239	21	14	5	2
NC_022090.1	0	FALSE	0	187	2	3	TRUE	0.042780749	8	131	30	11	5	2
NC_022091.1	0	FALSE	0	53	1	0	FALSE	0	14	32	5	0	0	2
NC_022096.1	0	FALSE	0	329	8	3	FALSE	0.009118541	16	100	205	4	2	2
NC_022323.1	0	FALSE	0	212	4	2	FALSE	0.037735849	13	165	15	12	2	5
NC_022324.1	0	FALSE	0	92	1	0	FALSE	0.010869565	7	70	12	1	1	1
NC_022325.1	0	FALSE	0	116	5	1	FALSE	0.017241379	4	98	10	2	1	1
NC_022328.1	0	FALSE	0	96	11	0	FALSE	0	3	85	7	0	0	1
NC_022329.1	0	FALSE	0	87	5	0	FALSE	0.011494253	9	66	9	1	1	1
NC_022330.1	0	FALSE	0	139	12	0	TRUE	0.028776978	7	108	15	5	1	3
NC_022331.2	0	FALSE	0	86	7	0	FALSE	0	3	77	5	0	0	1
NC_022334.1	0	FALSE	0	42	3	0	FALSE	0.023809524	2	30	8	1	0	1
NC_022335.1	0	FALSE	0	42	3	0	FALSE	0.071428571	2	30	6	3	0	1
NC_022336.1	0	FALSE	0	42	1	0	FALSE	0.071428571	2	30	6	3	0	1
NC_022337.1	0	FALSE	0	41	1	0	FALSE	0.048780488	2	30	5	3	0	1
NC_022338.1	0	FALSE	0	43	1	0	FALSE	0.046511628	2	31	7	2	0	1
NC_022339.1	0	FALSE	0	42	1	0	FALSE	0.047619048	2	30	7	2	0	1
NC_022340.1	0	FALSE	0	41	1	0	FALSE	0.048780488	2	30	6	2	0	1
NC_022341.1	0	FALSE	0	41	3	0	FALSE	0.024390244	2	29	8	1	0	1
NC_022342.1	0	FALSE	0	40	1	0	FALSE	0.025	2	30	6	1	0	1
NC_022343.1	0	FALSE	0	205	18	3	FALSE	0.03902439	28	125	28	16	5	3
NC_022744.1	0	FALSE	0	46	0	0	FALSE	0	17	15	4	0	3	7
NC_022746.1	0	FALSE	0	53	0	0	FALSE	0	14	32	5	0	0	2
NC_022747.1	0	FALSE	0	45	5	0	FALSE	0.044444444	4	28	6	6	1	0
NC_022749.1	0	FALSE	0	58	10	1	TRUE	0.034482759	10	21	15	6	3	3
NC_022750.1	0	FALSE	0	43	6	0	FALSE	0.11627907	8	8	8	11	3	5
NC_022751.1	0	FALSE	0	41	1	0	FALSE	0.024390244	6	27	7	1	0	0
NC_022752.1	0	FALSE	0	69	10	0	FALSE	0.014492754	1	51	14	1	1	1
NC_022753.1	0	FALSE	0	92	3	0	FALSE	0	8	67	14	0	2	1
NC_022754.1	0	FALSE	0	65	8	0	FALSE	0.015384615	1	51	10	1	1	1
NC_022756.1	0	FALSE	0	57	4	1	FALSE	0.035087719	5	37	10	3	1	1
NC_022757.1	0	FALSE	0	55	2	1	FALSE	0.036363636	5	35	10	3	1	1
NC_022758.1	0	FALSE	0	61	6	0	FALSE	0.016393443	4	47	7	1	1	1
NC_022761.1	0	FALSE	0	214	9	1	FALSE	0.056074766	12	155	26	15	5	1
NC_022762.1	0	FALSE	0	59	0	0	FALSE	0.050847458	6	35	12	4	1	1
NC_022763.1	0	FALSE	0	276	6	2	FALSE	0.043478261	9	221	24	15	5	2
NC_022764.1	0	FALSE	0	45	0	1	FALSE	0.044444444	5	30	6	2	1	1
NC_022765.1	0	FALSE	0	78	6	1	FALSE	0.038461538	4	57	12	4	0	1
NC_022766.1	0	FALSE	0	81	6	1	FALSE	0.037037037	4	59	13	4	0	1
NC_022767.1	0	FALSE	0	108	6	2	TRUE	0.037037037	7	92	5	4	0	0
NC_022768.1	0	FALSE	0	200	20	2	FALSE	0.04	28	131	16	16	5	4
NC_022769.1	0	FALSE	0	292	6	2	FALSE	0.037671233	9	244	18	14	5	2
NC_022770.1	0	FALSE	0	44	0	1	FALSE	0.045454545	4	30	6	2	1	1
NC_022771.1	0	FALSE	0	255	6	2	FALSE	0.031372549	11	178	48	11	5	2
NC_022772.1	0	FALSE	0	203	18	2	FALSE	0.039408867	28	136	14	16	5	4
NC_022773.1	0	FALSE	0	82	6	1	FALSE	0.036585366	4	59	14	4	0	1
NC_022774.1	0	FALSE	0	110	8	2	TRUE	0.027272727	7	93	7	3	0	0
NC_022775.1	0	FALSE	0	47	2	0	FALSE	0.021276596	3	27	13	1	2	1
NC_022776.1	0	FALSE	0	52	1	0	FALSE	0.038461538	4	36	5	4	2	1
NC_022791.1	0	FALSE	0	50	2	0	FALSE	0.06	3	37	5	3	2	0
NC_022914.1	0	FALSE	0	63	8	0	FALSE	0.031746032	4	31	23	3	1	1
NC_022915.1	0	FALSE	0	57	2	0	FALSE	0.035087719	8	10	37	2	0	0
NC_022916.1	0	FALSE	0	47	0	0	FALSE	0.021276596	13	15	18	1	0	0
NC_022917.1	0	FALSE	0	58	0	0	FALSE	0	12	19	27	0	0	0
NC_022918.1	0	FALSE	0	186	4	2	TRUE	0.048387097	10	140	18	12	5	1
NC_022920.1	0	FALSE	0	208	4	2	TRUE	0.048076923	11	157	21	13	5	1
NC_022965.1	0	FALSE	0	91	1	1	FALSE	0.032967033	8	60	16	3	2	2
NC_022966.1	0	FALSE	0	159	2	1	FALSE	0.018867925	10	131	8	5	3	2
NC_022967.1	0	FALSE	0	170	4	1	FALSE	0.017647059	9	139	10	6	3	3
NC_022968.1	0	FALSE	0	255	10	3	FALSE	0.050980392	14	194	25	17	2	3
NC_022969.1	0	FALSE	0	140	10	0	TRUE	0.028571429	6	107	18	5	1	3
NC_022970.1	0	FALSE	0	158	2	1	FALSE	0.018987342	10	128	10	5	3	2
NC_022971.1	0	FALSE	0	70	2	0	FALSE	0.028571429	6	55	6	3	0	0
NC_022972.2	0	FALSE	0	63	7	0	FALSE	0.015873016	5	17	40	1	0	0
NC_022973.1	0	FALSE	0	78	3	0	FALSE	0	9	55	11	0	2	1
NC_022974.1	0	FALSE	0	162	4	1	FALSE	0.018518519	10	131	11	5	3	2
NC_022975.1	0	FALSE	0	87	3	0	FALSE	0.011494253	8	64	12	1	1	1
NC_022976.1	0	FALSE	0	139	12	0	TRUE	0.028776978	6	107	17	5	1	3
NC_022977.1	0	FALSE	0	90	1	1	FALSE	0.022222222	8	61	15	2	2	2
NC_022979.1	0	FALSE	0	88	1	2	FALSE	0.011363636	7	65	12	1	1	2
NC_022980.1	0	FALSE	0	85	10	0	FALSE	0.011764706	7	53	16	6	2	1
NC_022981.1	0	FALSE	0	139	13	0	TRUE	0.028776978	5	105	19	5	1	4
NC_022982.1	0	FALSE	0	50	0	0	FALSE	0	13	23	12	0	1	1
NC_022983.1	0	FALSE	0	96	12	0	FALSE	0	2	87	6	0	0	1
NC_022984.1	0	FALSE	0	78	3	0	FALSE	0	9	55	11	0	2	1
NC_022985.1	0	FALSE	0	89	1	1	FALSE	0.033707865	8	61	13	3	2	2
NC_022986.1	0	FALSE	0	170	6	1	FALSE	0.017647059	9	139	10	6	3	3
NC_022987.1	0	FALSE	0	50	0	0	FALSE	0	13	31	4	0	1	1
NC_022988.1	0	FALSE	0	133	10	0	TRUE	0.030075188	6	103	15	5	1	3
NC_022989.1	0	FALSE	0	49	0	0	FALSE	0.040816327	6	31	7	3	1	1
NC_023005.1	0	FALSE	0	50	0	0	FALSE	0.02	16	21	4	1	3	5
NC_023006.1	0	FALSE	0	65	2	0	FALSE	0.015384615	5	27	23	8	1	1
NC_023007.1	0	FALSE	0	267	5	4	TRUE	0.048689139	15	91	146	13	0	2
NC_023009.1	0	FALSE	0	181	3	3	FALSE	0.049723757	8	126	29	12	5	1
NC_023498.1	0	FALSE	0	99	4	0	FALSE	0.01010101	7	80	8	1	2	1
NC_023499.1	0	FALSE	0	59	9	1	FALSE	0.050847458	8	43	3	3	1	1
NC_023500.1	0	FALSE	0	66	8	1	FALSE	0.015151515	5	50	6	3	2	0
NC_023501.1	0	FALSE	0	285	1	1	FALSE	0.028070175	11	243	13	11	5	2
NC_023502.1	0	FALSE	0	182	5	3	FALSE	0.021978022	7	30	138	7	0	0
NC_023503.1	0	FALSE	0	68	6	3	FALSE	0.029411765	7	40	14	4	2	1
NC_023548.1	0	FALSE	0	50	1	0	FALSE	0.02	17	16	7	1	3	6
NC_023549.1	0	FALSE	0	77	1	0	FALSE	0.012987013	1	31	42	1	0	2
NC_023550.1	0	FALSE	0	20	1	0	FALSE	0.1	5	12	0	2	1	0
NC_023551.1	0	FALSE	0	61	2	0	FALSE	0.016393443	3	45	9	2	1	1
NC_023552.1	0	FALSE	0	75	4	2	FALSE	0.013333333	5	55	10	2	0	3
NC_023553.1	0	FALSE	0	93	2	0	FALSE	0.021505376	8	67	12	2	2	2
NC_023554.1	0	FALSE	0	94	9	0	FALSE	0	3	83	7	0	0	1
NC_023555.1	0	FALSE	0	58	3	1	FALSE	0.017241379	5	37	9	4	1	2
NC_023556.1	0	FALSE	0	87	4	0	FALSE	0	9	57	20	0	1	0
NC_023557.1	0	FALSE	0	317	36	1	FALSE	0.018927445	10	282	14	7	0	4
NC_023558.1	0	FALSE	0	48	1	0	FALSE	0.041666667	17	16	4	2	3	6
NC_023559.1	0	FALSE	0	54	5	1	FALSE	0.037037037	3	35	10	4	1	1
NC_023560.1	0	FALSE	0	53	5	1	FALSE	0.037735849	4	35	8	4	1	1
NC_023561.1	0	FALSE	0	293	8	1	FALSE	0.037542662	31	164	42	30	12	14
NC_023562.1	0	FALSE	0	80	3	1	FALSE	0.025	9	50	13	3	2	3
NC_023563.1	0	FALSE	0	94	11	0	FALSE	0	2	82	9	0	0	1
NC_023564.1	0	FALSE	0	86	1	1	FALSE	0.011627907	8	60	13	1	2	2
NC_023565.1	0	FALSE	0	81	3	1	FALSE	0.024691358	9	52	12	3	2	3
NC_023566.1	0	FALSE	0	85	17	0	FALSE	0.011764706	5	26	51	3	0	0
NC_023567.2	0	FALSE	0	56	2	0	FALSE	0.017857143	12	34	7	1	0	2
NC_023568.1	0	FALSE	0	378	26	8	FALSE	0.055555556	29	264	30	36	10	9
NC_023569.1	0	FALSE	0	91	4	0	FALSE	0.021978022	3	22	63	3	0	0
NC_023570.1	0	FALSE	0	45	0	0	FALSE	0.022222222	13	16	13	1	0	2
NC_023571.1	0	FALSE	0	56	7	2	FALSE	0.035714286	4	35	10	4	1	2
NC_023572.1	0	FALSE	0	68	2	0	FALSE	0.014705882	5	49	10	2	1	1
NC_023573.1	0	FALSE	0	208	4	1	TRUE	0.043269231	12	162	16	12	5	1
NC_023574.1	0	FALSE	0	190	3	2	FALSE	0.052631579	12	137	31	10	0	0
NC_023575.1	0	FALSE	0	69	8	0	FALSE	0.028985507	5	45	15	2	0	2
NC_023576.1	0	FALSE	0	48	0	0	FALSE	0.0625	17	16	4	3	3	5
NC_023577.1	0	FALSE	0	81	3	1	FALSE	0.024691358	9	50	14	2	2	4
NC_023578.1	0	FALSE	0	87	3	0	FALSE	0	3	76	4	2	0	2
NC_023579.1	0	FALSE	0	92	2	0	FALSE	0.02173913	9	67	11	2	1	2
NC_023580.1	0	FALSE	0	100	7	0	FALSE	0.02	6	75	15	2	0	2
NC_023581.1	0	FALSE	0	92	10	1	FALSE	0	9	22	59	0	1	1
NC_023582.1	0	FALSE	0	128	5	3	TRUE	0.0234375	7	99	16	4	1	1
NC_023583.1	0	FALSE	0	69	1	0	FALSE	0.043478261	5	51	9	4	0	0
NC_023584.1	0	FALSE	0	196	4	16	FALSE	0.091836735	21	126	15	26	6	2
NC_023587.1	0	FALSE	0	209	3	16	FALSE	0.081339713	19	142	15	26	5	2
NC_023588.1	0	FALSE	0	43	5	0	FALSE	0.046511628	6	9	21	5	1	1
NC_023589.1	0	FALSE	0	100	4	0	FALSE	0.01	9	62	27	1	1	0
NC_023590.1	0	FALSE	0	55	2	0	FALSE	0.018181818	1	40	11	2	1	0
NC_023591.1	0	FALSE	0	119	18	2	FALSE	0.016806723	1	4	111	3	0	0
NC_023593.1	0	FALSE	0	124	2	1	FALSE	0.040322581	7	95	14	8	0	0
NC_023594.2	0	FALSE	0	67	0	0	FALSE	0.014925373	9	27	25	2	3	1
