vMAG_sporAMG_ID,Host_taxonomy,Host_taxonomy,Sporulating_Family?
Han_2018_ERR1398252_NODE_4800_length_5732_cov_3.523692,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Kang_0011_ST001_A_NODE_48_length_27463_cov_36.352415,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Lim_Twin_D2_NODE_214_length_9086_cov_14.676415,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR341649_NODE_3737_length_5347_cov_1.877173,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR341725_NODE_3248_length_5570_cov_2.557208,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413637_NODE_2478_length_6688_cov_5.858737,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413637_NODE_2735_length_5916_cov_2.864528,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413642_NODE_122_length_49281_cov_2.732296,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413653_NODE_244_length_69508_cov_4.483579,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413660_NODE_168_length_53632_cov_6.034959,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413661_NODE_797_length_25438_cov_8.851988,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413663_NODE_678_length_38589_cov_8.069186,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Ma_2019_SRR413771_NODE_3896_length_7757_cov_2.803038,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Minot_healthy_male_NODE_1263_length_18724_cov_13.240184,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Minot_healthy_male_NODE_2979_length_10528_cov_10.610331,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Monaco_MBA1098_NODE_28_length_17665_cov_46.630494,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Moreno-Gallego_2019_ERR2867971_NODE_102_length_5515_cov_9.639194,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Moreno-Gallego_2019_ERR2867999_NODE_58_length_5801_cov_9.593108,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Moreno-Gallego_2019_ERR2868013_NODE_115_length_5842_cov_9.049767,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Moreno-Gallego_2019_ERR2868013_NODE_134_length_5219_cov_6.719210,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_40_NODE_3_length_51957_cov_457.152075,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_40_NODE_4_length_44340_cov_127.607068,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_1_length_132712_cov_270.819158,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_3_length_72064_cov_1812.985932,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_47_length_7368_cov_11.263914,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Norman_70_NODE_5_length_44482_cov_22.504423,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Rampelli_10020_NODE_1_length_197740_cov_13.660146,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Rampelli_SM_34_NODE_1760_length_9231_cov_3.016892,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Shkoporov_2019_SRR9161579_NODE_57_length_29289_cov_34.421051,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Shkoporov_2019_SRR9161589_NODE_189_length_10622_cov_19.719504,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Zuo_2019_SRR8240709_NODE_1697_length_5498_cov_4.745177,Bacteria;p__Firmicutes_A;f__Peptostreptococcaceae,f__Peptostreptococcaceae,TRUE
Chehoud_donor_NODE_6_length_40473_cov_156.131303,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Han_2018_ERR1398100_NODE_2433_length_5718_cov_4.473247,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Han_2018_ERR1398175_NODE_147_length_92661_cov_25.946127,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Han_2018_ERR1398260_NODE_2958_length_6939_cov_4.879721,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR1778453_NODE_2413_length_9723_cov_4.504034,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR341595_NODE_3236_length_5109_cov_1.171349,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR341706_NODE_4026_length_5610_cov_1.785419,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR341710_NODE_4365_length_5606_cov_1.683841,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR341725_NODE_895_length_19919_cov_3.937273,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413606_NODE_2216_length_8565_cov_1.843008,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413606_NODE_3114_length_5770_cov_2.133333,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413610_NODE_1920_length_5533_cov_2.535779,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413650_NODE_3412_length_6453_cov_2.229759,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413650_NODE_3951_length_5598_cov_2.062060,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413665_NODE_1182_length_16772_cov_2.038942,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413691_NODE_44_length_131965_cov_2.732037,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413699_NODE_188_length_73263_cov_5.805937,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413700_NODE_111_length_96841_cov_4.021615,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413707_NODE_47_length_137056_cov_3.814636,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413708_NODE_3657_length_6925_cov_1.550801,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413710_NODE_5309_length_5950_cov_12.383545,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413735_NODE_258_length_87207_cov_6.291032,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413736_NODE_731_length_32559_cov_3.070730,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413740_NODE_4750_length_5886_cov_1.871892,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413742_NODE_4872_length_5200_cov_7.645870,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413751_NODE_2249_length_13102_cov_5.364682,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413761_NODE_1491_length_26926_cov_4.920621,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413761_NODE_1619_length_25364_cov_4.830851,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Ma_2019_SRR413773_NODE_2967_length_10456_cov_3.033843,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Minot_healthy_male_NODE_72_length_61518_cov_41.454208,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Shkoporov_2019_SRR9161502_NODE_7302_length_5620_cov_6.289668,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Shkoporov_2019_SRR9161507_NODE_1623_length_8383_cov_4.683357,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Shkoporov_2019_SRR9161507_NODE_1911_length_7412_cov_6.549409,Bacteria;p__Firmicutes_A;f__UBA1381,f__UBA1381,TRUE
Han_2018_ERR1398110_NODE_699_length_21783_cov_12.272874,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Han_2018_ERR1398263_NODE_1244_length_19722_cov_3.847562,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Ma_2019_SRR341706_NODE_193_length_61758_cov_5.307765,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Ma_2019_SRR413569_NODE_149_length_68094_cov_12.625862,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Ma_2019_SRR413710_NODE_320_length_55519_cov_6.592655,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Shkoporov_2018_SRR6128061_NODE_2_length_143727_cov_26.345822,Bacteria;p__Firmicutes_A;f__UBA1390,f__UBA1390,TRUE
Ma_2019_SRR341641_NODE_142_length_48020_cov_1.923173,Bacteria;p__Firmicutes_A;f__UBA9506,f__UBA9506,TRUE
Ma_2019_SRR413598_NODE_3229_length_9008_cov_2.699765,Bacteria;p__Firmicutes_A;f__UBA9506,f__UBA9506,TRUE
Ma_2019_SRR413676_NODE_4351_length_5377_cov_2.063322,Bacteria;p__Firmicutes_A;f__UBA9506,f__UBA9506,TRUE
Rampelli_20006_NODE_75_length_85916_cov_54.194792,Bacteria;p__Firmicutes_A;f__UBA9506,f__UBA9506,TRUE
Ma_2019_SRR1778451_NODE_1934_length_14533_cov_4.282359,Bacteria;p__Firmicutes_B;f__Peptococcaceae,f__Peptococcaceae,TRUE
Ma_2019_SRR413617_NODE_328_length_46799_cov_4.746941,Bacteria;p__Firmicutes_B;f__Peptococcaceae,f__Peptococcaceae,TRUE
Rampelli_SM_34_NODE_253_length_45056_cov_5.422324,Bacteria;p__Firmicutes_B;f__Peptococcaceae,f__Peptococcaceae,TRUE
Han_2018_ERR1398139_NODE_136_length_47696_cov_5.405554,Bacteria;p__Firmicutes_B;f__Syntrophobotulaceae,f__Syntrophobotulaceae,TRUE
Ma_2019_SRR413603_NODE_593_length_36205_cov_16.599972,Bacteria;p__Firmicutes_I;f__Brevibacillaceae,f__Brevibacillaceae,TRUE
Zhao_Control_11_NODE_6_length_44685_cov_241.076137,Bacteria;p__Firmicutes_I;f__Brevibacillaceae,f__Brevibacillaceae,TRUE
Ma_2019_SRR413603_NODE_1602_length_13578_cov_23.683206,Bacteria;p__Firmicutes_I;f__Paenibacillaceae,f__Paenibacillaceae,TRUE
Shkoporov_2019_SRR9161613_NODE_8_length_51773_cov_67.886848,Bacteria;p__Firmicutes_I;f__Paenibacillaceae,f__Paenibacillaceae,TRUE
Norman_44_NODE_2_length_31979_cov_26.929959,Bacteria;p__Firmicutes;f__Anoxybacillaceae,f__Anoxybacillaceae,TRUE
Norman_118_NODE_4_length_79269_cov_23.483008,Bacteria;p__Firmicutes;f__Bacillaceae_G,f__Bacillaceae_G,TRUE
Ma_2019_SRR341670_NODE_370_length_49477_cov_15.778236,Archaea;p__Euryarchaeota;f__Methanobacteriaceae,f__Methanobacteriaceae,#N/A
Ma_2019_SRR413585_NODE_2562_length_6104_cov_2.695652,Archaea;p__Euryarchaeota;f__Methanobacteriaceae,f__Methanobacteriaceae,#N/A
Rampelli_HCO_12_NODE_74_length_42185_cov_4.777736,Archaea;p__Euryarchaeota;f__Methanobacteriaceae,f__Methanobacteriaceae,#N/A
Rampelli_Norman_03_NODE_2145_length_9411_cov_3.158401,Archaea;p__Euryarchaeota;f__Methanobacteriaceae,f__Methanobacteriaceae,#N/A
Shkoporov_2018_SRR6128074_NODE_883_length_5206_cov_6.879829,Archaea;p__Euryarchaeota;f__Methanobacteriaceae,f__Methanobacteriaceae,#N/A
Ma_2019_SRR413754_NODE_5963_length_5805_cov_1.865217,Archaea;p__Thermoplasmatota;f__Methanomethylophilaceae,f__Methanomethylophilaceae,#N/A
Rampelli_10017_NODE_7809_length_5377_cov_2.911687,Archaea;p__Thermoplasmatota;f__Methanomethylophilaceae,f__Methanomethylophilaceae,#N/A
Rampelli_HCO_11_NODE_568_length_17694_cov_3.544815,Archaea;p__Thermoplasmatota;f__Methanomethylophilaceae,f__Methanomethylophilaceae,#N/A
Han_2018_ERR1398103_NODE_3198_length_5589_cov_6.427900,Bacteria;p__Actinobacteriota;f__Actinomycetaceae,f__Actinomycetaceae,#N/A
Han_2018_ERR1398103_NODE_3512_length_5245_cov_5.679191,Bacteria;p__Actinobacteriota;f__Actinomycetaceae,f__Actinomycetaceae,#N/A
Kang_0021_ST003_A_NODE_137_length_21053_cov_12.599248,Bacteria;p__Actinobacteriota;f__Actinomycetaceae,f__Actinomycetaceae,#N/A
Norman_92_NODE_10_length_21400_cov_7.397048,Bacteria;p__Actinobacteriota;f__Actinomycetaceae,f__Actinomycetaceae,#N/A
Ma_2019_SRR413669_NODE_1534_length_5490_cov_2.790984,Bacteria;p__Actinobacteriota;f__Atopobiaceae,f__Atopobiaceae,#N/A
Ma_2019_SRR413732_NODE_1867_length_11295_cov_34.959342,Bacteria;p__Actinobacteriota;f__Atopobiaceae,f__Atopobiaceae,#N/A
Ma_2019_SRR413732_NODE_4399_length_5062_cov_37.010985,Bacteria;p__Actinobacteriota;f__Atopobiaceae,f__Atopobiaceae,#N/A
Ma_2019_SRR413760_NODE_671_length_34438_cov_60.760696,Bacteria;p__Actinobacteriota;f__Atopobiaceae,f__Atopobiaceae,#N/A
Shkoporov_2018_SRR6128029_NODE_29_length_32634_cov_22.957304,Bacteria;p__Actinobacteriota;f__Atopobiaceae,f__Atopobiaceae,#N/A
Han_2018_ERR1398075_NODE_3152_length_6072_cov_2.809041,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398078_NODE_186_length_39210_cov_94.788533,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398088_NODE_2327_length_6035_cov_3.204181,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398097_NODE_254_length_16329_cov_5.318238,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398103_NODE_1644_length_8517_cov_14.014181,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398112_NODE_250_length_38798_cov_15.876210,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398131_NODE_634_length_6624_cov_3.937586,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398140_NODE_1101_length_6992_cov_23.384028,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398143_NODE_2026_length_7036_cov_3.195674,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398152_NODE_1682_length_8005_cov_7.885660,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398155_NODE_3316_length_5501_cov_3.426184,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398177_NODE_2215_length_5367_cov_2.749435,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398182_NODE_185_length_48650_cov_6.938965,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398182_NODE_3034_length_7144_cov_5.486669,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398183_NODE_173_length_26575_cov_5.874698,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398233_NODE_2109_length_6010_cov_3.480437,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398252_NODE_2647_length_10471_cov_5.419931,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398252_NODE_743_length_30313_cov_5.389054,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398261_NODE_3104_length_5907_cov_4.399351,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ly_CA81_ion_torrent_NODE_12_length_30593_cov_315.509300,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR341601_NODE_2686_length_6329_cov_6.830571,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR341657_NODE_73_length_129398_cov_77.732425,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR341658_NODE_60_length_132811_cov_8.663013,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR341680_NODE_942_length_8745_cov_3.222325,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413556_NODE_2626_length_5863_cov_2.642562,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413573_NODE_1357_length_11354_cov_3.210373,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413573_NODE_2144_length_6512_cov_5.621341,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413573_NODE_317_length_54294_cov_16.615185,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413573_NODE_359_length_47077_cov_18.863000,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413573_NODE_381_length_44455_cov_3.525586,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413583_NODE_943_length_18754_cov_3.954971,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413593_NODE_1366_length_6618_cov_2.818376,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413620_NODE_2689_length_7019_cov_1.915566,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413625_NODE_3304_length_6232_cov_2.029950,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413646_NODE_2674_length_6269_cov_3.661088,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413650_NODE_352_length_46621_cov_7.295538,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413661_NODE_2122_length_8472_cov_4.286325,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413661_NODE_899_length_22411_cov_2.825953,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413663_NODE_3748_length_8287_cov_2.443756,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413665_NODE_3816_length_5385_cov_1.704878,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413690_NODE_1960_length_12821_cov_3.117813,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413701_NODE_583_length_29635_cov_12.689926,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413702_NODE_1330_length_18811_cov_2.676583,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413715_NODE_277_length_42675_cov_39.516213,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413756_NODE_2348_length_5187_cov_1.490842,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413759_NODE_285_length_74700_cov_6.501842,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Ma_2019_SRR413761_NODE_1187_length_32525_cov_8.631722,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Monaco_MBA1281_NODE_10_length_33549_cov_123.031229,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Monaco_MBA4027_NODE_13_length_18624_cov_906.397612,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Nadia_combined_trimmed_NODE_1903_length_6770_cov_31.199106,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Norman_24_NODE_4_length_62935_cov_1049.187341,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Norman_24_NODE_8_length_43336_cov_34.534068,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Norman_68_NODE_13_length_28853_cov_127.074866,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Rampelli_Norman_01_NODE_398_length_35747_cov_9.097193,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Rampelli_Norman_11_NODE_893_length_20952_cov_3.916639,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Reyes_2015_F23_T1_NODE_10_length_29493_cov_13.247088,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Reyes_2015_F268_T2_NODE_14_length_21481_cov_9.410087,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Reyes_2015_F284_T2_NODE_16_length_18599_cov_3.444294,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Reyes_2015_F37_T2_NODE_32_length_8514_cov_2.473471,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Shkoporov_2018_SRR6128026_NODE_23_length_35472_cov_309.543778,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Shkoporov_2019_SRR9161507_NODE_416_length_36821_cov_269.518713,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Shkoporov_2019_SRR9161509_NODE_896_length_16416_cov_151.813153,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Shkoporov_2019_SRR9161588_NODE_42_length_40233_cov_30.390836,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Zuo_2019_SRR8240794_NODE_852_length_8983_cov_23.130152,Bacteria;p__Actinobacteriota;f__Bifidobacteriaceae,f__Bifidobacteriaceae,#N/A
Han_2018_ERR1398096_NODE_952_length_12291_cov_13.367730,Bacteria;p__Actinobacteriota;f__Cellulomonadaceae,f__Cellulomonadaceae,#N/A
Ma_2019_SRR413635_NODE_649_length_35621_cov_20.730332,Bacteria;p__Actinobacteriota;f__Cellulomonadaceae,f__Cellulomonadaceae,#N/A
Han_2018_ERR1398068_NODE_20_length_113108_cov_21.946459,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398071_NODE_288_length_21996_cov_12.827492,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398076_NODE_2242_length_7446_cov_10.496956,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398097_NODE_2269_length_5235_cov_7.619498,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398117_NODE_2239_length_6806_cov_6.231966,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398118_NODE_223_length_38404_cov_24.173668,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398125_NODE_501_length_38777_cov_38.879293,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398153_NODE_92_length_42919_cov_9.471165,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398161_NODE_2438_length_6952_cov_3.130637,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
Han_2018_ERR1398168_NODE_273_length_43438_cov_11.534149,Bacteria;p__Actinobacteriota;f__Coriobacteriaceae,f__Coriobacteriaceae,#N/A
